datetime,open,high,low,close,volume,iv,oi,spot,strike
2024-12-31 09:15:00,472.85,472.85,439.9,448.6,21150,12.944213,40525,23540.2,23550.0
2024-12-31 09:30:00,447.6,479.7,434.3,474.75,52200,13.226083,1185975,23523.4,23500.0
2024-12-31 09:45:00,472.35,476.2,436.95,446.95,150250,13.10437,54875,23530.55,23550.0
2024-12-31 10:00:00,478.05,484.45,451.05,469.55,89725,13.150331,20450,23470.0,23450.0
2024-12-31 10:15:00,445.95,492.5,437.3,476.4,104100,13.663387,1324275,23507.55,23500.0
2024-12-31 10:30:00,475.0,487.25,454.05,467.0,36250,13.565252,71750,23544.5,23550.0
2024-12-31 10:45:00,468.45,496.95,454.65,490.25,52750,13.837739,76050,23571.75,23550.0
2024-12-31 11:00:00,459.4,494.3,458.0,481.95,61400,13.774431,402575,23609.1,23600.0
2024-12-31 11:15:00,482.0,482.0,459.0,467.05,77175,13.503789,402700,23596.15,23600.0
2024-12-31 11:30:00,466.2,484.9,451.45,482.7,55700,13.723539,421650,23612.95,23600.0
2024-12-31 11:45:00,484.75,485.75,454.05,464.5,39675,13.398919,424975,23596.85,23600.0
2024-12-31 12:00:00,464.5,487.6,446.55,459.0,27975,13.378492,432575,23588.6,23600.0
2024-12-31 12:15:00,459.0,480.0,457.05,474.4,50425,13.480428,451800,23610.25,23600.0
2024-12-31 12:30:00,474.1,486.5,458.05,462.6,57650,13.348199,467825,23596.4,23600.0
2024-12-31 12:45:00,462.6,469.5,447.6,448.65,33650,13.108686,475250,23583.6,23600.0
2024-12-31 13:00:00,448.5,463.95,445.35,460.5,40600,13.358926,495275,23592.7,23600.0
2024-12-31 13:15:00,459.5,476.55,442.3,474.4,172175,13.233794,576000,23621.7,23600.0
2024-12-31 13:30:00,475.35,482.45,449.55,459.35,19050,13.359188,61225,23639.4,23650.0
2024-12-31 13:45:00,459.35,470.0,455.85,460.45,8325,13.280681,63725,23644.95,23650.0
2024-12-31 14:00:00,460.45,494.5,458.2,459.75,59350,13.543618,1049600,23680.4,23700.0
2024-12-31 14:15:00,459.75,484.25,448.6,463.3,8750,13.514538,65725,23639.65,23650.0
2024-12-31 14:30:00,463.3,469.0,447.0,457.45,4425,13.099403,66800,23648.45,23650.0
2024-12-31 14:45:00,457.45,474.9,455.75,471.35,5450,13.277091,67750,23664.1,23650.0
2024-12-31 15:00:00,471.35,476.0,457.1,475.35,7750,13.802084,65100,23647.75,23650.0
2024-12-31 15:15:00,477.35,477.5,467.0,472.25,12000,13.211405,66975,23668.8,23650.0
2025-01-01 09:15:00,471.0,471.0,417.7,441.4,20725,12.940173,72325,23640.85,23650.0
2025-01-01 09:30:00,441.4,470.0,434.15,460.65,47325,13.271213,569825,23610.6,23600.0
2025-01-01 09:45:00,460.65,480.0,444.0,456.25,44025,13.52852,565925,23592.05,23600.0
2025-01-01 10:00:00,456.25,474.9,441.6,453.65,56225,13.673924,76050,23629.6,23650.0
2025-01-01 10:15:00,483.95,485.0,444.2,466.9,19175,13.654561,74625,23653.25,23650.0
2025-01-01 10:30:00,466.9,479.0,457.25,472.3,17375,13.790041,78650,23656.6,23650.0
2025-01-01 10:45:00,472.3,485.0,451.65,461.2,49425,13.68063,145050,23739.4,23750.0
2025-01-01 11:00:00,461.2,470.35,451.85,462.75,13300,13.413675,146900,23754.05,23750.0
2025-01-01 11:15:00,464.0,477.45,434.85,450.7,36100,13.20813,146925,23742.9,23750.0
2025-01-01 11:30:00,450.7,481.05,450.35,477.55,46300,13.560182,1097425,23724.45,23700.0
2025-01-01 11:45:00,478.05,483.5,446.85,460.0,24250,13.640876,1100450,23691.5,23700.0
2025-01-01 12:00:00,460.0,480.5,459.0,476.85,32150,13.776132,1100875,23714.25,23700.0
2025-01-01 12:15:00,450.05,489.7,450.05,467.75,22050,13.74149,154300,23748.9,23750.0
2025-01-01 12:30:00,467.75,478.45,464.4,466.55,5950,13.449595,153825,23759.9,23750.0
2025-01-01 12:45:00,468.35,473.6,445.5,447.25,8400,13.302331,152800,23733.85,23750.0
2025-01-01 13:00:00,448.65,482.55,445.0,449.85,5850,13.556903,151875,23727.05,23750.0
2025-01-01 13:15:00,449.85,461.2,449.85,460.5,3650,13.577383,152925,23744.55,23750.0
2025-01-01 13:30:00,460.45,463.4,444.7,459.8,4925,13.438101,153800,23749.7,23750.0
2025-01-01 13:45:00,459.8,472.95,440.75,455.4,21975,13.557733,2169550,23785.4,23800.0
2025-01-01 14:00:00,459.0,475.3,446.35,446.35,151750,13.132798,2195250,23789.1,23800.0
2025-01-01 14:15:00,446.35,470.7,436.55,440.9,30350,13.141965,2202550,23779.55,23800.0
2025-01-01 14:30:00,440.9,474.5,440.0,463.45,29100,13.186489,146500,23767.5,23750.0
2025-01-01 14:45:00,463.45,463.45,450.0,457.35,6750,13.555423,146675,23741.2,23750.0
2025-01-01 15:00:00,457.35,481.95,450.75,461.0,7650,13.727283,145450,23739.95,23750.0
2025-01-01 15:15:00,461.0,473.0,460.0,473.0,11575,13.768302,144175,23758.7,23750.0
2025-01-02 09:15:00,443.0,469.8,423.25,450.0,134675,12.987252,145050,23766.2,23750.0
2025-01-02 09:30:00,449.9,460.7,423.25,430.0,107675,13.047525,94875,23826.7,23850.0
2025-01-02 09:45:00,430.0,458.75,427.0,428.15,61150,12.83564,99375,23833.1,23850.0
2025-01-02 10:00:00,428.65,452.0,425.6,432.6,15550,12.989092,99075,23834.1,23850.0
2025-01-02 10:15:00,431.9,455.55,416.0,423.35,42350,12.726306,1391125,23878.5,23900.0
2025-01-02 10:30:00,453.0,454.05,418.4,427.15,30825,12.748204,1392300,23884.2,23900.0
2025-01-02 10:45:00,427.95,452.0,410.0,421.2,63100,12.520002,78275,23932.75,23950.0
2025-01-02 11:00:00,421.2,446.0,414.4,425.75,73175,12.451409,114075,23943.65,23950.0
2025-01-02 11:15:00,425.75,439.1,417.15,439.1,7250,12.427141,115825,23967.2,23950.0
2025-01-02 11:30:00,439.1,442.8,428.0,432.6,6450,12.387436,116525,23958.25,23950.0
2025-01-02 11:45:00,432.9,451.1,415.55,420.3,20175,12.394813,115850,23937.4,23950.0
2025-01-02 12:00:00,428.05,437.4,423.05,423.05,6075,12.43541,115900,23940.45,23950.0
2025-01-02 12:15:00,423.05,447.5,405.15,439.85,244475,12.47443,4183375,24015.6,24000.0
2025-01-02 12:30:00,413.15,446.25,413.15,433.2,28425,12.457582,61350,24053.9,24050.0
2025-01-02 12:45:00,433.2,448.7,428.05,434.85,8075,12.50565,61400,24054.75,24050.0
2025-01-02 13:00:00,434.85,437.4,395.4,409.75,40275,11.964807,408075,24084.75,24100.0
2025-01-02 13:15:00,409.75,428.0,407.1,414.2,96550,11.793513,413675,24099.85,24100.0
2025-01-02 13:30:00,414.2,424.4,395.55,405.0,23475,11.465304,88825,24147.4,24150.0
2025-01-02 13:45:00,405.0,426.35,397.35,423.0,22100,11.579011,414450,24123.8,24100.0
2025-01-02 14:00:00,391.95,424.5,391.95,405.0,20700,11.535225,86775,24144.7,24150.0
2025-01-02 14:15:00,404.75,417.45,385.7,408.95,56275,11.409836,91650,24156.8,24150.0
2025-01-02 14:30:00,408.0,421.5,387.6,392.0,80500,11.396552,921075,24177.8,24200.0
2025-01-02 14:45:00,392.0,421.75,390.35,413.85,162650,11.542887,923475,24208.15,24200.0
2025-01-02 15:00:00,414.75,414.75,396.6,400.85,117050,11.551648,923700,24186.25,24200.0
2025-01-02 15:15:00,401.55,428.55,390.25,426.35,124225,11.837873,90900,24167.95,24150.0
2025-01-03 09:15:00,426.35,435.1,374.0,386.7,69700,11.373485,95275,24133.3,24150.0
2025-01-03 09:30:00,386.7,419.55,381.55,388.4,128300,11.473577,492075,24083.4,24100.0
2025-01-03 09:45:00,388.65,419.95,383.55,404.15,56575,11.547506,55575,24058.15,24050.0
2025-01-03 10:00:00,404.15,430.75,377.45,386.75,79725,11.243048,58800,24042.2,24050.0
2025-01-03 10:15:00,386.75,402.8,385.05,387.1,11450,11.147173,65975,24047.0,24050.0
2025-01-03 10:30:00,387.05,409.25,376.7,381.85,151225,11.407571,67125,24027.2,24050.0
2025-01-03 10:45:00,410.95,417.05,375.3,402.0,128500,11.427687,3893050,24011.6,24000.0
2025-01-03 11:00:00,399.4,408.95,379.7,404.05,42850,11.573305,71850,24057.7,24050.0
2025-01-03 11:15:00,402.45,413.4,367.0,394.95,134550,11.052673,604825,24113.2,24100.0
2025-01-03 11:30:00,394.95,406.45,374.05,375.8,56475,11.099866,219750,24128.15,24150.0
2025-01-03 11:45:00,375.8,412.55,374.05,385.0,31600,11.294362,221050,24135.45,24150.0
2025-01-03 12:00:00,385.0,413.05,380.25,401.8,45050,11.306342,608125,24114.4,24100.0
2025-01-03 12:15:00,401.35,409.0,372.05,396.65,49925,11.265906,75650,24059.1,24050.0
