datetime,open,high,low,close,volume,iv,oi,spot,strike
2025-03-25 09:15:00,68.8,94.4,60.0,70.65,9459750,19.693189,2327850,23723.5,23550.0
2025-03-25 09:30:00,86.4,86.4,68.05,72.85,6803325,18.314082,2992425,23788.1,23650.0
2025-03-25 09:45:00,73.25,81.1,63.6,65.25,9213900,18.367632,7510500,23863.6,23700.0
2025-03-25 10:00:00,65.4,75.4,56.35,63.85,6884100,18.577647,6778575,23770.4,23600.0
2025-03-25 10:15:00,64.25,81.05,57.3,62.2,3527100,17.981207,2571675,23813.0,23650.0
2025-03-25 10:30:00,62.15,75.0,51.2,57.7,6778350,17.258178,6695700,23761.1,23600.0
2025-03-25 10:45:00,57.1,75.85,50.45,58.95,6803025,17.073409,2577075,23701.25,23550.0
2025-03-25 11:00:00,59.85,68.45,49.9,54.35,3489825,16.372364,2719500,23701.1,23550.0
2025-03-25 11:15:00,54.45,61.65,48.05,50.8,5451000,16.399648,10341450,23662.8,23500.0
2025-03-25 11:30:00,50.75,61.95,46.45,53.55,6706950,15.951352,10309125,23642.55,23500.0
2025-03-25 11:45:00,53.35,59.9,44.2,50.35,5739525,16.24056,2867100,23710.05,23550.0
2025-03-25 12:00:00,49.35,59.65,43.35,51.95,3547575,15.760367,2750850,23693.15,23550.0
2025-03-25 12:15:00,52.45,59.35,41.9,52.05,4447875,15.234668,2901225,23680.9,23550.0
2025-03-25 12:30:00,52.55,54.0,41.75,46.2,2439525,15.060879,2869200,23696.9,23550.0
2025-03-25 12:45:00,46.15,49.7,43.45,47.05,1600875,14.67642,2860650,23684.8,23550.0
2025-03-25 13:00:00,47.25,50.65,35.6,48.1,1825425,14.466386,2868600,23676.0,23550.0
2025-03-25 13:15:00,37.85,49.15,37.55,40.25,4855500,15.098851,10084725,23667.5,23500.0
2025-03-25 13:30:00,39.5,50.1,38.5,40.65,2073150,14.913087,2886000,23711.6,23550.0
2025-03-25 13:45:00,40.5,51.7,36.15,47.4,3294975,14.758737,6563475,23733.1,23600.0
2025-03-25 14:00:00,36.7,49.55,35.45,44.25,2337675,14.586342,6731100,23739.9,23600.0
2025-03-25 14:15:00,44.3,46.0,34.65,41.0,2056275,14.647746,2753175,23702.0,23550.0
2025-03-25 14:30:00,40.4,43.0,34.2,42.5,1447350,14.663445,2675625,23695.9,23550.0
2025-03-25 14:45:00,42.15,45.0,32.7,40.5,3920100,13.743852,2612250,23682.7,23550.0
2025-03-25 15:00:00,40.2,46.1,34.25,37.85,2787450,15.038817,9621900,23670.3,23500.0
2025-03-25 15:15:00,37.25,48.3,35.65,39.15,7988925,14.698767,2056275,23605.95,23450.0
2025-03-26 09:15:00,45.05,54.85,33.45,44.05,11047425,18.966437,3489075,23699.95,23550.0
2025-03-26 09:30:00,43.75,50.15,30.9,35.4,15428700,16.935941,11017275,23646.2,23500.0
2025-03-26 09:45:00,26.2,43.55,25.0,27.35,17378025,16.662988,11161200,23674.9,23500.0
2025-03-26 10:00:00,27.2,38.7,24.7,34.55,10716450,15.851947,5001225,23679.15,23550.0
2025-03-26 10:15:00,25.8,37.5,23.9,26.75,7033500,15.996625,11934150,23662.8,23500.0
2025-03-26 10:30:00,26.35,33.05,21.55,23.25,9813750,15.585169,12218250,23670.85,23500.0
2025-03-26 10:45:00,30.65,36.75,24.85,34.25,4959750,16.088482,4732650,23681.0,23550.0
2025-03-26 11:00:00,34.65,38.85,26.8,29.8,15524475,16.412296,11193600,23653.0,23500.0
2025-03-26 11:15:00,30.2,34.1,25.45,26.35,8618475,16.142937,11447400,23662.45,23500.0
2025-03-26 11:30:00,26.15,34.55,24.55,29.9,9874500,15.906901,11298075,23641.35,23500.0
2025-03-26 11:45:00,30.4,35.55,23.6,33.8,9654375,16.814533,3628800,23589.15,23450.0
2025-03-26 12:00:00,33.45,37.35,25.9,27.9,9134025,16.294727,3510150,23603.75,23450.0
2025-03-26 12:15:00,28.25,31.35,26.3,29.0,3676950,16.388055,3599775,23599.3,23450.0
2025-03-26 12:30:00,29.25,35.55,23.8,25.75,4098300,17.025948,3636225,23624.2,23450.0
2025-03-26 12:45:00,36.1,37.7,24.8,27.6,6245175,17.089537,3677550,23615.2,23450.0
2025-03-26 13:00:00,27.35,35.45,22.65,24.6,10005075,16.448994,7955025,23566.1,23400.0
2025-03-26 13:15:00,24.6,36.3,24.05,27.45,14862300,16.924357,6495150,23559.7,23400.0
2025-03-26 13:30:00,26.85,34.1,23.5,25.7,10051950,16.979035,3261300,23516.85,23350.0
2025-03-26 13:45:00,25.7,32.85,22.75,29.05,8748300,15.84106,7022400,23532.0,23400.0
2025-03-26 14:00:00,28.95,29.95,23.5,26.4,7860675,16.341015,7155375,23550.5,23400.0
2025-03-26 14:15:00,26.2,29.7,23.9,27.4,7698675,16.199317,7401675,23542.4,23400.0
2025-03-26 14:30:00,27.4,31.2,20.9,30.15,6912450,15.925249,7139250,23525.3,23400.0
2025-03-26 14:45:00,21.45,34.2,20.2,28.95,11416575,16.067481,3222750,23480.65,23350.0
2025-03-26 15:00:00,29.75,32.6,22.9,24.85,7287825,16.324534,3143700,23501.45,23350.0
2025-03-26 15:15:00,24.65,29.25,19.15,19.6,7239525,15.661908,7986975,23464.3,23300.0
2025-03-27 09:15:00,24.4,33.6,18.3,23.35,32586450,30.389831,12731325,23543.85,23400.0
2025-03-27 09:30:00,23.3,25.9,16.2,18.7,19338225,29.601883,13756650,23554.7,23400.0
2025-03-27 09:45:00,18.6,22.45,14.25,17.35,20288250,27.072895,10730550,23585.45,23450.0
2025-03-27 10:00:00,17.3,19.5,12.65,14.55,15407325,27.643152,10538100,23600.35,23450.0
2025-03-27 10:15:00,14.6,15.65,10.6,10.6,11870775,27.343629,10797600,23617.8,23450.0
2025-03-27 10:30:00,10.8,15.25,10.05,12.55,11076000,25.521434,10697550,23583.3,23450.0
2025-03-27 10:45:00,12.6,14.45,8.75,10.55,12439575,23.825897,10558500,23576.3,23450.0
2025-03-27 11:00:00,10.25,10.25,5.95,6.35,15295875,23.857056,9445125,23602.9,23450.0
2025-03-27 11:15:00,6.45,7.8,6.2,7.35,9951225,22.914495,9606975,23580.15,23450.0
2025-03-27 11:30:00,7.35,7.45,4.4,4.75,9608925,24.448195,9093300,23611.5,23450.0
2025-03-27 11:45:00,4.8,5.2,4.6,5.2,5852250,24.580288,8923725,23600.45,23450.0
2025-03-27 12:00:00,5.15,6.4,4.3,4.65,9026700,24.770609,8859225,23600.5,23450.0
2025-03-27 12:15:00,4.7,6.45,4.5,6.05,6101025,25.703415,8946525,23585.95,23450.0
2025-03-27 12:30:00,6.1,7.8,4.75,4.85,13415400,27.08543,9669150,23599.7,23450.0
2025-03-27 12:45:00,4.9,5.35,4.35,4.4,7610625,27.567111,9886275,23598.8,23450.0
2025-03-27 13:00:00,4.4,4.65,3.4,4.6,11242350,27.579581,9411300,23586.6,23450.0
2025-03-27 13:15:00,4.5,5.45,3.15,3.2,15707025,28.599438,9264075,23599.55,23450.0
2025-03-27 13:30:00,3.25,3.35,2.75,2.95,11676675,30.909773,8645400,23605.6,23450.0
2025-03-27 13:45:00,2.9,2.95,2.15,2.4,8192175,31.767347,7541475,23604.9,23450.0
2025-03-27 14:00:00,2.4,2.4,1.5,1.65,8549100,32.900496,6752850,23609.1,23450.0
2025-03-27 14:15:00,1.65,1.9,0.95,1.0,11658900,32.814517,5718525,23605.05,23450.0
2025-03-27 14:30:00,1.0,2.5,0.8,0.9,25437300,36.775558,5756700,23603.4,23450.0
2025-03-27 14:45:00,0.95,1.0,0.35,0.5,12108975,40.73264,5217450,23603.1,23450.0
2025-03-27 15:00:00,0.55,0.8,0.25,0.3,13786125,48.59348,4741800,23589.25,23450.0
2025-03-27 15:15:00,0.25,0.3,0.05,0.05,5222175,0.0,3824025,23601.05,23450.0
2025-03-28 09:15:00,238.45,238.45,217.25,219.85,4575,13.424166,42900,23561.9,23400.0
2025-03-28 09:30:00,219.85,245.0,219.85,245.0,2250,13.929368,43950,23527.7,23400.0
2025-03-28 09:45:00,245.0,245.0,219.95,219.95,3675,13.363881,44775,23556.8,23400.0
2025-03-28 10:00:00,219.95,231.7,210.0,220.5,1275,13.63501,2850,23524.15,23350.0
2025-03-28 10:15:00,230.0,234.9,219.25,225.35,5175,13.605467,47625,23559.25,23400.0
2025-03-28 10:30:00,225.35,246.9,214.35,214.35,8100,13.211256,2625,23613.05,23450.0
2025-03-28 10:45:00,214.35,233.55,214.35,230.55,9375,13.365978,224550,23629.35,23500.0
2025-03-28 11:00:00,232.0,232.0,210.0,213.95,2475,13.022366,2475,23599.55,23450.0
2025-03-28 11:15:00,213.95,230.45,213.05,217.0,600,13.418726,50175,23569.2,23400.0
2025-03-28 11:30:00,217.0,217.0,210.0,216.0,375,13.448821,52875,23574.4,23400.0
2025-03-28 11:45:00,216.0,219.0,216.0,218.45,150,13.517231,52800,23572.35,23400.0
2025-03-28 12:00:00,218.45,218.45,218.45,218.45,0,13.517231,52800,23572.35,23400.0
2025-03-28 12:15:00,218.45,229.95,214.0,229.95,6150,13.434445,52950,23532.3,23400.0
2025-03-28 12:30:00,229.95,229.95,204.75,209.55,150,12.972943,3300,23504.9,23350.0
2025-03-28 12:45:00,209.55,232.4,209.55,232.4,225,13.471168,51300,23527.9,23400.0
2025-03-28 13:00:00,232.4,232.4,200.2,210.0,300,13.260463,52875,23473.85,23300.0
2025-03-28 13:15:00,210.0,228.45,209.55,228.45,75,13.648604,3225,23500.65,23350.0
2025-03-28 13:30:00,228.45,228.45,225.0,225.0,150,13.426015,3225,23493.75,23350.0
2025-03-28 13:45:00,225.0,225.0,211.0,220.0,4425,13.596663,52800,23469.5,23300.0
2025-03-28 14:00:00,220.0,227.55,217.2,221.7,2850,13.723679,52500,23474.1,23300.0
2025-03-28 14:15:00,221.7,240.0,221.7,230.0,1875,13.968578,63000,23571.8,23400.0
2025-03-28 14:30:00,230.0,240.6,220.0,238.3,7050,13.645559,5400,23575.3,23450.0
2025-03-28 14:45:00,238.3,238.3,230.0,232.0,375,13.580307,5700,23588.2,23450.0
2025-03-28 15:00:00,215.5,229.5,215.5,221.8,3000,13.286261,59400,23543.6,23400.0
2025-03-28 15:15:00,221.8,226.0,201.55,215.0,1050,13.06857,3075,23495.15,23350.0
2025-04-01 09:15:00,206.45,232.4,205.1,218.0,3600,14.048997,43725,23471.45,23300.0
2025-04-01 09:30:00,218.0,240.0,218.0,225.5,3225,13.935122,63525,23545.1,23400.0
2025-04-01 09:45:00,225.5,235.0,205.0,218.4,5700,13.803891,4275,23504.4,23350.0
2025-04-01 10:00:00,218.4,218.4,204.45,209.55,4125,13.494385,48225,23456.3,23300.0
2025-04-01 10:15:00,209.55,219.0,190.0,219.0,1650,13.556385,37800,23330.2,23200.0
2025-04-01 10:30:00,219.0,219.0,189.0,211.75,150,13.806417,5325,23316.8,23150.0
2025-04-01 10:45:00,220.0,220.0,199.45,214.05,3600,13.590006,30825,23243.15,23100.0
2025-04-01 11:00:00,214.05,220.45,207.05,210.8,3525,13.507682,31725,24585.75,24300.0
2025-04-01 11:15:00,215.2,221.0,210.4,210.4,5100,13.552679,31725,23250.85,23100.0
2025-04-01 11:30:00,210.4,226.0,210.4,220.0,600,13.717812,31875,23234.85,23100.0
2025-04-01 11:45:00,220.0,220.0,217.25,217.25,75,13.810305,150,23197.25,23050.0
