datetime,open,high,low,close,volume,iv,oi,spot,strike
2025-07-29 09:15:00,24.75,27.45,17.0,23.1,10641450,15.747915,3805275,24710.4,25050.0
2025-07-29 09:30:00,22.95,23.1,18.7,20.65,2914650,15.748778,3883275,24694.2,25050.0
2025-07-29 09:45:00,21.0,24.8,18.95,19.95,2858550,15.521825,3921525,24697.25,25050.0
2025-07-29 10:00:00,20.0,23.5,18.35,21.25,2700375,15.338207,16716975,24664.55,25000.0
2025-07-29 10:15:00,21.35,22.3,18.6,19.15,5481825,15.894237,16549800,24632.9,25000.0
2025-07-29 10:30:00,19.25,20.65,19.2,20.15,3244350,15.870083,16407075,24642.6,25000.0
2025-07-29 10:45:00,20.3,24.1,19.5,21.45,2983725,16.137007,16281750,24645.25,25000.0
2025-07-29 11:00:00,21.45,21.8,19.75,21.55,2367000,15.7609,16511250,24658.6,25000.0
2025-07-29 11:15:00,21.35,23.15,17.75,18.0,2673900,15.703905,4619175,24683.65,25050.0
2025-07-29 11:30:00,17.95,20.05,16.55,16.9,1589325,15.717063,4448775,24675.3,25050.0
2025-07-29 11:45:00,16.75,21.3,15.85,19.2,2301750,14.834629,16653075,24673.25,25000.0
2025-07-29 12:00:00,19.2,19.45,14.9,17.35,1851150,15.291208,4451100,24695.05,25050.0
2025-07-29 12:15:00,17.35,18.6,16.1,16.9,1039200,15.161388,4424850,24696.65,25050.0
2025-07-29 12:30:00,16.95,18.2,16.2,16.6,1162650,15.079725,4463475,24697.95,25050.0
2025-07-29 12:45:00,16.7,17.85,15.65,17.1,696825,14.910658,4459275,24708.55,25050.0
2025-07-29 13:00:00,17.1,17.55,14.1,15.4,1635075,15.219057,10813725,24734.7,25100.0
2025-07-29 13:15:00,15.4,15.95,14.0,14.35,1792350,14.952007,10645350,24734.95,25100.0
2025-07-29 13:30:00,14.25,18.3,14.15,15.45,4361175,14.547741,10362750,24758.85,25100.0
2025-07-29 13:45:00,15.5,17.0,12.5,13.75,4371075,14.823308,5077125,24785.0,25150.0
2025-07-29 14:00:00,13.7,16.9,13.4,14.45,3301200,14.649429,5036325,24798.35,25150.0
2025-07-29 14:15:00,14.45,16.05,13.45,14.7,1894650,14.100361,4958100,24819.1,25150.0
2025-07-29 14:30:00,14.85,17.75,11.25,12.1,3260775,14.229613,4999275,24791.8,25150.0
2025-07-29 14:45:00,12.0,13.9,10.25,11.1,2784900,13.910821,5121525,24793.05,25150.0
2025-07-29 15:00:00,11.35,12.85,10.25,11.75,3989550,13.530143,4853775,24813.45,25150.0
2025-07-29 15:15:00,11.85,12.4,8.0,8.05,7071825,13.252237,11610450,24830.4,25200.0
2025-07-30 09:15:00,8.0,9.0,4.95,5.4,15800550,15.409649,12240825,24833.2,25200.0
2025-07-30 09:30:00,5.4,7.85,4.95,5.3,12285000,15.589467,4356825,24877.2,25250.0
2025-07-30 09:45:00,7.3,8.0,5.35,5.85,8617800,15.597659,12401025,24839.35,25200.0
2025-07-30 10:00:00,5.85,6.1,5.35,5.8,4973925,15.507542,12459900,24843.05,25200.0
2025-07-30 10:15:00,5.75,7.6,5.45,6.95,7005750,15.595829,5832750,24810.95,25150.0
2025-07-30 10:30:00,6.8,7.25,5.2,6.45,4732050,15.832549,6066975,24799.05,25150.0
2025-07-30 10:45:00,8.85,8.85,6.2,6.95,5217000,15.506189,6268425,24817.2,25150.0
2025-07-30 11:00:00,6.95,7.3,5.2,6.15,6458025,15.868568,12960225,24846.5,25200.0
2025-07-30 11:15:00,6.05,7.25,4.7,6.2,9232950,15.858126,4534350,24898.7,25250.0
2025-07-30 11:30:00,6.1,7.8,5.15,7.2,7239900,15.727614,12821175,24869.65,25200.0
2025-07-30 11:45:00,7.15,7.4,4.75,4.9,5608575,16.0063,4511475,24876.3,25250.0
2025-07-30 12:00:00,7.05,7.05,5.35,5.4,5957775,15.52403,12975150,24851.85,25200.0
2025-07-30 12:15:00,5.45,6.25,5.4,5.75,5044200,15.245204,12944175,24867.25,25200.0
2025-07-30 12:30:00,5.75,6.4,5.45,5.45,4918650,15.50704,13043925,24857.25,25200.0
2025-07-30 12:45:00,5.45,6.6,5.4,5.9,4497150,15.544949,12917925,24865.55,25200.0
2025-07-30 13:00:00,5.9,6.2,5.05,5.25,6773250,15.816609,13085100,24849.55,25200.0
2025-07-30 13:15:00,5.25,5.55,4.5,4.75,5643825,16.061035,13173150,24835.85,25200.0
