datetime,open,high,low,close,volume,iv,oi,spot,strike
2025-09-29 09:15:00,313.95,348.15,281.35,317.95,2988450,22.38,1949925,24758.4,24500.0
2025-09-29 10:15:00,318.4,336.65,273.0,299.35,1647075,22.21,1827000,24740.45,24500.0
2025-09-29 11:15:00,300.05,349.25,288.6,296.0,930900,21.36,352350,24641.7,24400.0
2025-09-29 12:15:00,299.35,323.9,250.35,284.7,587250,20.32,146625,24687.05,24450.0
2025-09-29 13:15:00,281.95,325.15,261.45,307.2,990075,18.38,118125,24723.85,24450.0
2025-09-29 14:15:00,310.5,337.6,255.0,296.25,1154475,23.59,210825,24639.65,24400.0
2025-09-29 15:15:00,294.65,300.7,247.1,251.0,149850,12.55,103800,24677.55,24450.0
2025-09-30 09:15:00,267.6,307.3,225.6,250.9,1463025,20.11,295875,24636.7,24400.0
2025-09-30 10:15:00,250.7,288.0,230.25,275.05,1015275,18.68,361800,24666.9,24400.0
2025-09-30 11:15:00,274.1,289.25,226.35,258.5,1171500,21.64,404175,24646.2,24400.0
2025-09-30 12:15:00,258.85,293.4,229.45,270.5,863100,19.27,332250,24664.95,24400.0
2025-09-30 13:15:00,270.95,281.05,221.1,273.0,781125,0.0,83025,24623.9,24350.0
2025-09-30 14:15:00,272.85,300.7,204.0,264.45,970950,0.0,90225,24614.85,24350.0
2025-09-30 15:15:00,263.65,264.2,210.7,210.75,74250,0.0,359400,24633.6,24400.0
2025-10-01 09:15:00,507.95,541.15,490.75,513.95,37050,8.46,66600,24659.95,24400.0
2025-10-01 10:15:00,518.5,530.9,484.0,512.7,6075,8.57,13350,24702.2,24450.0
2025-10-01 11:15:00,512.7,543.55,490.0,523.0,137700,9.09,16650,24803.35,24550.0
2025-10-01 12:15:00,531.6,550.15,506.4,532.6,98775,8.94,1353750,24770.7,24500.0
2025-10-01 13:15:00,533.35,541.95,500.0,520.0,8700,9.24,15900,24795.2,24550.0
2025-10-01 14:15:00,520.0,531.95,488.25,526.65,75675,8.6,13275,24822.5,24550.0
2025-10-01 15:15:00,490.5,504.4,490.0,504.35,111975,8.14,814500,24853.4,24600.0
2025-10-03 09:15:00,518.35,527.45,471.35,491.3,101250,8.5,14925,24798.35,24550.0
2025-10-03 10:15:00,491.3,519.2,475.0,499.5,15750,8.24,15150,24815.6,24550.0
2025-10-03 11:15:00,499.5,506.7,467.5,482.45,16350,8.4,814650,24840.4,24600.0
2025-10-03 12:15:00,480.7,518.0,467.7,483.75,9975,8.34,814500,24843.65,24600.0
2025-10-03 13:15:00,480.0,508.0,463.0,508.0,19350,9.02,13725,24809.05,24550.0
2025-10-03 14:15:00,508.0,508.0,459.75,474.15,31725,8.03,120900,24888.5,24650.0
2025-10-03 15:15:00,474.15,478.9,465.5,471.05,4725,7.66,118275,24895.0,24650.0
2025-10-06 09:15:00,471.05,483.4,434.9,474.4,104550,7.94,1658100,24968.9,24700.0
2025-10-06 10:15:00,473.4,480.6,438.0,457.0,99300,7.08,469950,25014.8,24750.0
2025-10-06 11:15:00,457.0,475.1,446.55,470.3,17250,8.27,464700,25008.05,24750.0
2025-10-06 12:15:00,475.9,484.0,444.25,473.75,172125,8.41,2321700,25060.05,24800.0
2025-10-06 13:15:00,473.0,497.05,447.55,478.75,256275,8.64,2115675,25059.75,24800.0
2025-10-06 14:15:00,478.05,487.45,441.2,485.95,97350,8.39,2063850,25074.5,24800.0
2025-10-06 15:15:00,444.85,491.2,444.25,480.0,24825,8.08,2052375,25072.55,24800.0
2025-10-07 09:15:00,458.05,482.2,421.0,448.25,101025,8.33,102075,25183.65,24950.0
2025-10-07 10:15:00,448.25,486.85,432.15,458.0,68625,8.2,1102575,25152.2,24900.0
2025-10-07 11:15:00,456.85,476.6,433.95,458.6,72150,8.11,1128225,25154.3,24900.0
2025-10-07 12:15:00,461.2,472.0,429.65,437.65,39600,7.71,103050,25188.1,24950.0
2025-10-07 13:15:00,443.6,472.7,425.2,447.85,28575,7.12,101250,25212.55,24950.0
2025-10-07 14:15:00,454.95,482.05,431.75,461.15,79500,8.95,84450,25091.0,24850.0
2025-10-07 15:15:00,459.7,470.8,459.7,470.8,7650,8.59,79875,25112.8,24850.0
2025-10-08 09:15:00,424.0,470.0,418.65,439.0,84300,7.7,1017975,25149.55,24900.0
2025-10-08 10:15:00,434.7,472.15,412.0,431.0,51825,7.64,1747425,25042.65,24800.0
2025-10-08 11:15:00,430.0,449.0,416.4,438.0,90975,7.62,1764675,25051.1,24800.0
2025-10-08 12:15:00,438.0,463.0,411.75,434.75,44100,7.6,75825,25098.05,24850.0
2025-10-08 13:15:00,430.3,474.55,412.75,451.05,26175,7.33,1740375,25070.3,24800.0
2025-10-08 14:15:00,450.75,453.0,400.0,411.0,68475,6.78,1738800,25036.4,24800.0
2025-10-08 15:15:00,415.75,463.35,413.0,463.35,30450,8.18,449625,25023.8,24750.0
2025-10-09 09:15:00,444.95,464.7,405.0,442.0,106050,8.78,1717125,25041.8,24800.0
2025-10-09 10:15:00,442.2,467.1,415.0,457.15,85875,9.12,992325,25152.55,24900.0
2025-10-09 11:15:00,456.25,476.85,421.5,446.1,93450,9.08,982125,25140.0,24900.0
2025-10-09 12:15:00,451.5,479.05,427.0,434.75,33225,8.75,977475,25132.95,24900.0
2025-10-09 13:15:00,434.75,468.25,423.65,441.5,41850,8.9,972975,25140.25,24900.0
