datetime,open,high,low,close,volume,iv,oi,spot,strike
2025-10-27 09:15:00,444.3,481.3,409.0,421.2,80175,0.0,15975,25961.85,26450.0
2025-10-27 10:15:00,421.8,470.8,407.1,465.7,25350,0.0,614700,25976.3,26500.0
2025-10-27 11:15:00,414.2,479.2,414.2,451.8,126225,0.0,580950,25996.25,26500.0
2025-10-27 12:15:00,452.3,485.4,421.4,439.9,68625,0.0,28350,25970.6,26450.0
2025-10-27 13:15:00,439.9,499.0,423.0,465.05,46350,0.0,17850,25938.5,26450.0
2025-10-27 14:15:00,469.75,497.6,432.25,441.25,31050,0.0,17475,25963.8,26450.0
2025-10-27 15:15:00,442.0,486.4,423.95,423.95,12000,0.0,17175,25974.0,26450.0
2025-10-28 09:15:00,550.0,550.0,438.25,483.0,429975,0.0,125475,25905.25,26400.0
2025-10-28 10:15:00,491.3,521.0,453.05,489.35,60825,0.0,40950,25852.3,26350.0
2025-10-28 11:15:00,493.75,520.05,455.3,502.8,45675,0.0,38925,25843.65,26350.0
2025-10-28 12:15:00,503.8,517.75,435.0,508.4,38850,0.0,21750,25926.35,26450.0
2025-10-28 13:15:00,455.0,525.95,455.0,493.9,20550,44.01,48000,25873.7,26350.0
2025-10-28 14:15:00,476.25,531.75,462.9,515.3,55125,43.88,23025,25943.0,26450.0
2025-10-28 15:15:00,511.65,514.8,509.3,514.8,4950,54.01,21975,25965.4,26450.0
2025-10-29 09:15:00,510.0,514.9,469.15,489.2,139200,10.99,749925,25997.7,26500.0
2025-10-29 10:15:00,487.8,507.05,463.85,468.85,41700,10.81,787725,26022.45,26500.0
2025-10-29 11:15:00,469.35,500.2,465.05,470.0,9075,10.43,3600,26054.75,26550.0
2025-10-29 12:15:00,470.0,488.0,450.0,483.1,2550,10.31,46350,26080.25,26600.0
2025-10-29 13:15:00,483.1,494.55,450.0,485.4,2775,10.96,4425,26052.85,26550.0
2025-10-29 14:15:00,485.4,499.75,457.65,481.05,5325,10.59,5175,26043.55,26550.0
2025-10-29 15:15:00,481.05,481.05,464.0,466.5,1425,10.63,5100,26068.3,26550.0
2025-10-30 09:15:00,475.0,535.05,472.8,499.0,72075,11.68,14925,25959.45,26450.0
2025-10-30 10:15:00,499.0,523.95,486.05,500.0,6675,11.64,14325,25956.1,26450.0
2025-10-30 11:15:00,500.0,505.8,480.0,490.3,5550,11.44,279450,25912.25,26400.0
2025-10-30 12:15:00,490.3,510.05,484.3,484.3,13875,11.51,278775,25923.05,26400.0
2025-10-30 13:15:00,484.3,524.85,459.2,509.95,22650,11.58,277275,25889.35,26400.0
2025-10-30 14:15:00,505.05,517.2,456.7,481.0,11025,11.42,37425,25873.75,26350.0
2025-10-30 15:15:00,510.0,510.0,497.3,502.0,8025,11.36,278925,25891.2,26400.0
2025-10-31 09:15:00,501.95,510.65,452.75,498.0,11550,10.81,270975,25879.0,26400.0
2025-10-31 10:15:00,452.75,521.5,452.75,512.95,72225,11.45,696150,25777.2,26300.0
2025-10-31 11:15:00,484.75,518.0,474.45,496.15,26475,11.33,702075,25798.15,26300.0
2025-10-31 12:15:00,500.0,515.4,492.7,494.7,31275,11.35,712650,25800.65,26300.0
2025-10-31 13:15:00,495.05,521.7,482.95,511.95,18600,11.45,729450,25777.4,26300.0
2025-10-31 14:15:00,474.8,518.3,456.5,460.2,35475,10.42,2096025,25715.75,26200.0
2025-10-31 15:15:00,456.3,489.25,448.5,489.25,39900,10.68,71250,25732.55,26250.0
2025-11-03 09:15:00,481.0,527.3,468.85,487.55,94200,11.47,2028300,25712.35,26200.0
2025-11-03 10:15:00,490.0,520.05,470.8,483.9,19050,11.11,69975,25753.9,26250.0
2025-11-03 11:15:00,483.9,513.95,476.25,492.2,23475,11.48,2012400,25702.7,26200.0
2025-11-03 12:15:00,494.8,518.0,477.5,492.0,5325,11.41,69450,25752.1,26250.0
2025-11-03 13:15:00,492.0,507.5,483.0,488.6,1650,11.82,69975,25770.8,26250.0
2025-11-03 14:15:00,513.05,513.75,465.4,499.0,7725,12.12,69975,25765.95,26250.0
2025-11-03 15:15:00,486.0,488.25,486.0,487.0,600,11.89,69975,25774.3,26250.0
2025-11-04 09:15:00,497.05,529.05,479.7,513.7,71775,12.32,2002425,25698.55,26200.0
2025-11-04 10:15:00,517.55,528.35,494.1,522.85,72525,12.32,1981950,25684.7,26200.0
2025-11-04 11:15:00,520.2,534.7,494.0,528.5,38700,12.46,1882125,25680.5,26200.0
2025-11-04 12:15:00,503.05,534.15,482.05,491.25,37725,11.76,47325,25660.35,26150.0
2025-11-04 13:15:00,491.25,535.35,489.0,494.05,16800,12.01,730650,25617.05,26100.0
2025-11-04 14:15:00,495.05,534.4,485.05,503.45,68850,12.0,718125,25600.0,26100.0
2025-11-04 15:15:00,503.95,515.0,500.7,515.0,27300,12.12,707325,25586.25,26100.0
2025-11-06 09:15:00,491.1,522.2,461.0,488.35,34350,11.17,90750,25542.75,26050.0
2025-11-06 10:15:00,500.0,516.6,470.65,490.85,11850,11.84,89250,25560.5,26050.0
2025-11-06 11:15:00,490.85,512.65,474.2,492.5,3225,11.52,88500,25546.65,26050.0
2025-11-06 12:15:00,492.5,509.4,449.0,500.25,12675,11.39,664200,25583.6,26100.0
2025-11-06 13:15:00,500.25,516.4,467.35,510.0,31650,12.5,85800,25552.95,26050.0
2025-11-06 14:15:00,501.25,508.4,466.75,482.9,68925,11.17,4372350,25500.6,26000.0
2025-11-06 15:15:00,481.0,483.1,465.0,465.1,109200,10.93,4368075,25519.95,26000.0
2025-11-07 09:15:00,468.65,518.55,461.65,497.0,68850,11.71,120525,25343.25,25850.0
2025-11-07 10:15:00,489.4,509.35,457.0,478.15,34725,11.32,1303875,25409.95,25900.0
2025-11-07 11:15:00,477.7,515.05,466.5,491.1,9525,11.7,139050,25454.2,25950.0
2025-11-07 12:15:00,485.95,511.0,452.6,495.45,131625,11.39,4135650,25486.3,26000.0
2025-11-07 13:15:00,495.5,538.0,459.15,471.45,61425,11.54,134100,25474.4,25950.0
2025-11-07 14:15:00,469.9,543.15,458.25,502.05,197025,11.7,4123350,25486.85,26000.0
2025-11-07 15:15:00,494.8,494.8,473.85,485.0,58650,11.64,4110225,25510.8,26000.0
2025-11-10 09:15:00,521.05,521.05,455.4,498.0,15600,11.09,605700,25576.0,26100.0
2025-11-10 10:15:00,498.0,515.55,456.0,500.3,20850,11.37,42300,25629.9,26150.0
2025-11-10 11:15:00,492.4,502.45,458.85,462.0,4275,11.06,601275,25624.3,26100.0
2025-11-10 12:15:00,502.45,502.45,457.0,502.45,0,11.59,41700,25630.25,26150.0
2025-11-10 13:15:00,502.45,502.45,459.0,461.75,10950,11.01,605550,25618.9,26100.0
2025-11-10 14:15:00,457.35,502.45,426.35,442.0,18825,9.52,77550,25565.45,26050.0
2025-11-10 15:15:00,441.45,441.45,433.55,436.9,375,9.69,77625,25574.25,26050.0
2025-11-11 09:15:00,442.7,513.1,434.75,466.95,295575,10.48,4178250,25501.95,26000.0
2025-11-11 10:15:00,469.0,495.65,456.75,485.2,211650,10.5,4112850,25478.45,26000.0
2025-11-11 11:15:00,485.3,497.25,448.05,473.25,77100,10.17,73425,25538.3,26050.0
2025-11-11 12:15:00,473.25,493.75,435.0,471.0,4200,10.01,606525,25588.35,26100.0
2025-11-11 13:15:00,462.15,485.1,443.0,452.05,6675,9.12,38325,25647.2,26150.0
2025-11-11 14:15:00,452.05,477.8,424.85,470.2,81450,10.2,1241400,25694.9,26200.0
2025-11-11 15:15:00,467.5,468.7,435.85,443.8,26850,9.07,1244700,25705.55,26200.0
2025-11-12 09:15:00,429.95,479.9,421.2,464.55,98550,9.59,29625,25839.85,26350.0
2025-11-12 10:15:00,464.55,481.75,436.6,481.75,3600,10.31,142500,25881.9,26400.0
2025-11-12 11:15:00,477.15,484.0,460.3,467.0,19125,9.61,142500,25888.75,26400.0
2025-11-12 12:15:00,473.5,473.5,439.0,445.5,9600,9.95,144750,25923.25,26400.0
2025-11-12 13:15:00,445.0,489.3,440.4,463.05,3975,9.62,144600,25893.3,26400.0
2025-11-12 14:15:00,463.0,472.1,423.65,456.3,11700,8.57,147000,25884.4,26400.0
2025-11-12 15:15:00,466.55,466.55,427.6,433.7,675,9.19,32250,25874.0,26350.0
2025-11-13 09:15:00,459.55,492.0,436.35,459.45,6450,9.64,148425,25898.5,26400.0
2025-11-13 10:15:00,459.45,494.9,435.35,447.75,5025,9.66,10725,25963.35,26450.0
2025-11-13 11:15:00,447.75,483.0,439.5,476.0,15600,9.71,890325,25980.1,26500.0
2025-11-13 12:15:00,480.0,493.95,445.5,485.7,35775,10.41,904575,25977.95,26500.0
2025-11-13 13:15:00,484.35,511.2,443.4,484.6,116850,11.17,150975,25894.45,26400.0
2025-11-13 14:15:00,485.2,520.15,453.05,495.0,15075,11.08,150075,25878.55,26400.0
2025-11-13 15:15:00,495.0,495.95,452.95,495.95,6525,11.51,151950,25884.1,26400.0
2025-11-14 09:15:00,498.3,504.1,439.4,499.0,68850,11.48,528750,25780.05,26300.0
2025-11-14 10:15:00,500.0,501.0,446.95,452.2,140325,9.41,36300,25855.25,26350.0
2025-11-14 11:15:00,452.2,495.35,437.1,478.4,41025,9.6,36000,25826.4,26350.0
2025-11-14 12:15:00,436.3,476.0,436.3,457.55,25725,9.44,623700,25799.6,26300.0
2025-11-14 13:15:00,458.45,484.0,431.7,463.6,20550,11.45,68100,25774.4,26250.0
2025-11-14 14:15:00,450.7,594.55,433.4,524.75,16575,13.55,9075,25930.2,26450.0
2025-11-14 15:15:00,524.75,524.75,470.05,470.05,9000,11.51,173025,25916.8,26400.0
2025-11-17 09:15:00,455.45,493.35,439.2,450.95,14700,7.82,9075,25949.3,26450.0
2025-11-17 10:15:00,450.95,474.6,450.95,473.35,525,10.52,9000,25946.2,26450.0
2025-11-17 11:15:00,473.35,492.4,444.05,469.5,2325,11.93,8850,25967.65,26450.0
2025-11-17 12:15:00,469.5,483.5,431.3,476.8,41475,9.19,1044975,25980.95,26500.0
2025-11-17 13:15:00,476.95,478.95,431.3,455.0,71100,10.02,1052250,26010.5,26500.0
2025-11-17 14:15:00,455.0,483.0,455.0,470.0,66450,11.57,1052100,26012.4,26500.0
2025-11-17 15:15:00,472.2,472.8,463.5,465.95,29025,11.14,1053450,26014.3,26500.0
2025-11-18 09:15:00,485.6,515.55,476.0,498.0,38175,13.08,253875,25895.85,26400.0
2025-11-18 10:15:00,501.0,523.15,464.05,503.65,30000,12.44,9300,25933.9,26450.0
2025-11-18 11:15:00,503.65,512.4,468.6,477.3,6825,12.38,9000,25962.5,26450.0
2025-11-18 12:15:00,479.2,508.0,479.2,494.0,1125,13.32,8925,25953.5,26450.0
2025-11-18 13:15:00,494.0,514.85,455.0,488.0,36750,11.33,960825,25988.7,26500.0
2025-11-18 14:15:00,486.95,519.45,454.45,476.25,39600,10.79,265050,25897.75,26400.0
2025-11-18 15:15:00,480.0,490.65,468.0,490.65,45375,12.03,252150,25894.7,26400.0
2025-11-19 09:15:00,500.85,527.4,440.75,488.8,85425,12.95,20100,25952.1,26450.0
2025-11-19 10:15:00,476.95,523.05,464.95,516.55,26775,13.75,20850,25927.0,26450.0
2025-11-19 11:15:00,474.45,519.95,452.75,479.15,83100,10.93,952725,25993.3,26500.0
2025-11-19 12:15:00,478.0,516.75,456.75,509.8,207900,13.16,10350,26027.9,26550.0
2025-11-19 13:15:00,462.0,502.2,452.5,499.4,153225,12.22,14700,26033.0,26550.0
2025-11-19 14:15:00,494.0,507.25,473.4,491.2,39300,13.86,15975,26059.1,26550.0
2025-11-19 15:15:00,494.65,501.85,486.7,489.6,3375,13.11,16875,26052.7,26550.0
2025-11-20 09:15:00,475.05,536.6,467.0,480.0,42450,11.73,99825,26099.65,26600.0
2025-11-20 10:15:00,484.0,519.95,464.35,502.45,30075,12.9,14475,26133.1,26650.0
2025-11-20 11:15:00,508.4,514.75,487.0,495.1,9075,13.34,13275,26146.05,26650.0
2025-11-20 12:15:00,495.1,520.5,465.35,518.85,16425,14.42,62700,26177.8,26700.0
2025-11-20 13:15:00,516.0,519.8,448.65,454.95,34950,11.31,68700,26224.65,26700.0
2025-11-20 14:15:00,503.85,503.85,449.1,480.5,39225,12.26,57075,26203.2,26700.0
2025-11-20 15:15:00,482.75,483.0,470.05,470.95,11250,7.14,55575,26197.4,26700.0
2025-11-21 09:15:00,431.0,519.45,431.0,502.0,93375,13.69,103350,26087.4,26600.0
2025-11-21 10:15:00,502.9,520.05,460.5,481.7,54525,13.07,105375,26106.7,26600.0
2025-11-21 11:15:00,480.45,507.95,446.65,464.25,21825,12.86,107100,26123.9,26600.0
2025-11-21 12:15:00,511.35,519.0,459.25,491.0,18300,11.18,18975,26135.55,26650.0
2025-11-21 13:15:00,508.45,531.7,465.0,487.45,52050,12.62,19575,26147.15,26650.0
2025-11-21 14:15:00,487.45,521.0,464.95,472.25,47475,13.63,51825,26069.35,26550.0
2025-11-21 15:15:00,516.8,516.8,462.25,479.65,7275,13.62,48525,26063.95,26550.0
2025-11-24 09:15:00,471.5,510.0,452.95,508.9,38775,0.0,16500,26128.5,26650.0
2025-11-24 10:15:00,508.9,510.0,450.0,482.0,33975,0.0,88200,26098.1,26600.0
2025-11-24 11:15:00,486.9,510.0,443.7,462.0,37950,0.0,42150,26069.1,26550.0
2025-11-24 12:15:00,460.75,514.55,451.5,503.1,29775,0.0,80850,26080.6,26600.0
2025-11-24 13:15:00,505.1,515.0,458.1,483.2,23550,0.0,41625,26057.15,26550.0
2025-11-24 14:15:00,486.15,520.9,445.95,460.55,159150,0.0,75525,25954.4,26450.0
2025-11-24 15:15:00,460.1,489.0,423.15,488.75,16725,0.0,71625,25943.35,26450.0
2025-11-25 09:15:00,495.55,535.0,465.0,473.95,365850,0.0,942450,26018.6,26500.0
2025-11-25 10:15:00,473.25,529.4,465.0,510.5,406725,34.05,78150,25945.2,26450.0
2025-11-25 11:15:00,510.05,530.0,476.95,509.55,60525,0.0,777225,25981.4,26500.0
2025-11-25 12:15:00,516.4,540.05,467.05,500.0,85050,0.0,762000,25990.25,26500.0
2025-11-25 13:15:00,500.45,535.1,476.0,482.85,106350,34.94,741975,26020.25,26500.0
2025-11-25 14:15:00,483.45,537.3,476.5,515.0,117375,41.78,255150,25886.0,26400.0
2025-11-25 15:15:00,514.5,516.65,464.85,464.85,11250,0.0,135075,25860.3,26350.0
