datetime,open,high,low,close,volume,iv,oi,spot,strike
2020-12-29 09:15:00,32.55,39.95,29.9,37.15,1256700,16.641472,1179750,13953.0,14050.0
2020-12-29 09:30:00,37.0,37.1,34.1,36.25,609525,16.142704,1222200,13956.7999,14050.0
2020-12-29 09:45:00,36.3,38.1,35.5,37.1,678600,16.212115,1290675,13959.1,14050.0
2020-12-29 10:00:00,37.1,37.8,35.75,36.65,336075,16.368728,1326825,13956.2999,14050.0
2020-12-29 10:15:00,36.65,36.9,34.7,35.55,325275,17.168808,1346325,13943.3999,14050.0
2020-12-29 10:30:00,35.75,54.0,32.85,50.0,1770450,18.939084,5873775,13917.2999,14000.0
2020-12-29 10:45:00,50.0,65.5,39.55,44.75,6287775,20.465536,6063450,13884.6,14000.0
2020-12-29 11:00:00,64.95,64.95,42.65,49.4,2686425,19.66846,6226575,13908.5,14000.0
2020-12-29 11:15:00,49.4,51.5,43.9,45.0,2805150,20.90145,6228450,13881.3999,14000.0
2020-12-29 11:30:00,45.2,48.3,43.9,46.85,1654500,20.437723,6302325,13893.2999,14000.0
2020-12-29 11:45:00,46.75,50.95,46.15,48.5,1843950,20.085619,6285375,13902.8999,14000.0
2020-12-29 12:00:00,48.4,49.9,45.45,46.65,1097925,20.139791,6326625,13897.3999,14000.0
2020-12-29 12:15:00,46.5,48.6,45.05,46.15,1228500,19.647066,6358125,13902.2,14000.0
2020-12-29 12:30:00,46.5,47.45,42.8,46.3,1521075,20.07657,6470550,13898.2999,14000.0
2020-12-29 12:45:00,46.3,46.9,43.6,44.85,1021500,19.794051,6470775,13897.7999,14000.0
2020-12-29 13:00:00,44.95,53.0,32.65,33.9,2514075,18.111068,1568550,13932.2999,14050.0
2020-12-29 13:15:00,33.9,34.5,32.05,32.9,492000,17.56857,1551825,13936.2,14050.0
2020-12-29 13:30:00,32.45,50.6,28.55,47.35,1109250,18.521245,6510075,13921.1,14000.0
2020-12-29 13:45:00,47.55,48.85,42.7,46.25,2232825,18.363738,6651450,13920.2999,14000.0
2020-12-29 14:00:00,29.0,48.55,28.6,47.8,903900,18.570777,6648000,13922.8999,14000.0
