datetime,open,high,low,close,volume,iv,oi,spot,strike
2021-04-27 09:15:00,97.9,131.2,84.9,124.7,2498175,24.268928,3368550,14518.7999,14500.0
2021-04-27 09:30:00,97.2,112.75,94.55,112.55,1296000,23.79683,967200,14549.7,14550.0
2021-04-27 09:45:00,113.3,127.1,95.05,123.0,1991175,24.132282,1031475,14567.1,14550.0
2021-04-27 10:00:00,122.65,126.15,96.2,119.9,1602675,23.590062,1061475,14566.3999,14550.0
2021-04-27 10:15:00,119.7,121.5,107.15,115.8,836625,23.158421,1100700,14562.8999,14550.0
2021-04-27 10:30:00,116.0,118.8,110.4,117.1,694800,23.099315,1127475,14566.2999,14550.0
2021-04-27 10:45:00,117.5,120.2,90.5,91.95,929100,21.580817,3361725,14580.5,14600.0
2021-04-27 11:00:00,91.85,118.75,88.65,96.55,2289675,21.97227,3356400,14586.7999,14600.0
2021-04-27 11:15:00,96.75,118.5,87.6,92.4,1546275,21.966752,3385425,14578.8999,14600.0
2021-04-27 11:30:00,92.3,97.5,89.8,95.85,1447800,21.506945,3420600,14590.6,14600.0
2021-04-27 11:45:00,95.85,106.0,92.75,104.6,3114600,20.910058,3495975,14613.0,14600.0
2021-04-27 12:00:00,104.45,113.9,83.9,85.25,3041250,20.844814,763725,14625.2999,14650.0
2021-04-27 12:15:00,85.35,114.7,85.0,106.15,1655175,21.759821,3379800,14609.7999,14600.0
2021-04-27 12:30:00,106.35,110.8,100.75,105.95,1706250,21.917489,3552825,14608.6,14600.0
2021-04-27 12:45:00,106.0,110.0,95.75,98.7,1495950,21.994008,3578250,14594.5,14600.0
2021-04-27 13:00:00,98.4,107.1,97.25,100.05,1576050,21.884,3661125,14598.6,14600.0
2021-04-27 13:15:00,99.55,103.9,91.55,95.1,1698225,21.536428,3729900,14592.3999,14600.0
2021-04-27 13:30:00,95.5,98.3,91.25,94.45,1686825,21.06555,3735900,14595.7,14600.0
2021-04-27 13:45:00,94.35,114.45,94.35,111.8,2859225,21.829406,3539100,14622.5,14600.0
2021-04-27 14:00:00,82.8,89.8,81.55,84.2,1299600,20.256586,905400,14632.6,14650.0
2021-04-27 14:15:00,84.2,89.9,79.7,89.4,980850,20.067306,911925,14645.2,14650.0
2021-04-27 14:30:00,89.2,98.9,85.6,92.65,1801800,20.280043,842925,14650.2,14650.0
2021-04-27 14:45:00,92.85,95.8,85.3,87.45,997650,20.870769,831600,14635.2999,14650.0
2021-04-27 15:00:00,86.95,93.5,85.65,93.3,1159125,20.075254,809100,14654.1,14650.0
2021-04-27 15:15:00,93.3,98.15,90.0,92.65,1199775,19.404999,705600,14658.7999,14650.0
2021-04-28 09:15:00,76.0,92.45,64.0,79.05,4531200,21.183198,1311375,14756.7999,14750.0
2021-04-28 09:30:00,78.3,80.35,69.4,74.6,2292525,21.53357,1576500,14746.5,14750.0
2021-04-28 09:45:00,73.75,81.8,72.8,74.05,2164575,21.867248,1700325,14743.7999,14750.0
2021-04-28 10:00:00,73.9,80.5,73.65,76.15,1288050,20.912698,1823325,14754.8999,14750.0
2021-04-28 10:15:00,76.4,79.05,68.7,70.55,1660725,21.676452,1969650,14739.3999,14750.0
2021-04-28 10:30:00,70.4,85.0,67.75,84.3,2052150,20.697602,1870125,14772.3999,14750.0
2021-04-28 10:45:00,57.75,87.9,56.4,84.45,2521500,20.567265,1834950,14774.0,14750.0
2021-04-28 11:00:00,84.3,86.9,56.6,56.6,2396850,19.627639,4575375,14776.0,14800.0
2021-04-28 11:15:00,56.95,85.35,55.2,82.95,1904175,20.168462,1834725,14774.7999,14750.0
2021-04-28 11:30:00,83.45,85.2,55.0,57.15,1215975,19.354189,4785600,14780.5,14800.0
2021-04-28 11:45:00,57.15,61.4,56.7,60.4,2794275,19.148184,4739625,14789.3999,14800.0
2021-04-28 12:00:00,60.3,68.7,57.0,66.95,4311675,19.682687,4632300,14799.6,14800.0
2021-04-28 12:15:00,67.05,94.35,64.3,89.55,7486650,22.726613,4177800,14823.7,14800.0
2021-04-28 12:30:00,90.25,91.5,61.5,65.3,3138300,21.936901,1555725,14832.1,14850.0
2021-04-28 12:45:00,65.1,73.65,63.5,71.25,2580750,21.276257,1639350,14849.2999,14850.0
2021-04-28 13:00:00,71.25,85.0,65.85,83.9,2631075,22.578871,1694850,14865.8999,14850.0
2021-04-28 13:15:00,84.6,89.0,68.0,77.3,2365350,22.406138,1532925,14855.2999,14850.0
2021-04-28 13:30:00,77.15,80.75,72.0,73.6,1338600,22.032055,1605225,14851.2,14850.0
2021-04-28 13:45:00,73.5,86.6,58.0,60.2,2329725,21.668814,3766125,14876.2999,14900.0
2021-04-28 14:00:00,59.95,85.75,58.85,83.55,1411725,21.85084,1591650,14872.1,14850.0
2021-04-28 14:15:00,83.6,83.85,55.8,60.65,3878700,21.922786,3829875,14877.1,14900.0
2021-04-28 14:30:00,87.95,88.15,57.8,83.15,1730250,22.065238,1382775,14871.5,14850.0
2021-04-28 14:45:00,83.25,85.0,56.1,81.85,1551225,22.090332,1309425,14869.7,14850.0
2021-04-28 15:00:00,81.5,84.75,53.75,73.3,2111700,20.199627,1115475,14865.5,14850.0
2021-04-28 15:15:00,73.0,74.35,67.0,68.0,1588725,21.410117,922875,14849.1,14850.0
2021-04-29 09:15:00,26.0,66.7,26.0,56.55,11529525,31.194305,6755325,15013.5,15000.0
2021-04-29 09:30:00,56.05,63.75,33.4,52.2,5495925,30.276837,6940875,15010.0,15000.0
2021-04-29 09:45:00,51.65,81.95,44.25,67.5,6708225,37.336401,1989900,14921.2,14900.0
2021-04-29 10:00:00,68.0,74.05,37.4,66.85,4352250,37.30421,2393400,14922.3999,14900.0
2021-04-29 10:15:00,66.45,70.9,39.05,62.35,2437875,39.587457,2430675,14910.7999,14900.0
2021-04-29 10:30:00,61.75,75.05,36.25,64.75,4611600,39.247968,676425,14869.0,14850.0
2021-04-29 10:45:00,64.95,74.05,43.65,49.85,3782850,41.010478,878625,14838.2999,14850.0
2021-04-29 11:00:00,50.6,73.6,41.35,49.7,2217525,41.004013,1230975,14841.2999,14850.0
2021-04-29 11:15:00,49.4,64.6,33.95,42.6,9560400,37.211324,3937950,14889.5,14900.0
2021-04-29 11:30:00,70.45,71.35,35.25,43.7,4537950,40.924948,4017375,14885.2999,14900.0
2021-04-29 11:45:00,43.0,54.0,34.1,36.6,5846475,39.491138,3905775,14876.8999,14900.0
2021-04-29 12:00:00,62.45,67.15,34.1,46.8,4123725,38.614173,4038300,14904.2999,14900.0
2021-04-29 12:15:00,47.25,49.55,36.45,48.15,4056375,40.812768,4162950,14905.6,14900.0
2021-04-29 12:30:00,48.35,51.05,39.25,43.35,4797900,39.998805,4299525,14901.7,14900.0
2021-04-29 12:45:00,43.25,49.6,24.9,31.45,6462450,39.817805,2805675,14930.6,14950.0
2021-04-29 13:00:00,30.9,57.35,26.6,40.65,8238375,34.995231,4125000,14913.1,14900.0
2021-04-29 13:15:00,40.75,46.8,22.45,28.9,5712075,36.377599,2889900,14941.2999,14950.0
2021-04-29 13:30:00,28.6,38.65,25.2,29.9,5571825,39.636639,3130125,14942.1,14950.0
2021-04-29 13:45:00,29.0,51.85,17.5,26.85,8466075,41.132225,3632775,14888.5,14900.0
2021-04-29 14:00:00,26.25,56.5,20.5,28.0,10020750,39.022041,4037700,14900.0,14900.0
2021-04-29 14:15:00,27.85,34.45,18.8,28.4,8151975,38.308384,4285200,14907.2,14900.0
2021-04-29 14:30:00,28.4,36.7,19.6,24.9,8855850,35.116746,4482450,14909.7999,14900.0
2021-04-29 14:45:00,24.1,30.1,10.3,18.65,12666150,30.385926,4372125,14908.6,14900.0
2021-04-29 15:00:00,17.35,28.75,1.6,1.75,26975400,13.149555,4282425,14893.2,14900.0
2021-04-29 15:15:00,1.9,2.75,0.05,0.1,16579350,32.067876,4823325,14888.2999,14900.0
2021-04-30 09:15:00,402.55,413.3,350.5,385.3,126300,20.167983,532050,14805.6,14800.0
2021-04-30 09:30:00,385.3,396.9,363.45,365.7,43800,19.664904,25650,14832.8999,14850.0
2021-04-30 09:45:00,365.7,402.0,362.9,372.65,16800,19.89509,27600,14838.8999,14850.0
2021-04-30 10:00:00,372.65,397.35,367.0,379.05,76125,19.854992,588525,14803.7999,14800.0
2021-04-30 10:15:00,379.05,391.1,372.05,390.0,48975,19.854638,593700,14823.1,14800.0
2021-04-30 10:30:00,390.0,394.35,371.1,379.5,54975,19.858083,593250,14804.7999,14800.0
2021-04-30 10:45:00,379.5,390.0,379.4,387.0,57825,19.832066,615225,14818.7999,14800.0
2021-04-30 11:00:00,387.0,388.2,378.0,383.5,68925,19.901856,632100,14810.8999,14800.0
2021-04-30 11:15:00,383.5,388.0,371.0,375.0,61425,19.953326,645525,14794.6,14800.0
2021-04-30 11:30:00,375.0,400.0,363.85,368.0,44250,20.184001,644025,14775.6,14800.0
2021-04-30 11:45:00,366.85,398.15,365.9,370.9,45900,20.019514,658950,14785.7,14800.0
2021-04-30 12:00:00,370.9,380.95,369.35,370.5,29400,20.048688,664800,14784.2999,14800.0
2021-04-30 12:15:00,370.5,386.95,369.4,379.3,27300,19.875096,667200,14805.0,14800.0
2021-04-30 12:30:00,379.3,389.0,376.0,384.3,29250,19.908313,671475,14813.0,14800.0
2021-04-30 12:45:00,384.3,387.55,371.0,376.5,49575,19.769924,685200,14803.2999,14800.0
2021-04-30 13:00:00,376.5,397.6,367.0,385.0,15675,20.010926,27600,14763.8999,14750.0
2021-04-30 13:15:00,359.6,392.1,357.0,382.2,8400,19.969402,27450,14760.2999,14750.0
2021-04-30 13:30:00,382.2,385.9,362.1,367.15,3450,20.15656,27600,14728.3999,14750.0
2021-04-30 13:45:00,393.6,393.85,358.0,368.65,35550,19.745748,29025,14742.8999,14750.0
2021-04-30 14:00:00,396.15,396.15,360.9,372.55,86700,19.817522,314925,14700.2,14700.0
2021-04-30 14:15:00,372.55,380.0,356.95,370.6,77775,19.83514,333975,14696.3999,14700.0
2021-04-30 14:30:00,370.6,389.35,366.0,380.75,36450,20.031888,342300,14709.0,14700.0
2021-04-30 14:45:00,380.75,384.4,363.6,372.0,116100,19.913068,390300,14697.0,14700.0
2021-04-30 15:00:00,372.0,395.95,363.0,381.4,13800,21.158855,13650,14631.2,14650.0
2021-04-30 15:15:00,408.5,411.3,333.55,398.4,65700,21.013439,293175,14618.0,14600.0
2021-05-03 09:15:00,386.9,393.5,347.2,360.1,112125,21.674484,23250,14525.5,14550.0
2021-05-03 09:30:00,384.8,388.25,352.0,360.3,117150,20.964296,23325,14545.1,14550.0
2021-05-03 09:45:00,360.3,380.0,359.2,362.9,8100,21.172329,25800,14544.3999,14550.0
2021-05-03 10:00:00,362.9,371.0,356.5,362.4,4800,21.200943,26550,14542.8999,14550.0
2021-05-03 10:15:00,362.4,387.75,353.0,356.0,33900,21.307825,29175,14528.6,14550.0
2021-05-03 10:30:00,356.0,382.3,351.2,380.1,8775,21.264111,28425,14573.0,14550.0
2021-05-03 10:45:00,352.1,384.15,352.1,369.0,27975,21.250167,28800,14553.8999,14550.0
2021-05-03 11:00:00,369.0,369.0,355.15,360.25,3375,21.396912,29400,14534.3999,14550.0
2021-05-03 11:15:00,360.25,371.3,360.25,368.0,1350,21.338682,29625,14550.1,14550.0
2021-05-03 11:30:00,368.0,368.0,356.7,360.85,2925,21.409462,30375,14535.5,14550.0
2021-05-03 11:45:00,361.0,386.7,351.1,367.0,11850,20.963641,30825,14558.5,14550.0
2021-05-03 12:00:00,367.0,375.5,367.0,375.5,4425,21.131514,30825,14569.2999,14550.0
2021-05-03 12:15:00,375.5,376.65,363.7,365.4,2775,21.304179,31425,14547.0,14550.0
2021-05-03 12:30:00,365.4,370.0,359.05,359.9,2700,21.316093,32325,14536.8999,14550.0
2021-05-03 12:45:00,359.9,378.0,359.9,378.0,2475,21.257848,32175,14570.8999,14550.0
2021-05-03 13:00:00,351.0,381.55,348.95,361.35,41475,21.219012,418725,14590.2,14600.0
2021-05-03 13:15:00,361.35,390.0,354.35,377.0,33900,21.532964,33525,14562.2999,14550.0
2021-05-03 13:30:00,377.0,377.0,363.75,368.0,1200,21.298449,33750,14552.6,14550.0
2021-05-03 13:45:00,368.0,376.2,361.75,375.0,3075,21.229084,33825,14567.0,14550.0
2021-05-03 14:00:00,372.2,377.0,366.55,371.05,1500,21.270289,33825,14559.1,14550.0
2021-05-03 14:15:00,341.85,385.65,341.1,375.4,84825,21.401848,507075,14611.2999,14600.0
2021-05-03 14:30:00,345.2,388.8,345.2,381.95,8475,21.722942,24000,14662.3999,14650.0
2021-05-03 14:45:00,381.95,388.0,374.0,374.0,7650,21.819854,26025,14645.7999,14650.0
2021-05-03 15:00:00,371.25,394.3,355.1,357.05,21600,21.305547,27300,14629.1,14650.0
2021-05-03 15:15:00,384.95,385.75,354.1,369.65,24900,21.554074,29250,14645.3999,14650.0
2021-05-04 09:15:00,350.0,370.0,340.0,365.75,116025,20.816849,31200,14669.3999,14650.0
2021-05-04 09:30:00,365.75,375.0,338.0,366.1,28350,20.891493,623025,14620.3999,14600.0
2021-05-04 09:45:00,367.35,368.25,333.5,352.0,40050,20.57092,31275,14651.7,14650.0
2021-05-04 10:00:00,352.0,360.0,344.05,346.65,7050,20.363493,31275,14647.7,14650.0
2021-05-04 10:15:00,346.65,352.65,340.0,347.25,8475,20.468126,31275,14646.2,14650.0
2021-05-04 10:30:00,346.75,357.4,345.25,350.35,5025,20.46075,38625,14652.1,14650.0
2021-05-04 10:45:00,350.35,354.95,348.0,351.0,1350,20.202284,38550,14660.1,14650.0
2021-05-04 11:00:00,355.0,362.85,332.15,338.5,38325,20.205008,745950,14685.7,14700.0
2021-05-04 11:15:00,338.5,366.9,332.0,361.05,28350,20.435557,38400,14672.1,14650.0
2021-05-04 11:30:00,333.95,352.6,332.75,346.1,41925,20.509686,743250,14691.7,14700.0
2021-05-04 11:45:00,346.1,348.0,340.65,345.0,27525,20.573145,747675,14688.2,14700.0
2021-05-04 12:00:00,345.0,370.85,341.85,360.05,12825,20.476355,39225,14669.7999,14650.0
2021-05-04 12:15:00,360.05,365.75,332.85,365.75,8400,20.68759,40050,14674.6,14650.0
2021-05-04 12:30:00,337.5,364.65,337.5,363.45,3825,20.751361,39975,14669.1,14650.0
2021-05-04 12:45:00,363.45,365.35,331.7,354.35,3900,20.267383,39750,14665.6,14650.0
2021-05-04 13:00:00,354.35,368.7,333.45,335.7,41775,20.491892,610800,14578.6,14600.0
2021-05-04 13:15:00,366.55,368.0,331.2,351.6,59925,20.487662,604800,14607.5,14600.0
2021-05-04 13:30:00,352.95,361.8,343.15,351.5,32550,20.580165,608475,14605.1,14600.0
2021-05-04 13:45:00,351.5,368.8,332.15,358.3,41775,20.61164,608475,14616.5,14600.0
2021-05-04 14:00:00,331.0,364.05,331.0,350.3,17550,20.610385,607800,14602.5,14600.0
2021-05-04 14:15:00,350.3,359.0,346.0,352.0,13725,20.602269,607725,14605.8999,14600.0
2021-05-04 14:30:00,352.0,387.2,343.5,357.9,80925,21.723514,1347900,14492.0,14500.0
2021-05-04 14:45:00,359.45,370.0,347.65,353.4,99525,21.889843,1359675,14479.6,14500.0
2021-05-04 15:00:00,344.0,364.15,343.95,360.9,100650,21.457663,1368225,14504.6,14500.0
2021-05-04 15:15:00,360.9,361.7,354.85,358.0,111750,21.262151,1361625,14504.6,14500.0
2021-05-05 09:15:00,348.45,357.15,320.4,345.0,35325,21.05318,37875,14546.2999,14550.0
2021-05-05 09:30:00,345.0,360.0,326.15,357.0,16275,20.875301,39675,14572.2999,14550.0
2021-05-05 09:45:00,357.0,365.0,350.0,356.0,1950,21.08769,39075,14565.3999,14550.0
2021-05-05 10:00:00,356.0,400.05,321.8,350.0,50400,21.213442,39075,14551.7,14550.0
2021-05-05 10:15:00,350.0,359.0,341.4,359.0,3075,20.992065,41175,14573.3999,14550.0
2021-05-05 10:30:00,328.55,359.65,324.0,335.9,35025,20.53742,674475,14591.7999,14600.0
2021-05-05 10:45:00,336.7,345.3,326.1,334.9,37350,20.67521,672225,14586.6,14600.0
2021-05-05 11:00:00,334.9,354.2,322.9,349.85,16500,20.552347,37800,14568.7,14550.0
2021-05-05 11:15:00,349.85,349.85,331.0,340.0,3825,20.397264,39000,14555.2999,14550.0
2021-05-05 11:30:00,340.0,350.0,331.65,339.15,3300,20.788684,37650,14544.0,14550.0
2021-05-05 11:45:00,339.15,346.0,336.0,343.25,2700,20.5084,37800,14558.6,14550.0
2021-05-05 12:00:00,343.25,350.0,317.5,321.95,9975,20.135097,698700,14577.7999,14600.0
2021-05-05 12:15:00,320.4,352.0,317.7,347.95,7050,20.389345,38100,14570.2,14550.0
2021-05-05 12:30:00,347.95,349.0,339.0,349.0,975,20.542784,37875,14568.3999,14550.0
2021-05-05 12:45:00,349.0,351.05,316.0,341.0,57225,20.491588,718350,14603.6,14600.0
2021-05-05 13:00:00,341.0,364.6,327.25,354.0,73875,20.991195,717900,14614.2999,14600.0
2021-05-05 13:15:00,354.45,364.45,346.45,352.25,36825,21.088782,718425,14608.8999,14600.0
2021-05-05 13:30:00,352.25,353.85,325.85,340.0,36900,20.5428,718200,14601.0,14600.0
2021-05-05 13:45:00,340.0,350.95,331.8,338.25,21975,20.71602,721425,14593.6,14600.0
2021-05-05 14:00:00,338.25,364.45,333.2,333.2,16650,20.325641,42675,14546.7,14550.0
2021-05-05 14:15:00,333.2,355.15,316.95,333.9,22275,20.355502,730875,14595.2999,14600.0
2021-05-05 14:30:00,333.9,336.0,322.1,333.7,42300,20.441708,743100,14592.8999,14600.0
2021-05-05 14:45:00,333.7,340.0,327.4,329.25,36750,20.262894,750450,14589.6,14600.0
2021-05-05 15:00:00,329.9,350.4,329.9,350.0,113175,20.475466,766350,14621.3999,14600.0
2021-05-05 15:15:00,350.65,352.4,321.0,327.65,33450,20.268431,59025,14634.7999,14650.0
2021-05-06 09:15:00,330.0,349.9,309.5,325.95,25650,19.921215,54825,14652.2999,14650.0
2021-05-06 09:30:00,324.75,338.0,308.0,308.1,62325,19.556234,798675,14677.3999,14700.0
