datetime,open,high,low,close,volume,iv,oi,spot,strike
2021-05-25 09:15:00,45.55,69.35,33.85,47.7,3894975,17.365886,3271200,15274.2,15200.0
2021-05-25 09:30:00,47.9,68.55,45.45,49.6,3099825,17.076023,3523575,15264.6,15200.0
2021-05-25 09:45:00,49.65,56.7,49.5,50.8,2962125,16.880241,3618750,15258.3999,15200.0
2021-05-25 10:00:00,50.8,50.8,45.7,49.0,1718100,16.724055,3777225,15261.0,15200.0
2021-05-25 10:15:00,48.6,53.45,45.85,46.4,2126250,17.169807,3917550,15273.6,15200.0
2021-05-25 10:30:00,46.2,50.45,46.0,49.35,1277850,16.793633,4062300,15260.0,15200.0
2021-05-25 10:45:00,49.25,61.0,49.1,54.0,3675000,17.427059,3800925,15254.6,15200.0
2021-05-25 11:00:00,53.8,59.9,52.55,59.65,2156100,17.164566,3853650,15236.7,15200.0
2021-05-25 11:15:00,59.75,65.95,45.8,54.45,3223950,17.171188,3746475,15249.5,15200.0
2021-05-25 11:30:00,54.4,56.05,49.5,49.5,1721550,16.842804,3859650,15258.3999,15200.0
2021-05-25 11:45:00,49.4,54.35,47.15,53.25,1974750,16.82338,3975000,15247.7,15200.0
2021-05-25 12:00:00,53.25,55.45,49.1,52.45,1383975,16.929459,4037700,15250.6,15200.0
2021-05-25 12:15:00,52.05,53.5,49.7,51.65,1011375,16.769269,4097850,15250.3999,15200.0
2021-05-25 12:30:00,51.3,52.65,48.05,51.25,1334550,16.613258,4139850,15249.2,15200.0
2021-05-25 12:45:00,51.55,56.95,49.75,56.65,1506450,16.735964,4171350,15236.3999,15200.0
2021-05-25 13:00:00,56.65,59.25,51.45,53.95,2526150,16.766898,4146825,15243.1,15200.0
2021-05-25 13:15:00,53.8,60.7,42.85,54.95,3189600,19.125387,1243425,15216.7,15150.0
2021-05-25 13:30:00,54.7,61.65,46.25,60.05,1874250,18.754244,1129725,15198.3999,15150.0
2021-05-25 13:45:00,60.0,67.2,50.95,54.7,1943550,18.422235,1094175,15208.1,15150.0
2021-05-25 14:00:00,54.3,73.8,51.9,70.25,1740675,19.083249,1054125,15176.2999,15150.0
2021-05-25 14:15:00,71.45,73.45,48.2,66.35,2826525,18.273086,1176225,15176.5,15150.0
2021-05-25 14:30:00,66.3,69.9,45.05,53.25,1984950,17.83144,1194825,15203.7,15150.0
2021-05-25 14:45:00,52.4,60.4,47.2,55.05,1309875,17.499155,1206225,15194.7999,15150.0
2021-05-25 15:00:00,54.8,54.8,46.95,50.2,1138875,16.922756,1102725,15200.5,15150.0
2021-05-25 15:15:00,49.65,50.75,38.0,38.85,1091475,15.707221,958650,15217.7,15150.0
2021-05-26 09:15:00,42.0,57.8,26.0,38.05,3686250,18.985344,1449525,15214.7,15150.0
2021-05-26 09:30:00,38.05,42.95,35.3,38.55,1467900,19.245859,1578750,15215.0,15150.0
2021-05-26 09:45:00,38.65,54.0,36.15,44.9,2590575,18.474731,4971750,15240.2999,15200.0
2021-05-26 10:00:00,45.05,47.5,42.9,44.2,3118425,18.524201,5326575,15241.8999,15200.0
2021-05-26 10:15:00,44.3,46.55,36.05,36.05,3914100,19.09169,5491875,15269.3999,15200.0
2021-05-26 10:30:00,36.1,51.55,34.1,47.8,3348825,18.327669,1885050,15280.3999,15250.0
2021-05-26 10:45:00,47.85,50.6,32.4,43.2,1865700,18.471808,2059575,15292.6,15250.0
2021-05-26 11:00:00,43.75,45.75,41.3,42.2,1572900,19.232502,2143800,15301.2999,15250.0
2021-05-26 11:15:00,42.1,47.25,41.0,46.95,1225125,19.193365,2198850,15287.7999,15250.0
2021-05-26 11:30:00,46.9,48.8,43.8,48.2,1207650,19.143889,2200200,15283.6,15250.0
2021-05-26 11:45:00,48.25,49.95,31.75,44.75,1789875,18.269482,2229975,15284.2999,15250.0
2021-05-26 12:00:00,44.9,45.0,38.6,41.0,1313700,18.742746,2337750,15297.3999,15250.0
2021-05-26 12:15:00,40.95,43.5,34.8,35.55,1454625,18.293711,2461950,15308.0,15250.0
2021-05-26 12:30:00,35.55,39.35,34.55,38.9,1581675,18.109634,2458800,15296.2,15250.0
2021-05-26 12:45:00,39.3,42.85,36.8,39.7,1164225,18.184911,2456700,15294.0,15250.0
2021-05-26 13:00:00,39.85,42.1,37.25,40.7,1050600,18.045538,2474325,15289.5,15250.0
2021-05-26 13:15:00,40.55,41.65,35.05,36.5,992100,18.786325,2495925,15306.7,15250.0
2021-05-26 13:30:00,36.45,44.85,33.0,41.1,2162700,18.383922,2537625,15289.8999,15250.0
2021-05-26 13:45:00,41.0,43.85,34.8,37.65,1293075,18.307607,2493225,15297.7999,15250.0
2021-05-26 14:00:00,37.6,41.85,34.1,36.35,1104150,18.447394,2502675,15301.8999,15250.0
2021-05-26 14:15:00,36.45,38.1,30.7,36.4,1479750,18.059353,2511600,15297.7,15250.0
2021-05-26 14:30:00,36.45,36.95,28.3,29.05,1741950,17.974964,2542500,15318.2,15250.0
2021-05-26 14:45:00,29.15,32.5,28.9,31.1,1420950,17.466081,2564625,15306.3999,15250.0
2021-05-26 15:00:00,31.7,38.75,30.25,31.3,3113025,17.173368,2409900,15302.5,15250.0
2021-05-26 15:15:00,31.0,31.65,26.1,28.1,2783325,15.920799,2140350,15300.3999,15250.0
2021-05-27 09:15:00,23.85,31.0,7.8,26.8,6269250,29.063514,2904225,15295.5,15250.0
2021-05-27 09:30:00,27.05,34.55,26.05,28.55,4889550,30.402887,3769275,15293.5,15250.0
2021-05-27 09:45:00,28.5,30.05,22.35,23.4,3244650,30.354814,4275225,15306.0,15250.0
2021-05-27 10:00:00,23.2,23.25,18.0,19.7,3538275,30.051056,4567800,15314.1,15250.0
2021-05-27 10:15:00,19.6,20.2,16.75,17.1,2466375,30.205146,4840950,15321.2,15250.0
2021-05-27 10:30:00,17.2,20.5,17.15,19.25,2368650,30.493279,4887600,15311.1,15250.0
2021-05-27 10:45:00,19.05,19.8,14.15,14.75,2202600,29.548201,4968150,15320.6,15250.0
2021-05-27 11:00:00,28.2,28.4,12.45,25.45,5596950,27.791235,6694575,15326.3999,15300.0
2021-05-27 11:15:00,25.5,25.7,12.9,17.7,7658025,28.084518,7030500,15347.1,15300.0
2021-05-27 11:30:00,17.7,18.4,15.2,17.55,7827900,28.063123,7536675,15344.2,15300.0
2021-05-27 11:45:00,17.55,17.75,13.55,14.9,6777825,29.064029,7824750,15353.5,15300.0
2021-05-27 12:00:00,14.95,15.9,13.3,15.9,4841250,30.594345,8005800,15351.5,15300.0
2021-05-27 12:15:00,15.95,19.2,15.3,18.3,6890475,29.357829,7848450,15335.6,15300.0
2021-05-27 12:30:00,18.25,19.05,13.9,17.6,6006000,29.194529,7719150,15333.3999,15300.0
2021-05-27 12:45:00,17.4,18.65,14.2,14.9,4579725,29.440795,7731225,15338.5,15300.0
2021-05-27 13:00:00,15.0,15.95,10.6,11.75,6813150,30.530565,7850250,15348.2999,15300.0
2021-05-27 13:15:00,11.95,14.65,9.3,9.6,5654100,30.224665,7755225,15350.7,15300.0
2021-05-27 13:30:00,9.7,10.3,6.9,8.75,7749750,30.402898,7845375,15349.0,15300.0
2021-05-27 13:45:00,8.85,11.95,8.4,8.95,6524700,32.936338,7903950,15348.5,15300.0
2021-05-27 14:00:00,9.05,24.25,5.6,9.35,12042000,38.378412,5008275,15302.2,15250.0
