datetime,open,high,low,close,volume,iv,oi,spot,strike
2021-06-29 09:15:00,219.95,220.0,198.75,203.15,138750,14.95619,1057300,15816.7999,15800.0
2021-06-29 09:30:00,203.2,223.05,194.85,197.2,52200,14.787128,1070700,15824.1,15800.0
2021-06-29 09:45:00,197.2,218.55,196.55,216.75,158250,14.975055,1053100,15784.7,15800.0
2021-06-29 10:00:00,196.8,210.0,196.8,203.85,18200,15.072862,67750,15768.2999,15750.0
2021-06-29 10:15:00,203.85,206.25,201.35,205.0,3950,15.116696,66500,15767.2999,15750.0
2021-06-29 10:30:00,205.0,216.95,202.2,212.5,11300,15.243547,68600,15754.3999,15750.0
2021-06-29 10:45:00,212.5,214.1,206.0,212.95,7950,15.331506,68850,15757.0,15750.0
2021-06-29 11:00:00,212.95,212.95,202.45,202.45,7050,15.107439,70050,15773.0,15750.0
2021-06-29 11:15:00,202.45,220.75,197.85,217.85,43900,14.904484,1197900,15778.7999,15800.0
2021-06-29 11:30:00,217.65,220.5,197.5,217.6,34050,14.841401,1201600,15776.7,15800.0
2021-06-29 11:45:00,217.6,221.65,199.5,206.6,9350,14.991524,74250,15757.6,15750.0
2021-06-29 12:00:00,206.6,211.0,202.0,211.0,4050,14.929647,74500,15744.2999,15750.0
2021-06-29 12:15:00,211.75,211.75,203.0,203.85,3500,14.87564,75000,15759.2,15750.0
2021-06-29 12:30:00,203.85,203.85,197.0,199.0,4150,14.70107,75350,15763.5,15750.0
2021-06-29 12:45:00,199.0,215.75,190.2,194.5,12700,14.625614,77650,15771.2999,15750.0
2021-06-29 13:00:00,194.5,216.8,193.85,195.4,9500,14.699105,77400,15772.2,15750.0
2021-06-29 13:15:00,195.4,216.25,194.75,208.8,23950,14.404356,1205850,15778.7,15800.0
2021-06-29 13:30:00,207.65,207.65,196.15,197.85,108550,14.164967,1188050,15794.6,15800.0
2021-06-29 13:45:00,197.85,208.05,195.85,206.8,67300,14.234459,1188650,15776.2,15800.0
2021-06-29 14:00:00,186.45,205.8,186.45,199.0,10050,14.756195,71950,15765.5,15750.0
2021-06-29 14:15:00,199.0,207.3,196.1,198.45,9200,14.584865,70900,15759.3999,15750.0
2021-06-29 14:30:00,198.45,214.1,198.45,205.6,21600,14.493448,69800,15738.2,15750.0
2021-06-29 14:45:00,205.6,212.45,200.7,203.5,7900,14.442409,69450,15741.0,15750.0
2021-06-29 15:00:00,203.5,206.1,194.3,201.95,24500,14.434059,71400,15744.2999,15750.0
2021-06-29 15:15:00,201.95,203.0,194.95,197.6,19300,14.306142,72750,15749.2999,15750.0
2021-06-30 09:15:00,212.0,218.0,194.4,200.35,197850,14.262641,1165450,15788.1,15800.0
2021-06-30 09:30:00,200.7,204.0,196.3,202.5,96200,14.220193,1178450,15781.2,15800.0
2021-06-30 09:45:00,202.5,203.5,196.05,196.2,59550,14.15255,1190800,15793.2999,15800.0
2021-06-30 10:00:00,196.0,196.0,187.85,189.0,83650,14.043937,1190100,15806.1,15800.0
2021-06-30 10:15:00,189.55,193.7,187.1,191.5,67500,14.168041,1205250,15805.2,15800.0
2021-06-30 10:30:00,191.5,203.8,180.1,181.65,100150,14.055151,1223700,15824.7,15800.0
2021-06-30 10:45:00,203.65,205.3,180.3,203.25,44550,14.113477,106350,15826.2,15850.0
2021-06-30 11:00:00,203.25,204.05,199.35,202.4,17350,14.245905,108000,15833.6,15850.0
2021-06-30 11:15:00,202.4,209.0,202.15,205.4,11050,14.323901,106200,15829.7,15850.0
2021-06-30 11:30:00,205.4,210.7,187.4,189.85,13400,14.41748,1211950,15819.6,15800.0
2021-06-30 11:45:00,189.95,208.0,184.45,205.2,30900,14.312924,106800,15829.6,15850.0
2021-06-30 12:00:00,205.2,206.4,182.5,204.4,4950,14.305155,108100,15831.1,15850.0
2021-06-30 12:15:00,204.4,205.25,182.0,204.3,7450,14.184099,110000,15826.2999,15850.0
2021-06-30 12:30:00,205.0,205.0,181.65,184.35,51050,14.04943,1231250,15817.2,15800.0
2021-06-30 12:45:00,184.35,187.8,182.95,182.95,31250,14.150466,1231800,15825.0,15800.0
2021-06-30 13:00:00,182.95,186.3,182.2,185.8,21500,14.152516,1233300,15817.8999,15800.0
2021-06-30 13:15:00,185.8,190.5,183.05,188.0,44100,14.215937,1229450,15815.1,15800.0
2021-06-30 13:30:00,188.0,201.6,186.8,201.6,128150,14.237472,1218000,15783.1,15800.0
2021-06-30 13:45:00,201.95,206.4,197.65,200.0,133900,14.359952,1174500,15791.8999,15800.0
2021-06-30 14:00:00,200.0,212.0,182.0,202.2,75750,14.376637,1168150,15787.2999,15800.0
2021-06-30 14:15:00,202.2,206.3,184.0,191.85,62200,14.428985,68050,15762.8999,15750.0
2021-06-30 14:30:00,191.85,205.6,189.05,205.6,18950,14.657338,67150,15739.2,15750.0
2021-06-30 14:45:00,204.5,206.35,195.05,202.35,14500,14.55647,67050,15742.7,15750.0
2021-06-30 15:00:00,202.35,212.6,190.45,194.6,67450,14.658254,853750,15714.1,15700.0
2021-06-30 15:15:00,194.85,215.0,191.25,211.2,161850,14.754088,66700,15729.7999,15750.0
2021-07-01 09:15:00,232.85,232.85,188.25,199.25,85900,15.104689,877550,15716.5,15700.0
2021-07-01 09:30:00,200.0,218.0,195.05,208.2,60700,14.973103,81600,15741.1,15750.0
2021-07-01 09:45:00,207.5,211.45,206.0,211.2,12200,14.911086,86850,15731.5,15750.0
2021-07-01 10:00:00,211.2,218.25,192.1,200.3,63150,15.169132,911200,15716.3999,15700.0
2021-07-01 10:15:00,200.3,205.0,195.8,201.0,94800,15.142,926850,15713.5,15700.0
2021-07-01 10:30:00,201.0,212.6,201.0,208.7,111050,15.168141,942550,15696.0,15700.0
2021-07-01 10:45:00,208.9,214.15,206.4,208.55,69500,15.217748,942300,15698.2999,15700.0
2021-07-01 11:00:00,208.2,209.0,200.0,200.95,63350,15.032517,935500,15708.8999,15700.0
2021-07-01 11:15:00,200.95,204.4,196.5,202.4,56000,14.931431,931300,15701.2,15700.0
2021-07-01 11:30:00,202.4,209.6,200.8,201.0,39300,14.836106,934650,15700.6,15700.0
2021-07-01 11:45:00,201.0,205.0,200.5,203.35,23400,15.007669,936400,15701.8999,15700.0
2021-07-01 12:00:00,203.1,206.8,199.5,204.0,37700,14.956579,947700,15698.2,15700.0
2021-07-01 12:15:00,203.85,205.9,201.6,204.65,17950,14.993919,949950,15698.1,15700.0
2021-07-01 12:30:00,204.65,208.3,193.7,196.3,68000,14.683401,946500,15705.3999,15700.0
2021-07-01 12:45:00,196.3,198.75,186.5,193.0,43750,14.514903,949750,15706.3999,15700.0
2021-07-01 13:00:00,193.05,194.3,181.2,185.65,49400,14.261434,949550,15713.7999,15700.0
2021-07-01 13:15:00,185.05,203.35,178.45,180.4,40450,14.17183,955300,15723.0,15700.0
2021-07-01 13:30:00,200.0,201.1,178.95,183.6,45500,14.339391,945700,15722.0,15700.0
2021-07-01 13:45:00,183.6,199.5,183.05,196.3,89500,14.715771,941650,15706.3999,15700.0
2021-07-01 14:00:00,196.3,206.35,190.8,194.6,80750,14.690085,943100,15709.3999,15700.0
2021-07-01 14:15:00,194.6,198.05,191.5,196.95,59000,14.659565,958300,15702.3999,15700.0
2021-07-01 14:30:00,197.15,206.05,194.05,197.0,91400,14.514249,955450,15696.2999,15700.0
2021-07-01 14:45:00,197.0,205.0,196.95,202.1,73650,14.470033,962500,15682.3999,15700.0
2021-07-01 15:00:00,202.1,207.35,181.65,202.0,70700,14.347598,948250,15677.7,15700.0
2021-07-01 15:15:00,202.1,203.4,189.0,189.0,186000,13.966429,949000,15693.0,15700.0
2021-07-02 09:15:00,194.6,211.0,184.4,185.0,169450,14.648157,33700,15674.5,15650.0
2021-07-02 09:30:00,207.4,207.4,180.0,184.95,22150,14.627364,35600,15673.7,15650.0
2021-07-02 09:45:00,184.95,197.0,184.45,189.5,13450,14.754122,37900,15667.6,15650.0
2021-07-02 10:00:00,189.5,212.0,186.2,199.4,65050,14.476488,996750,15684.2,15700.0
2021-07-02 10:15:00,199.4,207.15,179.3,201.0,28800,14.399551,997900,15677.3999,15700.0
2021-07-02 10:30:00,179.5,204.2,179.0,189.0,10500,14.440117,39900,15655.8999,15650.0
2021-07-02 10:45:00,190.0,198.5,190.0,191.55,47650,14.507663,66350,15652.3999,15650.0
2021-07-02 11:00:00,191.3,191.7,186.1,189.0,21450,14.621565,78900,15663.1,15650.0
2021-07-02 11:15:00,189.0,192.55,184.4,187.65,3650,14.657715,79000,15667.7999,15650.0
2021-07-02 11:30:00,187.65,190.4,182.2,184.5,8700,14.564842,79800,15671.7,15650.0
2021-07-02 11:45:00,205.75,207.25,181.9,203.9,19050,14.64319,1023700,15679.7999,15700.0
2021-07-02 12:00:00,203.9,207.1,182.75,203.4,47850,14.597097,1028650,15679.1,15700.0
2021-07-02 12:15:00,203.4,203.5,195.0,197.8,76300,14.372589,1040100,15683.2999,15700.0
2021-07-02 12:30:00,197.3,198.2,190.55,193.15,117900,14.2415,1052050,15689.0,15700.0
2021-07-02 12:45:00,193.15,195.75,175.6,179.05,103000,13.79365,1056550,15704.7999,15700.0
2021-07-02 13:00:00,179.05,184.8,176.0,181.2,124400,13.792845,1039550,15699.5,15700.0
2021-07-02 13:15:00,181.6,189.4,179.25,185.85,71900,13.960688,1019500,15695.0,15700.0
2021-07-02 13:30:00,186.05,188.7,181.45,182.9,49850,13.994785,1020850,15703.3999,15700.0
2021-07-02 13:45:00,182.75,199.9,182.75,197.35,96900,14.196453,1026250,15677.1,15700.0
2021-07-02 14:00:00,178.05,202.15,178.05,194.25,40950,14.273569,1026800,15687.2999,15700.0
2021-07-02 14:15:00,194.25,200.85,178.0,180.0,88550,13.889545,1020850,15706.0,15700.0
2021-07-02 14:30:00,180.0,186.0,175.05,181.45,92600,13.804451,1009550,15699.0,15700.0
2021-07-02 14:45:00,181.4,182.7,173.6,180.55,86500,13.674543,993300,15695.8999,15700.0
2021-07-02 15:00:00,181.2,181.2,168.0,170.3,150900,13.702521,989950,15722.1,15700.0
2021-07-02 15:15:00,170.3,189.65,167.5,186.0,45000,13.555821,82200,15729.5,15750.0
2021-07-05 09:15:00,146.5,181.0,110.8,171.3,389750,13.761617,1144850,15807.5,15800.0
2021-07-05 09:30:00,171.65,171.65,165.05,166.95,166750,13.649732,1151200,15813.7,15800.0
2021-07-05 09:45:00,166.95,167.5,162.55,164.7,146850,13.55306,1178550,15815.3999,15800.0
2021-07-05 10:00:00,164.7,169.55,163.4,164.45,121850,13.549261,1192850,15815.7999,15800.0
2021-07-05 10:15:00,164.45,185.2,160.55,161.0,69850,13.524344,1215100,15823.2999,15800.0
2021-07-05 10:30:00,161.0,184.0,159.6,162.75,64550,13.55539,1205600,15820.1,15800.0
2021-07-05 10:45:00,162.75,185.05,160.3,184.1,20950,13.696297,90300,15825.7999,15850.0
2021-07-05 11:00:00,184.1,184.4,161.0,161.65,18700,13.588659,1222600,15824.0,15800.0
2021-07-05 11:15:00,161.8,184.0,160.25,161.65,31050,13.557255,1229100,15822.7,15800.0
