datetime,open,high,low,close,volume,iv,oi,spot,strike
2025-07-01 09:15:00,514.6,514.6,514.6,514.6,75,15.197381,3375,25518.1,25600.0
2025-07-01 10:45:00,493.0,493.0,493.0,493.0,150,14.763028,3375,25520.95,25600.0
2025-07-01 11:00:00,493.0,493.0,493.0,493.0,75,14.771513,3375,25522.0,25600.0
2025-07-01 11:15:00,489.75,494.0,489.75,494.0,75,14.794753,3075,25522.2,25600.0
2025-07-01 11:30:00,494.0,494.9,494.0,494.9,75,14.811488,3000,25521.85,25600.0
2025-07-01 11:45:00,494.9,498.9,494.9,497.15,150,14.808241,3000,25515.4,25600.0
2025-07-01 12:00:00,495.7,495.7,494.5,494.5,150,14.75796,2925,25516.15,25600.0
2025-07-01 13:15:00,536.2,536.2,505.4,505.4,75,14.659202,900,25527.25,25650.0
2025-07-02 10:30:00,494.3,506.6,494.3,506.6,150,14.796891,3450,25485.85,25600.0
2025-07-02 11:00:00,506.6,518.0,506.6,518.0,75,14.991735,3375,25479.95,25600.0
2025-07-02 13:15:00,486.85,500.0,486.85,499.5,1275,14.845618,96600,25405.35,25500.0
2025-07-02 13:30:00,499.5,508.15,495.0,508.0,3825,14.955538,96525,25396.45,25500.0
2025-07-02 13:45:00,508.0,508.0,501.9,503.2,1050,14.903947,97425,25402.7,25500.0
2025-07-02 14:00:00,503.2,503.2,491.1,494.45,3675,14.818729,98550,25415.3,25500.0
2025-07-02 14:15:00,494.45,503.3,489.15,501.5,5625,14.884781,99075,25404.75,25500.0
2025-07-02 14:30:00,501.5,505.0,497.45,503.3,1200,14.742511,99300,25382.55,25500.0
2025-07-02 14:45:00,503.3,503.3,489.75,489.75,900,14.763397,99375,25420.85,25500.0
2025-07-03 09:15:00,509.35,509.35,496.3,501.7,600,14.862478,1050,25451.15,25550.0
2025-07-03 09:45:00,503.25,503.25,491.9,491.9,300,14.771087,4125,25518.15,25600.0
2025-07-03 11:30:00,483.55,497.75,483.55,497.75,375,14.869474,4725,25514.5,25600.0
2025-07-03 11:45:00,497.75,505.0,497.75,500.25,1050,14.922674,5100,25514.4,25600.0
2025-07-03 12:00:00,500.25,500.25,500.0,500.0,675,14.852451,5775,25506.4,25600.0
2025-07-03 12:15:00,500.0,507.3,500.0,507.3,300,14.87441,5925,25489.9,25600.0
2025-07-03 12:30:00,507.3,507.3,504.0,504.0,75,15.036586,6000,25518.4,25600.0
2025-07-03 13:00:00,504.0,510.0,504.0,510.0,75,15.014237,5925,25499.8,25600.0
2025-07-03 13:15:00,510.0,515.0,510.0,515.0,225,15.012027,6150,25486.45,25600.0
2025-07-03 14:00:00,511.0,511.0,511.0,511.0,75,14.996902,6225,25494.9,25600.0
2025-07-03 14:15:00,511.0,515.0,507.35,507.35,675,14.777236,6600,25477.65,25600.0
2025-07-03 14:30:00,500.15,511.3,490.35,498.95,15000,14.865489,177825,25405.6,25500.0
2025-07-03 14:45:00,498.95,506.15,489.9,497.7,6075,14.865414,177375,25408.85,25500.0
2025-07-03 15:00:00,497.7,497.7,491.15,495.25,4350,14.723695,177900,25397.95,25500.0
2025-07-03 15:15:00,493.7,505.55,493.25,499.2,13425,14.804568,180675,25397.4,25500.0
2025-07-04 09:15:00,502.0,528.05,487.0,488.05,10350,14.810018,187875,25424.9,25500.0
2025-07-04 09:30:00,488.05,512.85,488.05,504.0,13725,14.905082,190200,25394.4,25500.0
2025-07-04 09:45:00,504.0,507.85,497.45,497.45,6375,14.824013,194625,25401.7,25500.0
2025-07-04 10:00:00,497.45,502.0,495.0,495.0,4725,14.861708,198750,25412.7,25500.0
2025-07-04 10:15:00,495.0,501.1,495.0,496.25,1350,14.943652,200175,25419.35,25500.0
2025-07-04 10:30:00,496.25,501.1,495.55,495.55,750,14.885744,200850,25414.1,25500.0
2025-07-04 10:45:00,495.55,496.0,492.1,492.25,1050,14.856788,201000,25419.25,25500.0
2025-07-04 11:00:00,492.25,497.25,490.5,492.0,825,14.88685,201075,25423.55,25500.0
2025-07-04 11:15:00,492.0,506.55,490.0,499.1,3450,14.877227,201825,25403.6,25500.0
2025-07-04 11:30:00,499.1,515.0,499.1,515.0,1875,14.986007,202125,25375.3,25500.0
2025-07-04 11:45:00,484.8,513.25,484.8,513.25,75,15.104234,525,25341.6,25450.0
2025-07-04 13:00:00,513.25,513.25,497.8,497.8,75,15.012529,450,25370.8,25450.0
2025-07-04 13:30:00,517.0,517.0,512.1,512.1,150,14.940827,205575,25377.1,25500.0
2025-07-04 13:45:00,515.95,515.95,509.1,509.1,3900,14.934476,206475,25384.05,25500.0
2025-07-04 14:00:00,509.95,511.0,508.45,510.0,4050,14.956296,211125,25384.3,25500.0
2025-07-04 14:15:00,510.0,514.7,508.0,511.1,3300,14.988581,213750,25385.3,25500.0
2025-07-04 14:30:00,511.1,530.0,492.1,500.0,525,14.75258,1425,25438.05,25550.0
2025-07-04 14:45:00,500.0,502.45,500.0,500.2,150,14.768249,1500,25439.4,25550.0
2025-07-04 15:00:00,500.2,500.2,494.3,494.35,150,14.807364,1575,25459.45,25550.0
2025-07-07 09:15:00,494.15,515.5,484.9,492.05,1350,14.866787,1950,25462.65,25550.0
2025-07-07 10:00:00,477.0,478.65,477.0,478.65,375,14.670601,214425,25422.0,25500.0
2025-07-07 10:30:00,492.05,492.5,492.05,492.5,75,14.680872,2025,25439.2,25550.0
2025-07-07 10:45:00,492.5,492.5,488.65,488.65,75,14.759115,2025,25458.5,25550.0
2025-07-07 11:00:00,488.65,488.65,482.0,482.0,150,14.599159,2025,25456.8,25550.0
2025-07-07 12:15:00,479.95,483.2,479.95,483.2,75,14.777061,210450,25422.4,25500.0
2025-07-07 13:00:00,481.65,484.1,480.45,480.45,525,14.719385,210675,25422.65,25500.0
2025-07-07 13:45:00,482.0,494.2,482.0,494.2,75,14.738195,2025,25441.1,25550.0
2025-07-07 14:15:00,488.85,488.85,488.85,488.85,75,14.717436,2100,25452.5,25550.0
2025-07-07 14:30:00,469.0,475.75,469.0,475.75,750,14.595785,209100,25420.05,25500.0
2025-07-07 14:45:00,471.75,471.75,471.35,471.35,75,14.537866,209625,25424.7,25500.0
2025-07-08 09:15:00,500.15,520.05,492.0,492.55,225,14.617725,7200,25480.6,25600.0
2025-07-08 09:30:00,495.65,495.65,494.0,494.0,75,14.630329,7275,25478.3,25600.0
2025-07-08 10:00:00,492.0,492.0,489.75,489.75,75,14.735755,2325,25449.35,25550.0
2025-07-08 10:30:00,489.75,491.3,489.75,491.3,75,14.705122,2400,25441.65,25550.0
2025-07-08 12:45:00,489.15,489.15,486.6,488.0,375,14.48189,7575,25475.9,25600.0
2025-07-08 15:00:00,505.0,505.0,468.2,469.25,525,14.45588,8175,25521.4,25600.0
2025-07-08 15:15:00,462.4,462.9,462.4,462.9,300,14.308785,8175,25520.6,25600.0
2025-07-09 09:15:00,477.15,477.15,471.9,472.0,375,14.197609,8475,25481.1,25600.0
2025-07-09 09:30:00,472.0,472.0,470.4,470.4,75,14.223405,8550,25488.25,25600.0
2025-07-09 09:45:00,470.4,470.4,455.15,455.15,150,14.132188,8475,25517.4,25600.0
2025-07-09 10:15:00,455.15,455.15,447.6,447.6,75,14.016748,8625,25523.65,25600.0
2025-07-09 10:30:00,449.0,449.4,449.0,449.4,900,14.053594,8850,25523.2,25600.0
2025-07-09 11:00:00,449.4,452.0,449.4,452.0,75,14.10913,9000,25522.85,25600.0
2025-07-09 11:45:00,445.0,452.0,445.0,452.0,150,13.946592,9525,25503.45,25600.0
2025-07-09 13:00:00,450.0,452.0,450.0,452.0,75,14.113169,9750,25523.05,25600.0
2025-07-09 14:15:00,452.15,465.0,451.0,465.0,600,14.141813,10125,25492.05,25600.0
2025-07-09 14:30:00,465.0,470.0,465.0,470.0,75,14.158311,10125,25481.0,25600.0
2025-07-09 15:00:00,470.0,475.1,470.0,475.1,75,14.26962,10200,25480.7,25600.0
2025-07-10 09:15:00,483.55,483.55,458.05,465.4,225,14.267881,3300,25450.9,25550.0
2025-07-10 09:30:00,465.4,468.85,462.4,468.85,300,14.250176,3300,25439.85,25550.0
2025-07-10 09:45:00,468.85,468.85,451.85,463.15,1125,14.320435,215100,25410.65,25500.0
2025-07-10 10:00:00,457.1,469.0,455.0,467.55,3225,14.440075,216075,25413.05,25500.0
2025-07-10 10:15:00,467.55,467.55,459.2,459.4,1425,14.327493,216975,25421.25,25500.0
2025-07-10 10:30:00,459.4,465.6,457.6,465.6,1125,14.399942,216975,25413.4,25500.0
2025-07-10 10:45:00,465.6,477.25,465.6,473.65,1725,14.36184,217425,25388.0,25500.0
2025-07-10 11:00:00,473.65,481.15,471.05,471.05,2700,14.381788,218400,25397.0,25500.0
2025-07-10 11:15:00,471.05,480.45,471.05,478.0,1050,14.363735,218175,25376.95,25500.0
2025-07-10 11:30:00,478.0,481.0,476.15,476.15,375,14.348767,218250,25379.95,25500.0
2025-07-10 11:45:00,481.0,481.0,473.85,475.0,675,14.338991,218250,25381.75,25500.0
2025-07-10 12:15:00,480.5,480.5,459.3,459.3,1875,14.170703,219600,25402.9,25500.0
2025-07-10 12:30:00,459.3,471.7,459.3,471.1,6675,14.319524,218775,25389.45,25500.0
2025-07-10 12:45:00,471.1,473.1,460.3,463.25,1500,14.171587,219750,25392.65,25500.0
2025-07-10 13:00:00,463.25,470.0,463.25,465.95,975,14.142454,219900,25382.25,25500.0
2025-07-10 13:15:00,465.95,467.3,463.95,467.25,1200,14.210344,220200,25386.7,25500.0
2025-07-10 13:30:00,467.25,467.3,461.3,467.3,2700,14.188803,220500,25384.05,25500.0
2025-07-10 13:45:00,474.9,474.9,466.2,468.45,300,14.152343,220950,25376.85,25500.0
2025-07-10 14:00:00,469.55,469.55,443.8,469.15,9300,14.287643,218325,25390.6,25500.0
2025-07-10 14:15:00,469.15,469.15,456.25,457.25,1800,14.199591,219375,25411.35,25500.0
2025-07-10 14:30:00,457.25,461.9,457.05,460.4,1875,14.244537,220725,25408.3,25500.0
2025-07-10 14:45:00,460.4,468.7,430.55,452.35,1875,14.124382,2250,25363.2,25450.0
2025-07-10 15:00:00,452.35,467.65,451.75,451.75,225,14.104962,2175,25362.5,25450.0
2025-07-11 09:15:00,459.25,472.6,445.7,448.5,1725,14.092823,41775,25314.85,25400.0
2025-07-11 09:30:00,448.5,458.0,448.5,453.0,675,14.129361,41850,25307.25,25400.0
2025-07-11 09:45:00,453.0,458.9,453.0,458.9,300,14.020432,42300,25279.4,25400.0
2025-07-11 10:00:00,427.8,452.25,427.8,452.25,75,14.214277,675,25266.8,25350.0
2025-07-11 10:15:00,452.25,452.25,443.05,443.05,75,13.894102,750,25253.95,25350.0
