datetime,open,high,low,close,volume,iv,oi,spot,strike
2025-07-01 09:15:00,855.0,856.3,808.2,815.25,300,9.682375,1125,25575.1,25600.0
2025-07-01 09:30:00,815.25,826.0,815.25,825.05,150,9.898947,1125,25575.65,25600.0
2025-07-01 09:45:00,825.05,825.05,825.05,825.05,75,9.904344,1275,25575.4,25600.0
2025-07-01 10:15:00,858.1,858.6,854.4,858.6,225,9.97092,31500,25524.4,25500.0
2025-07-01 10:45:00,859.85,859.85,859.45,859.45,75,10.051155,33675,25520.95,25500.0
2025-07-01 11:00:00,859.45,859.45,852.0,856.4,900,9.930624,34425,25524.1,25500.0
2025-07-01 11:15:00,853.0,855.0,851.0,851.0,300,9.837156,34875,25522.2,25500.0
2025-07-01 11:30:00,854.8,854.8,850.0,850.0,900,9.844301,35250,25520.4,25500.0
2025-07-01 11:45:00,853.9,853.9,843.8,843.8,1500,9.820252,36300,25513.2,25500.0
2025-07-01 12:00:00,843.8,850.0,840.0,850.0,600,9.774034,36600,25524.95,25500.0
2025-07-01 12:15:00,850.0,850.0,850.0,850.0,75,9.780046,36600,25524.6,25500.0
2025-07-01 13:15:00,853.5,853.5,847.4,847.4,450,9.722648,41925,25524.9,25500.0
2025-07-01 14:30:00,857.0,857.0,848.6,849.25,825,9.890634,42975,25517.8,25500.0
2025-07-02 09:15:00,836.65,836.65,796.85,820.3,300,9.788582,6525,25585.95,25600.0
2025-07-02 10:00:00,846.25,846.25,842.1,842.1,75,9.819608,47850,25520.2,25500.0
2025-07-02 10:15:00,846.0,846.0,834.45,840.8,375,9.79559,47850,25519.95,25500.0
2025-07-02 10:30:00,840.8,840.8,820.0,826.05,1725,9.912666,48600,25491.75,25500.0
2025-07-02 10:45:00,826.05,828.7,823.15,824.25,375,9.829673,49125,25494.4,25500.0
2025-07-02 11:00:00,824.25,824.25,815.0,821.75,300,9.903588,49125,25486.25,25500.0
2025-07-02 11:15:00,808.95,818.0,808.8,818.0,150,9.627127,49500,25498.15,25500.0
2025-07-02 11:30:00,818.0,818.0,808.35,814.75,450,9.890137,49425,25477.2,25500.0
2025-07-02 11:45:00,814.75,822.85,814.75,822.85,300,9.810536,49650,25493.95,25500.0
2025-07-02 12:00:00,822.85,822.85,818.15,819.0,225,9.645838,49650,25498.75,25500.0
2025-07-02 12:15:00,819.0,821.65,818.0,821.65,225,9.825268,49725,25491.6,25500.0
2025-07-02 12:30:00,821.65,821.65,812.0,812.0,375,9.67872,49800,25486.85,25500.0
2025-07-02 13:00:00,808.05,818.0,808.05,818.0,3375,9.934831,50250,25479.75,25500.0
2025-07-02 13:15:00,854.3,854.3,850.65,850.65,75,10.298983,150,25409.1,25400.0
2025-07-02 13:30:00,850.65,850.65,838.95,840.0,300,10.054734,150,25408.95,25400.0
2025-07-02 14:00:00,840.0,840.0,820.1,835.85,1125,9.778576,1125,25420.15,25400.0
2025-07-02 14:30:00,835.85,835.85,825.0,825.0,75,9.949574,1275,25394.35,25400.0
2025-07-03 09:15:00,808.0,822.0,808.0,822.0,375,9.595402,57825,25515.0,25500.0
2025-07-03 09:30:00,789.0,789.0,785.0,785.0,16650,9.301194,66450,25480.2,25500.0
