datetime,open,high,low,close,volume,iv,oi,spot,strike
2025-10-01 09:30:00,277.35,277.35,269.4,269.4,450,13.04,450,24682.45,24350.0
2025-10-01 09:45:00,270.6,271.5,268.15,271.5,900,13.03,900,24673.8,24350.0
2025-10-01 10:00:00,271.5,280.0,271.5,280.0,0,13.15,1050,24659.95,24350.0
2025-10-01 10:15:00,280.0,280.0,280.0,280.0,0,13.18,1050,24663.45,24350.0
2025-10-01 10:30:00,280.0,280.0,266.25,266.25,75,12.83,1200,24662.75,24350.0
2025-10-01 10:45:00,266.25,266.25,266.25,266.25,0,12.95,1200,24681.2,24350.0
2025-10-01 11:00:00,266.25,266.25,266.25,266.25,0,13.11,1200,24702.2,24350.0
2025-10-01 11:15:00,266.25,266.25,266.25,266.25,0,13.23,1200,24723.75,24350.0
2025-10-01 11:30:00,266.25,297.4,266.25,297.4,0,13.65,75,24776.0,24450.0
2025-10-01 11:45:00,297.4,297.4,297.4,297.4,0,13.77,75,24794.3,24450.0
2025-10-01 12:00:00,297.4,297.4,297.4,297.4,0,13.83,75,24803.35,24450.0
2025-10-01 12:15:00,297.4,297.4,247.0,297.4,300,13.66,75,24777.2,24450.0
2025-10-01 12:30:00,297.4,297.4,250.15,250.15,0,12.73,1200,24760.95,24400.0
2025-10-01 12:45:00,250.15,252.1,250.15,252.1,75,12.73,1500,24753.5,24400.0
2025-10-01 13:00:00,252.1,252.1,252.1,252.1,0,12.83,1500,24770.7,24400.0
2025-10-01 13:15:00,252.1,297.4,252.1,297.4,75,13.72,75,24787.1,24450.0
2025-10-01 13:30:00,297.4,297.4,297.4,297.4,0,13.68,75,24781.4,24450.0
2025-10-01 13:45:00,297.4,297.4,247.8,297.4,75,13.71,75,24783.9,24450.0
2025-10-01 14:00:00,297.4,297.4,297.4,297.4,0,13.77,75,24795.2,24450.0
2025-10-01 14:15:00,297.4,297.4,262.45,263.35,375,12.8,66300,24826.15,24500.0
2025-10-01 14:30:00,263.35,297.4,257.0,258.0,2175,12.82,67425,24849.3,24500.0
2025-10-01 14:45:00,258.0,259.55,245.0,259.3,3600,12.77,69075,24835.35,24500.0
2025-10-01 15:00:00,258.8,259.65,245.0,245.0,3450,12.65,150,24822.5,24450.0
2025-10-01 15:15:00,257.3,257.3,252.55,256.6,15075,12.82,67275,24853.4,24500.0
2025-10-03 09:15:00,242.0,242.0,242.0,242.0,75,12.57,3300,24761.4,24400.0
2025-10-03 09:30:00,242.0,242.0,242.0,242.0,0,12.6,3300,24766.1,24400.0
2025-10-03 09:45:00,242.0,255.8,242.0,254.0,150,12.63,71400,24828.55,24500.0
2025-10-03 10:00:00,253.3,253.3,248.0,248.15,750,12.63,300,24798.35,24450.0
2025-10-03 10:15:00,248.15,251.65,248.15,251.65,75,12.8,1050,24812.6,24450.0
2025-10-03 10:30:00,251.65,251.65,250.45,250.45,75,12.58,1125,24782.85,24450.0
2025-10-03 10:45:00,237.4,250.45,237.4,250.45,0,12.64,1125,24791.3,24450.0
2025-10-03 11:00:00,250.45,250.45,242.6,242.6,300,12.6,1200,24815.6,24450.0
2025-10-03 11:15:00,240.7,252.9,240.7,240.7,975,12.53,1500,24811.45,24450.0
2025-10-03 11:30:00,240.7,252.2,240.7,240.7,1050,12.59,1500,24821.4,24450.0
2025-10-03 11:45:00,240.7,252.45,238.1,239.35,11325,12.54,2100,24819.5,24450.0
2025-10-03 12:00:00,239.35,253.0,239.35,246.55,3150,12.5,89325,24840.4,24500.0
2025-10-03 12:15:00,246.15,253.35,239.35,239.35,1050,12.57,2100,24824.75,24450.0
2025-10-03 12:30:00,249.85,251.5,239.35,239.35,3300,12.57,2100,24824.4,24450.0
2025-10-03 12:45:00,239.35,250.85,239.35,247.5,5850,12.46,94650,24826.2,24500.0
2025-10-03 13:00:00,239.35,247.75,239.35,244.25,750,12.47,95700,24843.65,24500.0
2025-10-03 13:15:00,244.7,246.5,239.35,239.35,825,12.57,2100,24824.85,24450.0
2025-10-03 13:30:00,239.35,250.7,239.35,247.15,600,12.45,96900,24828.25,24500.0
2025-10-03 13:45:00,247.15,248.35,239.35,246.25,3225,12.44,98700,24829.85,24500.0
2025-10-03 14:00:00,246.25,246.25,239.35,239.35,1875,12.47,2100,24809.05,24450.0
2025-10-03 14:15:00,239.35,247.9,239.35,246.45,450,12.45,101025,24828.9,24500.0
2025-10-03 14:30:00,243.2,259.2,235.55,248.7,2625,12.49,2250,24879.85,24550.0
2025-10-03 14:45:00,248.4,248.4,234.5,246.5,1500,12.5,2550,24890.35,24550.0
2025-10-03 15:00:00,246.5,246.5,243.0,243.0,450,12.4,2850,24888.5,24550.0
2025-10-03 15:15:00,245.0,245.0,245.0,245.0,75,12.49,2850,24895.0,24550.0
2025-10-06 09:15:00,232.0,253.5,232.0,238.3,300,12.42,3000,24901.85,24550.0
2025-10-06 09:30:00,238.3,262.95,238.3,262.95,300,13.01,7125,24944.8,24600.0
2025-10-06 09:45:00,262.95,262.95,262.95,262.95,0,13.08,7125,24953.6,24600.0
2025-10-06 10:00:00,262.95,262.95,242.6,242.6,75,12.65,7275,24968.9,24600.0
2025-10-06 10:15:00,242.6,264.85,236.0,238.0,450,12.5,7275,24966.3,24600.0
2025-10-06 10:30:00,238.0,264.85,238.0,264.85,0,12.91,2400,24976.6,24650.0
2025-10-06 10:45:00,264.85,264.85,234.9,264.85,75,12.97,2400,24985.05,24650.0
2025-10-06 11:00:00,264.85,264.85,264.85,264.85,0,13.17,2400,25014.8,24650.0
2025-10-06 11:15:00,264.85,264.85,264.85,264.85,0,13.15,2400,25011.5,24650.0
2025-10-06 11:30:00,264.85,264.85,239.45,239.45,75,12.46,2400,25006.2,24650.0
2025-10-06 11:45:00,241.05,242.55,241.05,242.55,375,12.45,2325,24992.35,24650.0
2025-10-06 12:00:00,242.55,243.0,242.55,243.0,75,12.57,2250,25008.05,24650.0
2025-10-06 12:15:00,243.0,243.0,243.0,243.0,0,12.55,2250,25006.0,24650.0
2025-10-06 12:30:00,243.0,243.0,241.05,241.05,300,12.57,2175,25014.9,24650.0
2025-10-06 12:45:00,241.05,251.4,241.05,251.4,0,12.64,12450,25038.75,24700.0
2025-10-06 13:00:00,251.4,251.4,247.25,247.25,975,12.65,13200,25060.05,24700.0
2025-10-06 13:15:00,247.25,247.5,243.0,243.0,450,12.61,13425,25066.15,24700.0
2025-10-06 13:30:00,243.0,253.65,235.4,235.4,750,12.45,13350,25074.3,24700.0
2025-10-06 13:45:00,235.4,246.7,234.3,237.4,600,12.5,13425,25072.45,24700.0
2025-10-06 14:00:00,237.4,247.7,236.0,240.0,225,12.49,13500,25059.75,24700.0
2025-10-06 14:15:00,240.0,240.0,237.1,237.1,600,12.26,13725,25035.0,24700.0
2025-10-06 14:30:00,237.1,238.0,237.1,238.0,150,12.49,13725,25064.95,24700.0
2025-10-06 14:45:00,238.0,247.7,237.1,247.7,225,12.5,2775,25083.8,24750.0
2025-10-06 15:00:00,247.7,247.7,231.2,231.2,150,12.36,14175,25074.5,24700.0
2025-10-06 15:15:00,244.45,244.45,231.15,231.85,1950,12.38,15000,25072.55,24700.0
2025-10-07 09:15:00,241.0,242.25,241.0,242.25,150,12.62,3675,25119.05,24750.0
2025-10-07 09:30:00,242.25,247.7,237.6,243.7,2775,12.47,32700,25146.05,24800.0
2025-10-07 09:45:00,241.4,265.8,235.3,247.35,1125,12.46,1725,25180.75,24850.0
2025-10-07 10:00:00,246.35,246.35,243.75,243.75,150,12.4,1575,25183.65,24850.0
2025-10-07 10:15:00,243.75,243.75,230.4,243.75,1200,12.34,1575,25177.0,24850.0
2025-10-07 10:30:00,243.75,243.75,230.65,230.65,825,12.3,37500,25170.2,24800.0
2025-10-07 10:45:00,230.65,233.35,229.5,232.0,1650,12.23,37425,25155.45,24800.0
