datetime,open,high,low,close,volume,iv,oi,spot,strike
2025-09-29 09:15:00,101.1,120.8,81.1,93.0,21529500,6.87,7160100,24712.1,24800.0
2025-09-29 09:30:00,92.4,113.4,81.15,96.25,8950650,5.45,2376150,24750.8,24850.0
2025-09-29 09:45:00,96.35,103.6,81.25,85.9,5480550,4.05,3153375,24758.1,24850.0
2025-09-29 10:00:00,87.4,97.65,82.25,85.0,6285750,4.55,3520350,24758.4,24850.0
2025-09-29 10:15:00,85.05,117.0,77.05,78.95,7620450,5.15,4438950,24771.5,24850.0
2025-09-29 10:30:00,79.25,91.8,74.85,82.95,7798350,4.73,4039650,24763.25,24850.0
2025-09-29 10:45:00,82.85,109.2,77.8,90.65,9831225,0.0,3831525,24744.3,24850.0
2025-09-29 11:00:00,90.9,100.7,79.65,98.65,6790500,0.0,3872025,24740.45,24850.0
2025-09-29 11:15:00,98.45,104.8,94.75,103.6,4893975,0.0,3878775,24734.15,24850.0
2025-09-29 11:30:00,75.1,107.25,74.25,77.7,46104375,5.38,10441200,24672.25,24750.0
2025-09-29 11:45:00,78.65,97.7,74.7,82.1,20448225,5.2,7915050,24665.85,24750.0
2025-09-29 12:00:00,82.4,109.65,80.2,102.55,17587350,5.33,6746625,24641.7,24750.0
2025-09-29 12:15:00,100.85,104.4,90.35,94.25,8095800,6.48,6566775,24658.55,24750.0
2025-09-29 12:30:00,93.8,115.2,83.1,94.5,28577175,7.34,14164050,24613.5,24700.0
2025-09-29 12:45:00,94.25,126.5,85.2,107.25,13992375,5.99,5126925,24640.05,24750.0
2025-09-29 13:00:00,108.35,135.0,87.95,107.0,12302325,4.8,6520800,24687.05,24800.0
2025-09-29 13:15:00,108.6,117.8,79.3,102.25,7797525,7.37,6822750,24701.35,24800.0
2025-09-29 13:30:00,102.1,113.7,86.7,108.3,12593250,6.02,7463025,24689.5,24800.0
2025-09-29 13:45:00,108.6,115.6,91.3,92.35,11154975,7.02,7396050,24713.05,24800.0
2025-09-29 14:00:00,92.4,121.75,81.05,87.6,4510650,7.82,8142375,24723.85,24800.0
2025-09-29 14:15:00,86.7,127.65,80.6,84.25,9128100,6.44,8115825,24718.3,24800.0
2025-09-29 14:30:00,84.7,124.4,81.35,112.5,15710550,7.24,7752300,24688.75,24800.0
2025-09-29 14:45:00,112.3,128.0,103.85,116.5,15192450,0.0,6766500,24685.55,24800.0
2025-09-29 15:00:00,89.25,107.95,66.85,92.3,26292150,0.0,4751400,24639.65,24750.0
2025-09-29 15:15:00,94.5,126.85,84.45,122.55,9336000,8.64,5092350,24677.55,24800.0
2025-09-30 09:15:00,114.1,129.0,76.45,91.45,23087025,10.88,6607575,24670.25,24750.0
2025-09-30 09:30:00,92.4,133.75,87.05,112.0,24045750,12.21,5068500,24649.85,24750.0
2025-09-30 09:45:00,112.35,122.7,98.2,105.25,9215325,12.79,4932150,24659.95,24750.0
2025-09-30 10:00:00,104.2,143.15,92.2,118.55,11899350,11.22,4356900,24636.7,24750.0
2025-09-30 10:15:00,118.75,128.3,88.25,92.7,17073300,12.49,14144325,24624.0,24700.0
2025-09-30 10:30:00,92.7,135.4,87.8,99.0,29407575,13.81,9878550,24620.95,24700.0
2025-09-30 10:45:00,99.15,138.6,95.35,124.8,10441950,14.31,3068025,24637.25,24750.0
2025-09-30 11:00:00,124.05,126.2,92.2,97.0,5962950,12.47,3472875,24666.9,24750.0
2025-09-30 11:15:00,97.7,137.3,84.25,104.9,10022250,9.41,3337125,24647.15,24750.0
2025-09-30 11:30:00,104.9,113.55,81.75,112.25,7182300,10.92,3599175,24642.05,24750.0
2025-09-30 11:45:00,112.35,124.5,99.5,119.15,6350100,11.06,3342075,24632.25,24750.0
2025-09-30 12:00:00,116.75,123.7,91.45,104.0,6485325,8.57,3478275,24646.2,24750.0
2025-09-30 12:15:00,103.65,124.25,76.7,84.1,7674225,10.18,3901800,24673.8,24750.0
2025-09-30 12:30:00,84.85,129.7,79.15,90.0,9123825,8.51,4323900,24662.05,24750.0
2025-09-30 12:45:00,90.5,104.05,86.7,99.8,7989525,9.8,3890475,24652.65,24750.0
2025-09-30 13:00:00,99.5,109.0,73.8,89.95,8325825,9.52,3834900,24664.95,24750.0
2025-09-30 13:15:00,89.8,134.85,82.05,105.35,8375400,7.73,3497025,24644.25,24750.0
2025-09-30 13:30:00,106.55,124.05,100.25,112.7,7628025,8.58,3266475,24637.8,24750.0
2025-09-30 13:45:00,115.4,129.2,97.5,114.2,5927325,9.68,3111750,24635.1,24750.0
2025-09-30 14:00:00,114.1,128.55,73.0,82.15,23495250,10.0,10438125,24623.9,24700.0
2025-09-30 14:15:00,82.2,148.75,74.5,88.7,32790825,8.69,9048825,24612.0,24700.0
2025-09-30 14:30:00,88.6,129.55,58.65,104.15,18122400,4.96,2260200,24640.3,24750.0
2025-09-30 14:45:00,96.45,127.3,53.2,113.95,22012425,7.14,2085150,24632.5,24750.0
2025-09-30 15:00:00,112.7,128.2,70.4,86.75,21430800,8.11,6542775,24614.85,24700.0
2025-09-30 15:15:00,86.85,139.0,86.45,138.75,8023575,22.78,1455450,24633.6,24750.0
2025-10-01 09:15:00,281.05,285.0,256.35,266.9,112575,11.45,190425,24655.3,24750.0
2025-10-01 09:30:00,265.75,277.85,254.6,269.5,62400,11.19,2798925,24682.45,24800.0
2025-10-01 09:45:00,269.1,275.65,250.65,251.9,91650,11.25,188700,24673.8,24750.0
2025-10-01 10:00:00,274.05,276.5,244.0,260.0,125925,11.31,189225,24659.95,24750.0
2025-10-01 10:15:00,258.6,264.0,254.0,256.8,6600,11.27,188100,24663.45,24750.0
2025-10-01 10:30:00,256.15,275.45,246.6,254.95,116025,11.17,189225,24662.75,24750.0
2025-10-01 10:45:00,257.4,273.3,249.1,269.7,23550,11.17,2877075,24681.2,24800.0
2025-10-01 11:00:00,268.75,272.2,256.45,257.55,149325,11.11,2904150,24702.2,24800.0
