datetime,open,high,low,close,volume,iv,oi,spot,strike
2025-08-26 09:15:00,41.2,43.0,20.3,24.7,48335625,8.77,6877200,24797.45,24950.0
2025-08-26 10:15:00,24.8,30.15,20.65,23.5,16669725,8.55,6706725,24799.3,24950.0
2025-08-26 11:15:00,23.4,28.8,17.75,20.85,16683225,8.24,7312425,24799.75,24950.0
2025-08-26 12:15:00,20.9,21.95,17.3,20.4,10491525,8.11,7289025,24804.9,24950.0
2025-08-26 13:15:00,20.3,27.95,19.05,27.2,11463225,8.59,12320550,24772.55,24900.0
2025-08-26 14:15:00,27.4,30.9,17.8,29.15,26634975,10.1,7414500,24695.0,24850.0
2025-08-26 15:15:00,30.5,32.7,29.45,29.45,8795625,9.53,6321300,24710.7,24850.0
2025-08-28 09:15:00,50.0,50.0,6.3,6.4,129862275,13.66,8415300,24576.95,24750.0
2025-08-28 10:15:00,6.5,15.85,5.65,9.4,144452850,13.93,15472125,24653.9,24800.0
2025-08-28 11:15:00,9.4,12.6,3.15,3.3,127536900,12.47,17320650,24626.6,24800.0
2025-08-28 12:15:00,3.5,6.2,2.1,3.4,86405325,11.21,19201950,24557.9,24700.0
2025-08-28 13:15:00,3.45,3.9,2.05,3.15,85078800,10.92,17668350,24573.45,24700.0
2025-08-28 14:15:00,3.0,3.6,0.15,0.15,118126725,7.19,7824375,24502.25,24650.0
2025-08-28 15:15:00,0.15,0.25,0.05,0.1,9337950,7.42,7361625,24533.1,24700.0
2025-08-29 09:15:00,276.5,335.45,276.5,326.2,315225,9.58,882675,24470.85,24600.0
2025-08-29 10:15:00,300.6,324.6,295.25,311.0,247050,9.28,1508025,24556.45,24700.0
2025-08-29 11:15:00,310.8,317.2,294.5,303.2,226275,9.1,1531050,24553.25,24700.0
2025-08-29 12:15:00,303.6,321.3,290.5,302.0,97800,9.21,72600,24496.6,24650.0
2025-08-29 13:15:00,300.95,310.95,290.3,307.85,34725,9.12,85725,24513.6,24650.0
2025-08-29 14:15:00,307.85,322.95,280.45,312.25,371325,9.43,117600,24406.75,24550.0
2025-08-29 15:15:00,313.8,324.0,294.5,297.5,31875,9.33,1098150,24433.65,24600.0
2025-09-01 09:15:00,269.85,305.0,269.75,298.3,317175,9.37,100800,24523.15,24650.0
2025-09-01 10:15:00,274.0,303.85,271.6,281.25,127125,9.21,1689900,24548.7,24700.0
2025-09-01 11:15:00,281.0,302.1,272.5,281.0,162600,9.22,1725000,24546.85,24700.0
2025-09-01 12:15:00,281.5,299.0,270.45,276.0,208725,9.19,102075,24590.5,24750.0
2025-09-01 13:15:00,276.7,282.9,268.0,282.0,28200,8.88,107325,24617.1,24750.0
2025-09-01 14:15:00,280.5,288.5,256.45,286.15,101250,8.89,108150,24624.45,24750.0
2025-09-01 15:15:00,286.1,289.95,259.5,289.95,68700,9.04,116625,24624.3,24750.0
2025-09-02 09:15:00,242.4,274.4,242.4,252.15,274200,8.7,1272375,24728.75,24900.0
2025-09-02 10:15:00,254.0,277.95,248.6,254.75,145275,8.77,1267575,24731.75,24900.0
2025-09-02 11:15:00,254.15,277.85,250.0,251.05,98400,8.74,1279050,24726.05,24900.0
2025-09-02 12:15:00,251.3,280.55,249.25,276.4,142875,8.77,138300,24724.85,24850.0
2025-09-02 13:15:00,276.65,290.0,251.0,279.15,560700,9.27,1793400,24561.3,24700.0
2025-09-02 14:15:00,279.45,294.95,253.8,260.7,566325,8.99,133725,24584.8,24750.0
2025-09-02 15:15:00,260.0,283.15,252.15,279.7,110475,8.98,1859325,24575.0,24700.0
2025-09-03 09:15:00,254.5,273.55,239.95,254.55,319350,8.61,128025,24606.75,24750.0
2025-09-03 10:15:00,254.3,265.0,233.05,243.65,199425,8.82,128925,24576.9,24750.0
2025-09-03 11:15:00,264.5,269.65,237.3,243.65,80175,8.72,1904175,24630.55,24800.0
