datetime,open,high,low,close,volume,iv,oi,spot,strike
2025-09-01 09:15:00,172.35,172.35,132.2,133.95,145725,11.99,1191375,24523.15,24200.0
2025-09-01 10:15:00,146.7,147.0,130.9,139.95,126525,11.96,68175,24548.7,24250.0
2025-09-01 11:15:00,140.25,143.5,128.65,138.2,26625,11.88,69750,24546.85,24250.0
2025-09-01 12:15:00,136.05,141.8,128.65,137.0,47025,11.71,1119525,24590.5,24300.0
2025-09-01 13:15:00,136.5,139.5,128.7,130.0,87150,11.74,1099800,24617.1,24300.0
2025-09-01 14:15:00,130.15,142.45,126.5,128.0,132750,11.74,1110750,24624.45,24300.0
2025-09-01 15:15:00,128.55,140.95,123.2,123.2,34275,11.51,1148025,24624.3,24300.0
2025-09-02 09:15:00,148.0,148.0,123.1,134.1,216600,11.51,144375,24728.75,24450.0
2025-09-02 10:15:00,134.1,135.55,120.85,133.6,51450,11.52,141450,24731.75,24450.0
2025-09-02 11:15:00,133.6,134.3,121.0,133.85,23775,11.48,137100,24726.05,24450.0
2025-09-02 12:15:00,133.25,135.0,121.15,121.85,19950,11.52,945300,24724.85,24400.0
2025-09-02 13:15:00,123.05,147.35,122.4,134.8,382800,11.99,80625,24561.3,24250.0
2025-09-02 14:15:00,135.25,147.45,127.0,138.85,164925,11.89,1179075,24584.8,24300.0
2025-09-02 15:15:00,138.65,143.2,128.75,131.0,76200,12.02,88125,24575.0,24250.0
2025-09-03 09:15:00,149.55,149.55,120.5,125.05,182025,11.61,1195275,24606.75,24300.0
2025-09-03 10:15:00,125.5,138.65,120.6,132.9,79275,11.61,1231800,24576.9,24300.0
2025-09-03 11:15:00,119.0,135.6,119.0,130.5,66525,11.54,77400,24630.55,24350.0
2025-09-03 12:15:00,130.5,130.5,118.0,124.25,50700,11.55,1241475,24603.0,24300.0
2025-09-03 13:15:00,123.15,131.0,119.1,123.2,36975,11.55,79650,24659.0,24350.0
