datetime,open,high,low,close,volume,iv,oi,spot,strike
2025-04-01 09:30:00,786.2,801.0,768.95,796.35,3300,10.335327,32775,23508.65,23500.0
2025-04-01 09:45:00,816.15,816.15,799.0,802.6,2700,10.386404,35925,23514.85,23500.0
2025-04-01 10:00:00,802.6,802.6,773.5,783.4,1875,10.519768,36375,23479.1,23500.0
2025-04-01 10:15:00,783.0,787.0,781.0,782.25,300,10.056641,0,23457.1,23450.0
2025-04-01 15:00:00,838.65,838.65,838.65,838.65,75,11.633998,0,23163.9,23150.0
2025-04-01 15:15:00,804.6,804.6,804.6,804.6,75,11.321483,75,23179.7,23200.0
2025-04-02 09:45:00,801.0,801.0,801.0,801.0,75,11.278804,75,23184.6,23200.0
2025-04-02 10:30:00,787.85,787.85,787.85,787.85,75,10.544042,75,23256.45,23250.0
2025-04-02 10:45:00,789.25,793.0,789.25,793.0,75,10.849999,375,23293.7,23300.0
2025-04-02 11:15:00,793.0,793.0,785.0,789.0,150,10.869262,525,23286.85,23300.0
2025-04-02 12:00:00,765.0,775.05,765.0,773.4,600,10.568567,750,23282.05,23300.0
2025-04-02 12:15:00,773.4,785.25,771.95,772.6,2700,10.605583,3450,23278.8,23300.0
2025-04-02 12:30:00,772.6,781.75,769.2,773.0,900,10.492849,5100,23286.15,23300.0
2025-04-02 13:00:00,763.0,770.85,763.0,770.85,150,10.461996,6600,23285.0,23300.0
2025-04-02 13:15:00,774.15,781.0,774.0,781.0,1050,10.491108,7575,23298.25,23300.0
2025-04-02 13:30:00,781.0,782.75,781.0,782.75,150,10.499833,7575,23300.3,23300.0
2025-04-02 13:45:00,782.75,782.75,770.9,770.9,150,10.423439,7725,23287.65,23300.0
2025-04-02 14:00:00,770.9,771.9,770.2,771.9,600,10.326017,7875,23294.85,23300.0
2025-04-02 14:15:00,771.9,775.0,771.9,775.0,225,10.388593,8475,23295.8,23300.0
2025-04-02 14:30:00,775.0,777.15,775.0,777.15,75,10.389678,8625,23299.0,23300.0
2025-04-02 14:45:00,777.15,777.15,777.0,777.0,75,10.318572,8700,23303.0,23300.0
2025-04-02 15:00:00,777.0,796.85,777.0,792.9,450,10.100181,8700,23338.25,23300.0
2025-04-02 15:15:00,789.5,789.5,789.5,789.5,75,10.044072,8775,23336.6,23300.0
2025-04-03 10:15:00,729.35,770.0,729.35,770.0,225,10.282246,9225,23302.7,23300.0
2025-04-03 10:30:00,773.0,773.0,770.0,770.0,150,10.572917,9075,23285.9,23300.0
2025-04-03 10:45:00,770.0,770.0,758.0,766.0,150,10.630751,9075,23276.7,23300.0
2025-04-03 11:45:00,762.4,762.4,762.4,762.4,150,10.331024,9000,23289.45,23300.0
2025-04-03 15:15:00,779.0,779.0,779.0,779.0,75,10.632127,75,23250.0,23250.0
2025-04-04 09:45:00,788.0,788.0,759.25,768.0,21975,10.83099,825350,22992.2,23000.0
2025-04-04 10:00:00,768.0,768.05,750.05,755.9,12525,10.758535,828500,22978.6,23000.0
2025-04-04 10:45:00,741.9,772.65,741.9,772.65,8550,10.836373,847400,22999.15,23000.0
2025-04-04 11:00:00,772.65,789.3,754.6,780.0,10425,10.783879,849875,23013.05,23000.0
2025-04-04 11:15:00,780.0,782.1,757.3,770.5,6450,10.686894,851225,23004.8,23000.0
2025-04-04 11:30:00,770.5,782.0,755.95,755.95,2550,10.709201,852050,22982.15,23000.0
2025-04-04 11:45:00,753.45,755.7,753.45,755.7,1350,10.778768,850550,22977.85,23000.0
2025-04-04 12:15:00,754.8,762.1,753.0,754.0,12225,10.717037,855125,22979.15,23000.0
2025-04-04 13:30:00,777.0,777.0,772.0,772.0,75,10.479388,150,22924.4,22900.0
2025-04-04 13:45:00,772.0,772.0,760.0,760.0,75,10.552745,300,22902.9,22900.0
2025-04-04 14:00:00,760.0,761.7,753.4,761.7,150,10.804868,450,22891.05,22900.0
