datetime,open,high,low,close,volume,iv,oi,spot,strike
2025-07-01 09:15:00,864.25,880.0,864.25,880.0,225,9.565864,30225,25578.0,25500.0
2025-07-01 09:30:00,885.0,885.0,882.45,882.45,150,9.579444,29925,25580.65,25500.0
2025-07-01 09:45:00,882.45,888.0,882.45,888.0,150,9.55112,29925,25590.0,25500.0
2025-07-01 11:45:00,905.8,905.8,905.8,905.8,75,9.637952,75,25514.75,25400.0
2025-07-02 09:15:00,863.25,886.6,863.25,878.0,750,9.550492,47175,25585.95,25500.0
2025-07-02 10:30:00,873.4,873.4,873.4,873.4,75,9.44096,75,25490.7,25400.0
2025-07-02 15:15:00,888.5,889.15,888.5,889.0,600,9.707321,0,25451.3,25350.0
2025-07-03 13:30:00,845.1,850.0,845.1,850.0,600,9.148589,94275,25581.55,25500.0
2025-07-03 15:00:00,905.5,905.5,894.2,894.2,75,9.791814,525,25415.65,25300.0
2025-07-04 13:30:00,840.45,849.65,840.45,849.65,75,9.548632,525,25377.1,25300.0
2025-07-04 14:30:00,818.0,845.0,818.0,845.0,75,9.319149,825,25431.75,25350.0
2025-07-08 09:15:00,828.0,828.0,828.0,828.0,75,9.63238,2550,25476.1,25400.0
2025-07-08 15:00:00,816.0,840.0,781.5,840.0,225,9.760582,375,25536.0,25450.0
2025-07-09 11:00:00,859.3,859.3,859.0,859.0,75,9.743698,2700,25523.65,25400.0
2025-07-09 15:15:00,867.1,867.1,814.35,814.35,300,9.534614,2475,25475.15,25400.0
2025-07-10 09:15:00,798.3,798.3,798.2,798.2,225,9.205459,2475,25478.2,25400.0
2025-07-10 09:45:00,835.0,835.0,835.0,835.0,75,9.477608,600,25418.55,25300.0
2025-07-10 10:45:00,830.55,830.55,830.55,830.55,150,9.918471,675,25388.9,25300.0
2025-07-10 12:15:00,791.0,813.0,791.0,813.0,75,9.452572,1200,25390.65,25300.0
2025-07-10 12:45:00,813.0,815.85,813.0,815.85,150,9.562084,1275,25388.85,25300.0
2025-07-10 13:00:00,815.85,815.85,802.6,802.6,75,9.136505,1275,25393.5,25300.0
2025-07-10 13:15:00,802.6,805.8,802.6,805.8,75,9.432609,1350,25382.1,25300.0
2025-07-10 13:45:00,794.6,800.3,794.6,800.3,150,9.393996,1350,25376.85,25300.0
2025-07-10 15:00:00,825.0,825.0,820.0,820.0,75,9.113631,375,25371.25,25250.0
2025-07-11 09:15:00,785.0,785.0,785.0,785.0,75,8.780937,675,25300.1,25200.0
2025-07-11 09:30:00,785.0,800.85,785.0,800.5,375,8.896787,675,25315.3,25200.0
2025-07-11 09:45:00,800.5,800.5,794.15,794.15,225,9.023806,825,25300.2,25200.0
2025-07-11 11:30:00,780.0,785.0,780.0,785.0,300,9.345838,825,25175.35,25100.0
2025-07-11 13:15:00,815.0,815.0,815.0,815.0,75,9.645271,225,25153.6,25050.0
2025-07-14 09:15:00,814.05,814.05,775.75,776.0,8475,9.67298,802200,25078.25,25000.0
2025-07-14 09:30:00,774.55,791.6,774.55,787.05,4275,9.745792,805800,25090.0,25000.0
2025-07-14 09:45:00,787.3,814.95,784.1,814.0,9000,9.944881,808575,25117.15,25000.0
2025-07-14 10:00:00,814.0,816.5,795.45,810.9,7275,9.814702,807675,25119.8,25000.0
2025-07-14 10:15:00,810.9,817.0,809.0,809.0,2550,9.9494,807900,25110.15,25000.0
2025-07-14 10:30:00,809.0,810.6,788.0,801.6,6150,10.167579,808575,25088.05,25000.0
2025-07-14 10:45:00,801.6,804.8,792.35,801.15,2850,10.324135,807750,25078.85,25000.0
2025-07-14 11:00:00,790.0,796.3,789.15,789.15,1575,10.052018,807750,25076.9,25000.0
2025-07-14 14:45:00,778.0,810.0,778.0,810.0,7575,10.105708,820350,25105.1,25000.0
2025-07-14 15:00:00,810.0,810.0,794.0,800.0,2400,10.302848,820500,25080.25,25000.0
2025-07-14 15:15:00,800.0,805.0,795.0,799.0,7500,10.155151,820350,25087.1,25000.0
2025-07-15 09:30:00,806.7,806.7,788.8,789.0,2700,9.768765,821400,25101.65,25000.0
2025-07-15 09:45:00,789.0,804.95,787.8,790.0,3225,9.799054,821850,25101.55,25000.0
2025-07-15 10:00:00,800.1,800.1,797.1,797.1,375,9.559479,823050,25123.95,25000.0
2025-07-15 10:15:00,797.2,800.2,789.0,795.0,900,9.497386,823350,25124.35,25000.0
2025-07-15 10:30:00,771.65,771.65,771.65,771.65,75,9.344517,600,25148.15,25050.0
2025-07-15 11:00:00,754.0,780.3,754.0,780.3,75,9.342153,4350,25208.45,25100.0
2025-07-15 11:15:00,780.3,796.0,780.3,796.0,150,9.600011,4500,25216.9,25100.0
2025-07-15 11:45:00,796.0,796.0,785.6,785.6,75,9.592759,4575,25203.15,25100.0
2025-07-15 13:30:00,785.6,785.6,758.2,758.2,75,9.231772,4500,25184.65,25100.0
2025-07-16 10:45:00,780.0,780.0,780.0,780.0,75,9.339605,834600,25121.8,25000.0
2025-07-16 11:45:00,718.0,743.0,718.0,743.0,225,8.94639,5400,25187.6,25100.0
2025-07-16 12:15:00,743.0,743.0,740.4,740.4,75,8.93072,5175,25185.05,25100.0
