datetime,open,high,low,close,volume,iv,oi,spot,strike
2025-07-01 09:15:00,432.5,455.0,432.5,448.8,1500,15.062715,80100,25578.0,25500.0
2025-07-01 09:30:00,448.55,449.95,442.5,442.5,525,14.996871,81675,25587.55,25500.0
2025-07-01 09:45:00,442.5,449.85,441.4,443.35,900,14.924577,81675,25575.4,25500.0
2025-07-01 11:00:00,413.0,418.95,413.0,418.95,150,14.757406,3150,25519.45,25400.0
2025-07-01 11:45:00,418.95,426.45,418.95,426.45,675,14.83411,3150,25507.25,25400.0
2025-07-01 12:00:00,423.0,423.0,423.0,423.0,150,14.831052,3600,25517.1,25400.0
2025-07-01 14:30:00,408.4,416.1,408.4,416.1,150,14.68136,32475,25517.1,25400.0
2025-07-02 09:15:00,440.1,440.1,426.5,431.45,6525,14.705938,85125,25577.0,25500.0
2025-07-02 10:30:00,416.5,432.0,416.5,432.0,75,14.826373,32475,25485.85,25400.0
2025-07-02 10:45:00,432.0,435.85,432.0,435.85,1650,14.942807,32475,25489.95,25400.0
2025-07-02 11:15:00,443.25,443.25,433.5,433.5,75,14.923608,32475,25494.2,25400.0
2025-07-02 13:30:00,400.0,427.0,400.0,427.0,450,14.814816,4875,25393.15,25300.0
2025-07-02 14:00:00,427.0,427.0,418.0,418.0,75,14.781491,4875,25415.3,25300.0
2025-07-02 14:15:00,418.0,423.5,416.0,423.5,150,14.825438,4950,25404.75,25300.0
2025-07-02 15:00:00,437.6,437.6,421.9,421.9,150,14.782384,1425,25456.35,25350.0
2025-07-03 09:15:00,424.2,425.2,424.2,425.2,450,14.841565,1500,25451.15,25350.0
2025-07-03 09:30:00,444.0,444.0,424.05,426.0,900,14.746261,32850,25488.85,25400.0
2025-07-03 09:45:00,426.0,426.0,415.35,419.4,375,14.833549,32850,25519.9,25400.0
2025-07-03 11:30:00,411.15,423.3,411.15,423.3,150,14.877443,32775,25513.8,25400.0
2025-07-03 11:45:00,423.3,429.9,423.3,429.9,75,14.858039,32775,25491.75,25400.0
2025-07-03 12:15:00,429.9,431.65,427.9,430.0,675,14.913387,32775,25498.65,25400.0
2025-07-03 12:45:00,430.0,430.0,422.6,426.95,975,14.979566,34050,25516.3,25400.0
