datetime,open,high,low,close,volume,iv,oi,spot,strike
2025-07-01 09:15:00,493.65,493.65,470.8,470.8,75,15.113484,450,25574.45,25550.0
2025-07-01 09:45:00,514.6,514.6,478.0,478.0,225,14.983275,3375,25590.0,25600.0
2025-07-01 10:45:00,458.3,458.5,458.3,458.5,75,14.842449,83175,25520.95,25500.0
2025-07-01 11:00:00,458.5,461.45,457.8,457.8,1125,14.825174,83625,25520.65,25500.0
2025-07-01 11:15:00,457.8,462.0,455.85,457.3,1800,14.84152,85200,25524.15,25500.0
2025-07-01 11:30:00,453.75,457.1,453.75,455.55,1275,14.786288,86175,25521.85,25500.0
2025-07-01 11:45:00,457.0,465.0,456.5,464.55,1800,14.907055,89250,25512.15,25500.0
2025-07-01 12:00:00,464.55,464.55,458.25,460.95,1500,14.869757,89250,25517.4,25500.0
2025-07-01 13:15:00,449.5,481.85,449.5,476.0,375,14.863783,600,25527.05,25550.0
2025-07-01 13:45:00,453.5,455.35,453.5,455.35,600,14.723978,86850,25513.95,25500.0
2025-07-01 14:30:00,450.2,451.8,450.2,451.8,450,14.677331,86400,25517.8,25500.0
2025-07-01 15:00:00,476.0,476.0,465.35,465.35,75,14.777142,675,25545.15,25550.0
2025-07-02 10:00:00,448.7,457.1,448.7,456.0,900,14.83635,92325,25523.45,25500.0
2025-07-02 10:15:00,456.0,461.0,455.0,457.25,1650,14.813305,92700,25516.9,25500.0
2025-07-02 10:30:00,457.25,470.0,457.25,467.0,1200,14.82997,92925,25491.75,25500.0
2025-07-02 10:45:00,467.0,471.15,467.0,469.0,3675,14.874442,93600,25491.85,25500.0
2025-07-02 11:00:00,469.0,472.95,469.0,472.95,1050,14.916278,94425,25486.25,25500.0
2025-07-02 11:15:00,478.0,478.0,470.1,470.1,150,14.917249,94950,25494.2,25500.0
2025-07-02 11:30:00,470.1,472.45,470.1,472.45,75,14.831798,94875,25476.8,25500.0
