datetime,open,high,low,close,volume,iv,oi,spot,strike
2025-10-01 10:00:00,541.2,541.2,541.2,541.2,0,9.31,1200,24648.55,25100.0
2025-10-01 11:15:00,500.0,500.0,500.0,500.0,75,8.68,0,24723.75,25200.0
2025-10-01 11:30:00,500.0,515.0,500.0,515.0,225,8.76,150,24744.65,25200.0
2025-10-01 12:15:00,507.15,507.15,485.1,485.1,900,8.85,0,24777.2,25300.0
2025-10-01 12:30:00,485.4,507.15,483.3,507.15,525,8.97,0,24760.95,25250.0
2025-10-01 12:45:00,507.15,507.15,507.15,507.15,0,9.03,0,24753.5,25250.0
2025-10-01 13:00:00,507.15,507.15,507.15,507.15,0,8.85,0,24770.7,25250.0
2025-10-01 13:15:00,507.15,507.15,483.95,483.95,0,8.72,1275,24787.1,25300.0
2025-10-01 13:30:00,483.95,483.95,483.95,483.95,0,8.79,1275,24781.4,25300.0
2025-10-01 13:45:00,483.95,507.15,483.95,483.95,0,8.76,1275,24783.9,25300.0
2025-10-01 14:00:00,483.95,483.95,483.95,483.95,0,8.64,1275,24795.2,25300.0
2025-10-01 14:15:00,483.95,483.95,483.95,483.95,0,8.45,1275,24811.8,25300.0
2025-10-01 14:30:00,495.0,495.0,495.0,495.0,0,8.55,1350,24823.25,25300.0
2025-10-01 14:45:00,476.7,495.0,476.7,476.7,75,8.55,0,24835.35,25350.0
2025-10-01 15:00:00,476.7,495.0,476.7,495.0,0,8.55,1350,24822.5,25300.0
2025-10-01 15:15:00,476.7,476.7,476.7,476.7,0,8.36,0,24853.4,25350.0
2025-10-03 09:15:00,501.0,501.0,501.0,501.0,0,9.06,300,24761.4,25250.0
2025-10-03 09:30:00,489.95,489.95,470.7,472.0,225,8.69,1425,24789.1,25300.0
2025-10-03 09:45:00,472.0,496.55,466.6,469.1,150,8.24,1425,24822.1,25300.0
2025-10-03 10:00:00,469.1,481.9,469.1,473.5,600,8.6,1050,24798.35,25300.0
2025-10-03 10:15:00,473.5,473.5,473.5,473.5,0,8.45,1050,24812.6,25300.0
2025-10-03 10:30:00,473.5,473.5,473.5,473.5,0,8.79,1050,24782.85,25300.0
2025-10-03 10:45:00,493.0,493.0,465.1,465.1,75,8.52,1125,24791.3,25300.0
2025-10-03 11:00:00,465.1,465.1,465.1,465.1,0,8.25,1125,24815.6,25300.0
2025-10-03 11:15:00,465.1,483.95,441.95,483.95,0,8.69,1125,24811.45,25300.0
2025-10-03 11:30:00,483.95,483.95,441.95,480.0,525,8.49,1500,24821.4,25300.0
2025-10-03 11:45:00,480.0,480.0,441.95,480.0,0,8.51,1500,24819.5,25300.0
2025-10-03 12:00:00,480.0,480.0,441.95,441.95,0,8.03,75,24840.4,25350.0
2025-10-03 12:15:00,441.95,490.1,441.95,479.7,150,8.45,1650,24824.75,25300.0
2025-10-03 12:30:00,441.95,479.7,441.95,471.25,675,8.29,1650,24824.4,25300.0
2025-10-03 12:45:00,471.25,479.0,441.95,441.95,0,8.18,75,24826.2,25350.0
2025-10-03 13:00:00,479.0,479.0,441.95,441.95,0,8.0,75,24843.65,25350.0
2025-10-03 13:15:00,441.95,479.0,441.95,479.0,0,8.45,1875,24824.85,25300.0
2025-10-03 13:30:00,479.0,479.0,441.95,441.95,0,8.18,75,24828.25,25350.0
2025-10-03 13:45:00,441.95,479.0,441.95,441.95,0,8.16,75,24829.85,25350.0
2025-10-03 14:00:00,441.95,480.0,441.95,472.0,75,8.48,2025,24809.05,25300.0
2025-10-03 14:15:00,472.0,472.0,441.95,441.95,0,8.16,75,24828.9,25350.0
2025-10-03 14:30:00,441.95,470.5,441.95,446.95,75,8.23,1575,24879.85,25400.0
2025-10-03 14:45:00,446.95,470.5,446.95,446.95,0,8.09,1575,24890.35,25400.0
2025-10-03 15:00:00,446.95,459.85,446.95,459.85,75,8.41,1650,24888.5,25400.0
2025-10-03 15:15:00,454.0,454.0,450.5,451.55,675,8.18,1950,24895.0,25400.0
2025-10-06 09:15:00,455.15,455.15,455.15,455.15,150,8.52,2025,24901.85,25400.0
2025-10-06 09:30:00,455.15,455.15,455.15,455.15,0,8.25,2025,24924.25,25400.0
2025-10-06 10:15:00,430.0,430.95,430.0,430.95,150,8.21,124725,24976.25,25500.0
2025-10-06 10:30:00,430.15,435.0,429.95,431.35,1125,8.24,126000,24976.6,25500.0
2025-10-06 10:45:00,431.35,436.05,429.2,434.25,5400,8.2,128850,24985.05,25500.0
2025-10-06 11:00:00,434.0,437.0,432.45,437.0,4650,7.91,130050,25014.8,25500.0
2025-10-06 11:15:00,437.0,446.3,433.0,446.2,2325,8.15,130500,25011.5,25500.0
2025-10-06 11:30:00,447.0,450.2,443.0,448.4,3825,8.27,131850,25006.2,25500.0
2025-10-06 11:45:00,448.4,448.4,438.9,441.95,3300,8.3,130425,24992.35,25500.0
2025-10-06 12:00:00,440.8,445.6,440.8,445.5,900,8.18,131250,25008.05,25500.0
2025-10-06 12:15:00,446.6,450.1,446.35,446.35,1875,8.21,131850,25006.0,25500.0
2025-10-06 12:30:00,446.35,448.15,441.25,448.0,3525,8.15,133200,25014.9,25500.0
