datetime,open,high,low,close,volume,iv,oi,spot,strike
2025-03-28 09:15:00,488.55,497.55,488.55,495.75,4200,13.625569,128550,23561.9,23900.0
2025-03-28 09:30:00,495.75,518.6,494.35,517.0,2625,13.789222,128475,23530.4,23900.0
2025-03-28 09:45:00,517.0,522.85,493.0,493.0,5100,13.538087,128625,23556.8,23900.0
2025-03-28 10:00:00,493.0,512.3,491.6,512.3,2250,13.635697,129300,23527.75,23900.0
2025-03-28 10:15:00,510.3,510.3,493.85,496.0,2850,13.601038,129225,23559.25,23900.0
2025-03-28 10:30:00,496.0,518.05,496.0,507.95,4725,13.459916,438375,23625.45,24000.0
2025-03-28 10:45:00,507.95,519.55,504.8,510.65,12375,13.577772,439650,23629.35,24000.0
2025-03-28 11:00:00,515.1,515.1,509.7,513.35,2250,13.630745,439725,23628.0,24000.0
2025-03-28 11:15:00,513.35,513.35,484.35,491.85,900,13.65995,129075,23572.9,23900.0
2025-03-28 11:30:00,491.85,500.05,482.5,499.5,2025,13.811686,129600,23569.05,23900.0
2025-03-28 11:45:00,499.5,503.1,498.25,498.25,375,13.819241,129450,23572.35,23900.0
2025-03-28 12:00:00,498.25,498.25,498.25,498.25,0,13.819241,129450,23572.35,23900.0
2025-03-28 12:15:00,498.25,527.9,498.25,527.9,5250,14.060781,129150,23529.3,23900.0
2025-03-28 12:30:00,527.9,527.9,527.9,527.9,0,14.060781,129150,23529.3,23900.0
2025-03-28 12:45:00,527.9,527.9,486.75,505.0,75,13.878381,1725,23527.2,23900.0
2025-03-28 13:00:00,505.0,505.0,492.0,501.3,75,13.955806,71700,23473.85,23800.0
2025-03-28 13:15:00,501.3,501.3,501.3,501.3,0,13.955806,71700,23473.85,23800.0
2025-03-28 13:30:00,501.3,501.3,501.3,501.3,0,13.955806,71700,23473.85,23800.0
2025-03-28 13:45:00,501.3,519.0,501.0,513.45,2925,14.265464,77250,23473.25,23800.0
2025-03-28 14:00:00,513.45,521.05,513.45,521.0,150,14.314507,77700,23461.15,23800.0
2025-03-28 14:15:00,521.0,555.3,521.0,532.8,750,14.448029,129450,23550.25,23900.0
2025-03-28 14:30:00,532.8,550.15,521.75,535.6,2100,14.430554,2550,23594.5,23950.0
2025-03-28 14:45:00,535.6,543.65,535.6,543.65,150,14.469361,1875,23580.75,23950.0
2025-03-28 15:00:00,543.65,543.65,506.5,524.15,3900,14.144285,130500,23543.65,23900.0
2025-03-28 15:15:00,524.15,533.05,501.7,507.75,1500,13.756962,4200,23495.15,23850.0
