datetime,open,high,low,close,volume,iv,oi,spot,strike
2025-04-01 09:15:00,389.0,389.0,358.45,378.55,4200,14.484887,3525,23431.95,23450.0
2025-04-01 09:30:00,382.35,400.45,366.5,381.95,18150,14.640956,3975,23541.75,23550.0
2025-04-01 09:45:00,381.95,382.3,357.95,368.8,19125,14.541792,448350,23514.85,23500.0
2025-04-01 10:00:00,368.8,382.05,340.3,363.45,10650,14.407887,3900,23456.1,23500.0
2025-04-01 10:15:00,363.45,377.6,349.55,363.75,3525,14.408627,94575,23307.2,23300.0
2025-04-01 10:30:00,363.75,374.6,355.6,356.4,7575,14.336724,91650,23319.95,23300.0
2025-04-01 10:45:00,356.4,377.2,353.45,374.5,2925,14.584861,6225,23243.15,23250.0
2025-04-01 11:00:00,374.5,380.8,365.15,377.55,3075,14.517351,5325,23228.95,23250.0
2025-04-01 11:15:00,377.55,381.35,372.5,374.45,450,14.716649,4800,23250.85,23250.0
2025-04-01 11:30:00,374.45,384.5,359.0,379.6,5175,14.828804,72525,23200.1,23200.0
2025-04-01 11:45:00,379.6,383.95,372.95,378.05,4125,14.754642,70800,23197.25,23200.0
2025-04-01 12:00:00,378.05,383.9,366.95,368.05,4125,14.608247,70200,23209.9,23200.0
2025-04-01 12:15:00,368.05,394.8,355.5,367.0,1200,14.593881,70725,23211.3,23200.0
2025-04-01 12:30:00,361.7,386.4,361.7,378.05,300,14.611744,4425,23236.05,23250.0
2025-04-01 12:45:00,378.05,379.5,362.35,373.0,2550,14.57272,73500,23194.6,23200.0
2025-04-01 13:00:00,373.0,381.0,372.3,378.55,1800,14.66949,73950,23192.45,23200.0
2025-04-01 13:15:00,378.55,380.55,357.8,372.85,375,14.71264,4725,23154.55,23150.0
2025-04-01 13:30:00,372.85,372.85,372.85,372.85,0,14.71264,4725,23154.55,23150.0
2025-04-01 13:45:00,372.85,376.2,371.6,371.6,150,14.845022,4725,23170.05,23150.0
2025-04-01 14:00:00,371.6,371.6,371.6,371.6,0,14.845022,4725,23170.05,23150.0
2025-04-01 14:15:00,371.6,376.4,371.6,374.15,1575,14.733906,4800,23152.9,23150.0
2025-04-01 14:30:00,374.15,374.15,374.15,374.15,0,14.733906,4800,23152.9,23150.0
2025-04-01 14:45:00,374.15,374.15,364.55,364.55,825,14.552709,5400,23161.3,23150.0
2025-04-01 15:00:00,364.55,374.0,360.0,374.0,600,14.43765,79275,23178.0,23200.0
2025-04-01 15:15:00,374.0,386.1,360.0,384.45,1950,14.752356,78750,23179.7,23200.0
2025-04-02 09:15:00,400.2,400.2,370.0,380.5,5850,14.75582,78975,23186.45,23200.0
2025-04-02 09:30:00,380.5,402.75,370.0,375.95,2025,14.577492,5475,23234.0,23250.0
