datetime,open,high,low,close,volume,iv,oi,spot,strike
2025-09-01 09:15:00,286.0,286.0,281.0,283.0,5925,12.93,93375,24530.25,24400.0
2025-09-01 09:30:00,279.55,279.55,270.4,273.55,3525,12.72,93600,24535.8,24400.0
2025-09-01 09:45:00,270.8,272.8,261.0,266.1,17700,12.61,103425,24547.5,24400.0
2025-09-01 10:00:00,266.1,272.8,255.0,255.0,8400,12.55,6600,24523.15,24350.0
2025-09-01 10:15:00,271.0,274.4,255.0,268.3,450,12.5,106200,24528.6,24400.0
2025-09-01 10:30:00,255.0,275.1,255.0,273.0,150,12.65,106500,24529.65,24400.0
2025-09-01 10:45:00,270.85,270.85,255.0,266.95,1350,12.63,107250,24545.0,24400.0
2025-09-01 11:00:00,265.0,265.0,264.05,264.05,375,12.58,107325,24548.7,24400.0
2025-09-01 11:15:00,264.05,264.05,262.6,262.6,75,12.54,107175,24550.35,24400.0
2025-09-01 11:30:00,262.6,265.35,262.6,265.35,525,12.53,107100,24538.55,24400.0
2025-09-01 11:45:00,265.35,265.35,249.0,249.0,0,12.36,6600,24521.65,24350.0
2025-09-01 12:00:00,265.35,266.0,263.95,263.95,225,12.57,107400,24546.85,24400.0
2025-09-01 12:15:00,263.95,263.95,253.2,255.4,375,12.54,107625,24571.6,24400.0
2025-09-01 12:30:00,255.4,255.4,254.0,254.05,225,12.43,107700,24563.95,24400.0
2025-09-01 12:45:00,254.05,254.05,254.05,254.05,0,12.47,107700,24569.65,24400.0
2025-09-01 13:00:00,254.1,268.3,252.1,268.3,450,12.59,9225,24590.5,24450.0
2025-09-01 13:15:00,268.3,268.3,268.3,268.3,0,12.64,9225,24592.9,24450.0
2025-09-01 13:30:00,261.1,261.1,259.2,261.0,300,12.42,9450,24593.7,24450.0
2025-09-01 13:45:00,261.0,261.0,261.0,261.0,0,12.46,9450,24597.2,24450.0
2025-09-01 14:00:00,261.0,261.0,261.0,261.0,0,12.65,9450,24617.1,24450.0
2025-09-01 14:15:00,261.0,261.0,252.4,255.9,150,12.34,9375,24600.95,24450.0
2025-09-01 14:30:00,255.9,255.9,255.9,255.9,0,12.47,9375,24615.4,24450.0
2025-09-01 14:45:00,255.9,267.3,255.9,265.95,4500,12.45,432975,24632.25,24500.0
2025-09-01 15:00:00,255.9,270.25,250.55,250.55,29025,12.42,9450,24624.45,24450.0
2025-09-01 15:15:00,253.95,269.85,252.9,252.9,21975,12.47,9075,24624.3,24450.0
2025-09-02 09:15:00,254.0,265.95,253.05,260.3,21975,12.5,464625,24653.55,24500.0
2025-09-02 09:30:00,259.45,275.0,252.4,260.65,8700,12.38,12975,24688.75,24550.0
2025-09-02 09:45:00,258.4,258.4,248.7,249.85,20550,12.38,33750,24724.45,24550.0
2025-09-02 10:00:00,264.4,264.95,257.8,261.4,14625,12.28,86550,24728.75,24600.0
2025-09-02 10:15:00,261.8,265.0,245.2,259.2,975,12.27,80475,24735.7,24600.0
2025-09-02 10:30:00,259.2,267.65,248.2,260.15,3450,12.33,80550,24736.65,24600.0
2025-09-02 10:45:00,260.0,264.25,260.0,260.0,600,12.33,80625,24737.7,24600.0
2025-09-02 11:00:00,260.0,261.55,258.0,261.55,375,12.31,80775,24731.75,24600.0
2025-09-02 11:15:00,261.55,262.75,242.65,247.4,12225,12.3,23025,24721.9,24550.0
2025-09-02 11:30:00,247.4,261.25,247.4,259.6,225,12.29,80025,24733.65,24600.0
2025-09-02 11:45:00,259.6,260.55,259.6,260.5,10500,12.23,82650,24729.3,24600.0
2025-09-02 12:00:00,260.5,262.5,245.55,262.5,7800,12.3,91200,24726.05,24600.0
2025-09-02 12:15:00,262.2,262.2,245.55,259.0,600,12.29,91050,24737.05,24600.0
2025-09-02 12:30:00,258.35,259.5,253.25,256.25,2475,12.23,89850,24738.1,24600.0
2025-09-02 12:45:00,257.85,258.65,256.8,258.45,2850,12.33,90000,24743.95,24600.0
2025-09-02 13:00:00,257.95,264.0,240.0,240.0,975,12.11,16950,24724.85,24550.0
2025-09-02 13:15:00,240.0,263.75,240.0,262.7,1050,12.4,17025,24684.75,24550.0
2025-09-02 13:30:00,262.7,262.7,250.9,258.75,2850,12.47,475950,24655.05,24500.0
2025-09-02 13:45:00,260.9,270.15,219.0,219.0,12525,11.22,4875,24589.9,24450.0
2025-09-02 14:00:00,219.0,269.55,219.0,260.7,8250,12.63,101100,24561.3,24400.0
2025-09-02 14:15:00,260.7,281.0,257.55,268.0,1200,12.67,101475,24540.7,24400.0
2025-09-02 14:30:00,268.0,281.0,255.2,281.0,675,13.01,4875,24590.95,24450.0
2025-09-02 14:45:00,281.0,281.0,255.8,256.4,1350,12.64,100575,24574.45,24400.0
2025-09-02 15:00:00,256.15,260.1,255.0,260.1,675,12.38,4875,24584.8,24450.0
2025-09-02 15:15:00,260.1,273.6,253.75,255.85,1800,12.63,97050,24575.0,24400.0
2025-09-03 09:15:00,272.0,272.0,257.0,258.0,825,12.73,96975,24573.0,24400.0
