datetime,open,high,low,close,volume,iv,oi,spot,strike
2025-10-31 09:15:00,497.95,497.95,459.2,491.6,2100,9.83,162450,25914.9,26200.0
2025-10-31 09:30:00,491.6,491.6,459.2,466.05,825,9.74,9750,25926.65,26250.0
2025-10-31 09:45:00,491.0,497.95,460.0,494.65,3000,9.79,160200,25924.55,26200.0
2025-10-31 10:00:00,493.9,493.9,463.85,467.3,1725,9.81,158775,25879.0,26200.0
2025-10-31 10:15:00,488.45,488.45,473.6,473.6,75,9.84,7875,25836.55,26150.0
2025-10-31 10:30:00,473.6,491.75,473.6,488.05,2325,9.8,109425,25818.75,26100.0
2025-10-31 10:45:00,488.05,491.85,451.15,477.4,825,9.77,109275,25801.15,26100.0
2025-10-31 11:00:00,475.0,511.45,461.0,464.5,3375,9.8,110250,25777.2,26100.0
2025-10-31 11:15:00,493.6,493.6,463.1,463.1,1125,9.74,111375,25777.7,26100.0
2025-10-31 11:30:00,463.1,480.0,463.1,480.0,1500,9.79,111600,25806.25,26100.0
2025-10-31 11:45:00,480.0,480.5,469.2,480.5,300,9.62,111600,25819.8,26100.0
2025-10-31 12:00:00,487.0,491.0,465.6,491.0,900,10.17,111225,25798.15,26100.0
2025-10-31 12:15:00,478.35,478.35,464.45,464.45,2775,9.67,111375,25787.15,26100.0
2025-10-31 12:30:00,466.3,470.0,466.0,468.0,825,9.7,111150,25791.45,26100.0
2025-10-31 12:45:00,468.0,476.2,467.55,471.15,2400,9.74,111375,25794.85,26100.0
2025-10-31 13:00:00,471.15,477.6,471.15,477.6,375,9.81,111375,25800.65,26100.0
2025-10-31 13:15:00,477.3,479.0,461.0,462.8,1050,9.77,111825,25777.7,26100.0
2025-10-31 13:30:00,460.5,485.8,460.5,485.8,300,9.82,21450,25765.35,26050.0
2025-10-31 13:45:00,485.8,485.8,452.95,461.2,600,9.75,112350,25775.35,26100.0
2025-10-31 14:00:00,461.2,489.2,459.95,459.95,300,9.69,112575,25777.4,26100.0
2025-10-31 14:15:00,489.2,489.2,460.1,460.1,300,9.66,113100,25782.1,26100.0
2025-10-31 14:30:00,460.1,489.2,460.0,489.2,825,9.83,21600,25774.25,26050.0
2025-10-31 14:45:00,489.2,489.2,489.2,489.2,0,10.13,21600,25754.8,26050.0
2025-10-31 15:00:00,489.2,512.0,475.35,507.0,29250,10.38,3958950,25715.75,26000.0
2025-10-31 15:15:00,507.3,512.0,479.7,482.3,19875,10.19,22275,25732.55,26050.0
2025-11-03 09:15:00,467.2,509.4,459.05,467.35,50025,10.42,3957200,25678.6,26000.0
2025-11-03 09:30:00,499.85,499.85,447.0,488.5,27000,10.34,3971525,25723.25,26000.0
2025-11-03 09:45:00,467.65,477.0,467.65,476.2,600,10.19,23325,25759.9,26050.0
2025-11-03 10:00:00,476.2,493.55,466.9,483.55,18000,10.39,3969875,25712.35,26000.0
2025-11-03 10:15:00,483.0,493.0,459.0,459.0,11925,10.18,23550,25729.3,26050.0
2025-11-03 10:30:00,492.0,492.9,459.0,492.9,1725,10.43,23625,25771.05,26050.0
2025-11-03 10:45:00,493.45,493.45,475.05,475.7,600,10.32,23250,25749.25,26050.0
2025-11-03 11:00:00,475.7,481.25,475.7,481.25,150,10.4,23175,25753.9,26050.0
2025-11-03 11:15:00,481.25,481.25,481.25,481.25,0,10.4,23250,25753.8,26050.0
2025-11-03 11:30:00,481.25,481.25,453.05,461.4,1050,10.29,22950,25726.1,26050.0
2025-11-03 11:45:00,483.3,487.8,458.55,487.8,8475,10.28,3972250,25724.9,26000.0
2025-11-03 12:00:00,488.0,488.0,475.0,477.2,9525,10.34,3979300,25702.7,26000.0
2025-11-03 12:15:00,475.6,487.05,448.45,485.1,10425,10.41,3981700,25713.35,26000.0
2025-11-03 12:30:00,482.8,488.35,448.45,448.45,4875,9.89,22800,25733.2,26050.0
2025-11-03 12:45:00,460.0,460.4,460.0,460.4,150,9.89,22725,25755.05,26050.0
2025-11-03 13:00:00,460.4,460.4,460.4,460.4,0,9.93,22725,25752.1,26050.0
2025-11-03 13:15:00,460.4,460.4,460.4,460.4,0,9.89,22725,25754.3,26050.0
2025-11-03 13:30:00,460.4,466.5,460.4,466.5,75,10.05,22800,25755.55,26050.0
2025-11-03 13:45:00,466.5,466.5,465.0,465.0,75,9.86,22875,25765.25,26050.0
2025-11-03 14:00:00,465.0,471.7,450.4,468.8,225,9.87,23025,25770.8,26050.0
2025-11-03 14:15:00,450.0,460.0,450.0,455.0,2025,10.02,118650,25783.65,26100.0
2025-11-03 14:30:00,455.0,476.35,448.1,448.1,900,9.98,118725,25776.9,26100.0
2025-11-03 14:45:00,448.1,475.45,448.1,460.55,150,9.87,23175,25759.0,26050.0
2025-11-03 15:00:00,460.55,471.8,460.55,471.8,450,10.02,23250,25765.95,26050.0
2025-11-03 15:15:00,471.8,471.8,470.15,471.2,375,9.87,23625,25774.3,26050.0
2025-11-04 09:15:00,483.15,483.15,472.5,475.3,10125,10.18,3985925,25730.55,26050.0
2025-11-04 09:30:00,472.0,472.0,458.0,468.5,62175,10.08,4008500,25718.6,26000.0
2025-11-04 09:45:00,467.75,467.8,452.3,462.0,40350,10.09,4019300,25705.7,26000.0
2025-11-04 10:00:00,462.0,470.85,454.85,457.0,22200,10.08,4027325,25698.55,26000.0
2025-11-04 10:15:00,453.15,461.25,446.8,459.9,42000,10.0,4036475,25709.2,26000.0
2025-11-04 10:30:00,460.5,464.0,454.25,454.25,12375,10.08,4042775,25693.45,26000.0
2025-11-04 10:45:00,451.25,456.85,445.15,456.85,14175,9.91,4046525,25710.65,26000.0
2025-11-04 11:00:00,455.95,460.0,440.0,444.75,37950,9.96,4064600,25684.7,26000.0
2025-11-04 11:15:00,444.45,465.0,435.55,439.1,20400,9.85,4070675,25682.2,26000.0
2025-11-04 11:30:00,465.0,465.0,465.0,465.0,0,10.13,12900,25662.45,25950.0
2025-11-04 11:45:00,465.0,465.0,456.35,456.75,975,9.87,13500,25664.65,25950.0
2025-11-04 12:00:00,460.0,463.0,433.55,437.0,11400,9.83,4105550,25680.5,26000.0
2025-11-04 12:15:00,459.5,459.5,435.95,459.5,9000,9.86,12975,25670.7,25950.0
2025-11-04 12:30:00,459.5,459.5,432.45,432.65,8025,9.74,4112075,25679.35,26000.0
2025-11-04 12:45:00,432.95,459.5,432.25,459.5,4050,9.9,12975,25669.85,25950.0
2025-11-04 13:00:00,459.5,459.5,433.75,453.9,2475,9.86,12975,25660.35,25950.0
2025-11-04 13:15:00,453.9,453.9,453.9,453.9,0,9.73,12975,25671.55,25950.0
2025-11-04 13:30:00,453.9,453.9,427.45,429.25,10800,9.73,4101425,25675.05,26000.0
2025-11-04 13:45:00,453.9,453.9,450.15,450.15,75,9.85,12975,25657.45,25950.0
2025-11-04 14:00:00,450.15,456.2,439.5,453.1,7050,9.83,79800,25617.05,25900.0
2025-11-04 14:15:00,451.05,456.85,445.65,454.45,48750,9.86,109950,25615.05,25900.0
2025-11-04 14:30:00,454.15,455.7,427.6,450.0,15600,9.85,117825,25609.9,25900.0
2025-11-04 14:45:00,448.75,448.75,439.0,444.75,47475,9.71,143850,25607.3,25900.0
2025-11-04 15:00:00,448.55,449.4,439.15,439.9,21450,9.71,151575,25600.0,25900.0
2025-11-04 15:15:00,441.8,441.8,432.3,433.2,31875,9.71,149325,25586.25,25900.0
2025-11-06 09:15:00,425.35,451.85,421.4,421.4,750,9.86,14325,25626.6,25950.0
2025-11-06 09:30:00,445.5,450.55,418.8,440.0,8475,9.92,150825,25610.0,25900.0
2025-11-06 09:45:00,440.95,448.35,422.7,422.7,5550,9.77,13650,25628.95,25950.0
2025-11-06 10:00:00,422.7,453.85,421.15,430.15,3150,9.91,12825,25542.75,25850.0
2025-11-06 10:15:00,428.65,431.6,416.75,416.75,975,9.67,13125,25536.95,25850.0
2025-11-06 10:30:00,416.75,443.55,413.2,419.0,4200,9.73,13575,25536.05,25850.0
2025-11-06 10:45:00,419.0,428.2,419.0,428.2,1350,9.59,13200,25562.5,25850.0
2025-11-06 11:00:00,428.2,435.9,428.2,435.1,375,9.82,13200,25560.5,25850.0
2025-11-06 11:15:00,435.1,435.1,435.1,435.1,0,10.05,13200,25543.0,25850.0
2025-11-06 11:30:00,435.1,435.1,410.3,411.95,450,9.62,13500,25531.95,25850.0
2025-11-06 11:45:00,411.95,420.75,411.95,420.75,450,9.44,13650,25561.35,25850.0
2025-11-06 12:00:00,420.75,430.8,418.35,418.35,1200,9.56,14025,25546.65,25850.0
2025-11-06 12:15:00,418.35,418.35,412.75,412.75,450,9.46,14325,25545.75,25850.0
2025-11-06 12:30:00,412.75,425.15,412.75,425.15,225,9.58,14400,25560.3,25850.0
2025-11-06 12:45:00,425.15,432.05,402.4,417.25,4125,9.6,162450,25591.1,25900.0
2025-11-06 13:00:00,417.95,438.45,399.9,407.0,4800,9.46,161550,25583.6,25900.0
2025-11-06 13:15:00,407.0,411.6,404.5,409.2,1575,9.51,160950,25583.85,25900.0
2025-11-06 13:30:00,409.2,439.3,399.55,422.3,5850,9.42,12825,25567.45,25850.0
2025-11-06 13:45:00,417.9,433.75,402.6,402.6,1050,9.28,12600,25539.9,25850.0
2025-11-06 14:00:00,402.6,408.5,402.6,406.0,900,9.21,12225,25552.95,25850.0
2025-11-06 14:15:00,406.0,413.7,406.0,411.0,600,9.47,12300,25541.6,25850.0
2025-11-06 14:30:00,415.15,418.2,415.15,418.2,600,9.66,12075,25542.4,25850.0
2025-11-06 14:45:00,420.3,420.65,420.0,420.0,375,9.56,12150,25555.55,25850.0
2025-11-06 15:00:00,417.0,432.7,411.45,423.35,4425,9.71,154050,25500.6,25800.0
2025-11-06 15:15:00,425.0,433.95,422.5,422.5,23550,9.43,164175,25519.95,25800.0
2025-11-07 09:15:00,443.95,443.95,408.25,426.0,5775,10.02,9975,25348.95,25650.0
2025-11-07 09:30:00,426.55,444.05,415.6,415.6,6375,9.67,10575,25355.05,25650.0
2025-11-07 09:45:00,426.6,437.0,402.6,415.25,3450,9.85,12300,25342.25,25650.0
2025-11-07 10:00:00,415.25,422.0,415.25,415.9,375,9.85,12750,25343.25,25650.0
2025-11-07 10:15:00,415.9,425.7,415.9,425.7,525,9.92,13125,25356.85,25650.0
2025-11-07 10:30:00,425.7,432.0,405.85,407.25,2025,9.79,311325,25378.6,25700.0
2025-11-07 10:45:00,408.2,436.0,401.7,425.05,4725,9.92,13350,25356.45,25650.0
2025-11-07 11:00:00,425.05,426.55,405.3,420.65,3600,9.71,319575,25409.95,25700.0
2025-11-07 11:15:00,420.1,429.35,383.0,414.3,3000,9.81,16350,25440.25,25750.0
2025-11-07 11:30:00,422.6,428.1,413.3,415.55,975,9.73,16575,25447.15,25750.0
2025-11-07 11:45:00,415.55,415.55,409.0,411.0,225,9.76,16500,25437.95,25750.0
2025-11-07 12:00:00,409.6,416.1,409.6,415.85,1350,9.68,16575,25454.2,25750.0
2025-11-07 12:15:00,419.7,427.65,413.2,425.35,10275,9.86,24975,25457.15,25750.0
2025-11-07 12:30:00,425.35,430.95,403.95,404.7,2550,9.62,229200,25482.6,25800.0
2025-11-07 12:45:00,408.45,433.2,402.15,410.2,10125,9.65,232125,25491.25,25800.0
