datetime,open,high,low,close,volume,iv,oi,spot,strike
2026-01-05 09:15:00,89.0,105.0,71.2,81.05,2710825,7.7772,2082210,26339.15,26500.0
2026-01-05 10:15:00,80.7,96.8,78.1,86.9,2610985,7.676273,2107235,26359.25,26500.0
2026-01-05 11:15:00,86.7,99.55,70.15,75.45,1318915,7.581186,2176915,26334.2,26500.0
2026-01-05 12:15:00,75.8,91.15,69.9,83.6,1129245,7.545339,651300,26308.75,26450.0
2026-01-05 13:15:00,81.5,94.25,64.45,68.35,2905435,7.36698,2544945,26226.8,26400.0
2026-01-05 14:15:00,68.55,85.85,57.85,68.85,2690610,6.863371,2466490,26249.85,26400.0
2026-01-05 15:15:00,69.0,69.1,65.75,66.0,1340755,6.806016,2664285,26244.65,26400.0
2026-01-06 09:15:00,60.0,100.4,60.0,74.7,5821075,7.952192,2997475,26243.25,26400.0
2026-01-06 10:15:00,75.3,89.75,65.3,71.15,2169960,7.715817,1495975,26194.45,26350.0
2026-01-06 11:15:00,71.5,87.45,63.75,81.45,5127915,7.868705,4960995,26167.65,26300.0
2026-01-06 12:15:00,81.2,85.65,63.4,82.2,2812485,7.755189,5145920,26174.7,26300.0
2026-01-06 13:15:00,82.35,82.5,64.7,67.55,5031650,7.853146,5607810,26133.15,26300.0
2026-01-06 14:15:00,67.75,74.2,49.85,50.2,4420975,6.748102,3517605,26175.95,26350.0
2026-01-06 15:15:00,67.55,68.45,49.9,67.6,1321060,6.795904,6174285,26174.65,26300.0
2026-01-07 09:15:00,77.0,77.0,40.95,61.6,36561655,7.110771,9391850,26167.25,26300.0
2026-01-07 10:15:00,46.75,68.75,44.35,52.8,30379830,6.884331,9146800,26151.6,26300.0
2026-01-07 11:15:00,52.8,63.25,44.15,59.0,20620015,7.132344,5917990,26112.1,26250.0
2026-01-07 12:15:00,58.65,60.3,45.1,50.25,16069885,6.722216,7013370,26102.9,26250.0
2026-01-07 13:15:00,50.2,61.6,41.8,47.7,15041650,6.653233,6965595,26098.85,26250.0
2026-01-07 14:15:00,47.65,57.25,36.3,44.75,17997395,6.349896,10486970,26151.8,26300.0
2026-01-07 15:15:00,45.15,45.15,38.85,42.65,8012290,6.413424,9091550,26142.9,26300.0
2026-01-08 09:15:00,52.0,52.0,32.0,42.65,34798205,6.537038,16386240,26061.15,26200.0
2026-01-08 10:15:00,42.75,53.2,35.45,48.2,22751365,7.283308,11241620,26003.8,26150.0
2026-01-08 11:15:00,48.4,68.3,43.5,54.0,33039955,8.421935,18413850,25933.75,26100.0
2026-01-08 12:15:00,54.0,71.1,50.9,51.65,13774085,8.466126,18363215,25926.1,26100.0
2026-01-08 13:15:00,67.75,67.8,45.3,47.25,15267330,8.07953,18085470,25926.95,26100.0
2026-01-08 14:15:00,47.3,62.2,42.9,44.85,24446825,7.882747,8118175,25878.05,26050.0
2026-01-08 15:15:00,61.2,61.2,41.25,52.5,9863685,7.427304,14076205,25868.9,26000.0
2026-01-09 09:15:00,41.0,65.7,30.1,49.45,88859680,8.32947,19541795,25856.6,26000.0
2026-01-09 10:15:00,49.6,57.05,32.25,42.75,51082265,7.962435,10563280,25799.0,25950.0
2026-01-09 11:15:00,43.9,51.4,35.35,41.15,45376955,8.154002,19474975,25739.35,25900.0
2026-01-09 12:15:00,41.05,54.85,36.1,42.4,38674675,8.298826,8869510,25691.05,25850.0
2026-01-09 13:15:00,42.35,53.6,36.55,47.55,34994765,8.295881,17445480,25660.15,25800.0
2026-01-09 14:15:00,47.95,50.85,34.25,44.75,54346825,8.519781,7737145,25695.05,25850.0
2026-01-09 15:15:00,44.5,54.95,41.4,54.2,10448685,9.219786,5712525,25703.7,25850.0
2026-01-12 09:15:00,55.8,58.65,24.05,33.0,103579125,12.905176,19230380,25556.9,25700.0
2026-01-12 10:15:00,33.15,40.25,20.65,22.7,66360775,12.162089,21307130,25532.85,25700.0
2026-01-12 11:15:00,22.35,35.5,15.35,24.35,54597140,12.912363,9211800,25578.3,25750.0
2026-01-12 12:15:00,24.6,49.2,20.6,39.55,143235040,13.902867,8052200,25722.3,25850.0
2026-01-12 13:15:00,28.2,42.45,19.7,21.55,80616445,12.623567,15153515,25728.45,25900.0
2026-01-12 14:15:00,21.5,31.4,18.2,20.65,100339980,12.605213,7532525,25778.5,25950.0
2026-01-12 15:15:00,20.7,22.95,18.45,19.35,12448605,11.030565,6491940,25806.1,25950.0
2026-01-13 09:15:00,18.7,26.05,11.05,11.85,271453065,16.910045,34584225,25738.1,25900.0
2026-01-13 10:15:00,11.9,17.2,4.9,6.45,239773560,14.716354,19091150,25788.6,25950.0
2026-01-13 11:15:00,6.35,9.25,3.1,6.4,192499450,13.76958,26024310,25713.7,25850.0
2026-01-13 12:15:00,6.35,6.85,3.05,4.4,179950160,13.626702,32861205,25658.45,25800.0
2026-01-13 13:15:00,4.35,4.9,0.95,1.05,191593805,12.132229,24888045,25636.55,25800.0
2026-01-13 14:15:00,1.0,1.75,0.1,0.15,152682595,9.901738,12494170,25737.4,25900.0
2026-01-13 15:15:00,0.15,0.15,0.05,0.05,10457720,7.652181,9205755,25714.2,25850.0
