datetime,open,high,low,close,volume,iv,oi,spot,strike
2026-01-07 09:15:00,424.95,475.0,401.75,411.0,143065,10.157869,135395,26167.25,26600.0
2026-01-07 10:15:00,450.2,455.2,392.5,420.95,91975,9.650517,150085,26151.6,26600.0
2026-01-07 11:15:00,423.5,450.45,393.05,401.95,59150,8.061997,68965,26112.1,26550.0
2026-01-07 12:15:00,402.55,442.6,400.0,418.9,31785,9.505555,68055,26102.9,26550.0
2026-01-07 13:15:00,418.9,445.7,386.0,417.8,114465,8.708686,68315,26098.85,26550.0
2026-01-07 14:15:00,417.8,455.65,389.6,430.9,31330,11.019135,141700,26151.8,26600.0
2026-01-07 15:15:00,430.95,450.0,430.9,442.35,17030,11.509481,137215,26142.9,26600.0
2026-01-08 09:15:00,449.7,468.75,402.8,423.45,287560,11.20216,576290,26061.15,26500.0
2026-01-08 10:15:00,423.1,453.95,399.35,420.4,240435,9.648784,147225,26003.8,26450.0
2026-01-08 11:15:00,424.45,456.3,396.4,446.95,549900,11.154384,960895,25933.75,26400.0
2026-01-08 12:15:00,448.0,453.95,395.55,439.8,301730,8.005816,931125,25926.1,26400.0
2026-01-08 13:15:00,400.55,452.7,386.25,443.75,185770,9.310026,946010,25926.95,26400.0
2026-01-08 14:15:00,443.3,445.0,385.75,437.4,348140,7.634405,345865,25878.05,26350.0
2026-01-08 15:15:00,389.0,445.0,386.0,406.65,152685,9.591957,1462370,25868.9,26300.0
2026-01-09 09:15:00,440.25,473.5,364.45,406.15,904345,0.0,1394120,25856.6,26300.0
2026-01-09 10:15:00,404.35,462.9,378.85,419.85,331435,6.181475,652405,25799.0,26250.0
2026-01-09 11:15:00,418.75,447.7,394.75,432.95,600860,8.494644,2228135,25739.35,26200.0
2026-01-09 12:15:00,430.75,458.45,395.2,432.55,501995,8.911047,905970,25691.05,26150.0
2026-01-09 13:15:00,435.55,453.5,393.0,412.0,384085,7.879558,2844985,25660.15,26100.0
2026-01-09 14:15:00,410.75,463.45,398.85,436.3,974285,11.000607,799045,25695.05,26150.0
2026-01-09 15:15:00,435.1,452.7,413.95,413.95,84695,0.0,755170,25703.7,26150.0
2026-01-12 09:15:00,389.7,473.3,382.45,424.75,1829685,0.0,3127020,25556.9,26000.0
2026-01-12 10:15:00,422.9,468.8,401.05,454.6,739375,0.0,3075280,25532.85,26000.0
2026-01-12 11:15:00,457.5,506.55,406.6,456.2,313365,0.0,753480,25578.3,26050.0
2026-01-12 12:15:00,455.0,487.05,407.3,423.95,336960,16.539013,559000,25722.3,26150.0
2026-01-12 13:15:00,465.3,476.1,404.55,462.7,161135,11.928382,1554995,25728.45,26200.0
2026-01-12 14:15:00,460.85,469.55,407.15,453.35,254280,0.0,260390,25778.5,26250.0
2026-01-12 15:15:00,452.55,453.35,437.6,445.45,16900,20.123169,248495,25806.1,26250.0
2026-01-13 09:15:00,439.95,488.4,404.75,460.55,507975,25.042675,1436500,25738.1,26200.0
2026-01-13 10:15:00,465.0,487.8,397.15,458.65,202735,19.467597,222690,25788.6,26250.0
2026-01-13 11:15:00,458.4,484.3,414.25,440.25,167765,33.360627,486395,25713.7,26150.0
2026-01-13 12:15:00,441.0,488.6,415.8,440.45,220545,26.733869,996710,25658.45,26100.0
2026-01-13 13:15:00,441.5,483.2,412.0,467.1,219700,38.797796,978835,25636.55,26100.0
2026-01-13 14:15:00,469.8,488.65,404.0,461.5,233155,29.479575,1332370,25737.4,26200.0
2026-01-13 15:15:00,461.95,469.8,416.9,417.6,57070,0.0,405405,25714.2,26150.0
