datetime,open,high,low,close,volume,iv,oi,spot,strike
2026-02-09 09:15:00,184.95,205.8,161.25,190.75,4043195,10.171984,1715870,25800.1,25800.0
2026-02-09 10:15:00,191.15,203.0,171.2,190.7,1316900,9.884657,445120,25858.15,25850.0
2026-02-09 11:15:00,190.7,196.6,173.5,186.95,698815,9.746698,552305,25856.25,25850.0
2026-02-09 12:15:00,188.2,201.7,169.3,180.95,850330,9.62411,620815,25849.95,25850.0
2026-02-09 13:15:00,181.05,184.25,171.95,176.6,573235,9.547849,726050,25845.25,25850.0
2026-02-09 14:15:00,176.15,188.0,172.85,182.85,1032850,9.201753,756860,25866.3,25850.0
2026-02-09 15:15:00,182.45,183.95,175.1,175.1,451815,8.814431,751270,25863.3,25850.0
2026-02-10 09:15:00,165.0,182.85,145.35,161.9,5642325,9.27335,721045,25944.35,25950.0
2026-02-10 10:15:00,161.85,175.65,143.25,169.95,2000570,9.268831,803270,25959.65,25950.0
2026-02-10 11:15:00,169.7,171.1,158.9,169.0,1308385,9.080803,925210,25963.65,25950.0
2026-02-10 12:15:00,169.0,177.65,141.75,142.75,3637465,8.674516,4200365,25977.75,26000.0
2026-02-10 13:15:00,142.9,177.4,142.35,168.25,5837910,8.919096,2703675,25918.7,25900.0
2026-02-10 14:15:00,168.35,171.45,136.65,143.5,5095675,8.58596,1644695,25933.95,25950.0
2026-02-10 15:15:00,143.1,173.5,143.0,162.35,1969370,8.629409,2518490,25916.8,25900.0
2026-02-11 09:15:00,125.3,174.45,125.3,163.25,53149330,9.388573,7302945,25918.05,25900.0
2026-02-11 10:15:00,163.65,166.0,123.65,138.45,33462585,8.02461,6668090,25957.4,25950.0
2026-02-11 11:15:00,138.2,152.6,118.75,135.6,20968285,7.977749,7022990,25954.45,25950.0
2026-02-11 12:15:00,135.4,155.0,118.25,146.95,22507225,8.036958,8035365,25923.75,25900.0
2026-02-11 13:15:00,118.85,148.85,117.55,133.6,26708955,7.841155,7908290,25955.95,25950.0
2026-02-11 14:15:00,133.25,140.25,121.85,132.15,22898850,7.773069,6069310,25955.9,25950.0
2026-02-11 15:15:00,132.6,135.15,128.0,128.5,4901585,7.959294,4521985,25945.35,25950.0
2026-02-12 09:15:00,156.6,156.6,108.65,112.9,36700040,8.158016,11370385,25880.85,25900.0
2026-02-12 10:15:00,113.05,140.8,107.65,122.85,18352750,8.218184,5945030,25849.15,25850.0
2026-02-12 11:15:00,122.7,145.65,109.6,114.95,18876065,8.512525,8438560,25828.9,25850.0
2026-02-12 12:15:00,115.15,125.15,109.5,110.1,16490370,7.872614,7370545,25835.75,25850.0
2026-02-12 13:15:00,110.25,139.6,100.0,136.4,25193415,8.624523,8023405,25817.55,25800.0
2026-02-12 14:15:00,136.4,156.2,102.3,128.95,31618600,8.537973,7767825,25807.45,25800.0
2026-02-12 15:15:00,128.6,131.55,122.65,123.5,6767020,8.622124,7410910,25796.15,25800.0
2026-02-13 09:15:00,150.0,164.25,108.85,117.15,58746285,9.838641,7442955,25531.75,25550.0
2026-02-13 10:15:00,116.75,146.3,98.55,115.0,39584870,8.619146,8056490,25554.2,25550.0
2026-02-13 11:15:00,115.4,122.5,102.9,121.2,31761730,8.230089,8375055,25573.4,25550.0
2026-02-13 12:15:00,121.05,127.95,93.15,118.8,63150360,7.990929,7656090,25574.7,25550.0
2026-02-13 13:15:00,91.65,133.65,90.2,102.15,44530135,8.566679,9919390,25535.0,25550.0
2026-02-13 14:15:00,102.35,130.25,99.05,115.15,44991700,10.199977,10876060,25477.2,25500.0
2026-02-13 15:15:00,116.0,144.15,112.1,121.35,9776520,9.159704,1616290,25460.55,25450.0
2026-02-16 09:15:00,119.4,119.4,68.65,95.5,184583295,13.957395,9496955,25551.45,25550.0
2026-02-16 10:15:00,95.2,115.0,72.95,80.25,76788920,13.129067,12425075,25534.55,25550.0
2026-02-16 11:15:00,80.45,110.2,69.2,82.1,72734155,12.75097,12277330,25545.7,25550.0
2026-02-16 12:15:00,81.85,99.45,63.2,92.8,99685170,12.467288,10265320,25571.35,25550.0
2026-02-16 13:15:00,93.15,99.1,61.5,69.0,87607455,12.27129,21218080,25580.35,25600.0
2026-02-16 14:15:00,69.15,104.9,66.1,73.0,177683480,12.597995,12539930,25686.75,25700.0
2026-02-16 15:15:00,72.75,75.8,70.5,75.2,26785460,13.380304,8685820,25682.45,25700.0
2026-02-17 09:15:00,118.0,118.0,32.8,37.4,379321995,12.718608,25563655,25679.25,25700.0
2026-02-17 10:15:00,61.8,70.8,33.7,53.25,293078240,11.390994,18073705,25673.1,25650.0
2026-02-17 11:15:00,29.45,62.1,25.6,52.95,320591895,12.228679,18679765,25721.7,25700.0
2026-02-17 12:15:00,27.45,52.2,18.85,24.1,378037725,9.637039,26040885,25736.35,25750.0
2026-02-17 13:15:00,23.4,54.3,11.65,39.7,454318995,9.390783,9180795,25670.95,25650.0
2026-02-17 14:15:00,39.05,42.9,0.15,27.3,1151025135,2.944975,20696000,25724.85,25700.0
2026-02-17 15:15:00,26.6,27.7,0.05,25.3,64180675,5.783566,11078340,25716.0,25700.0
